quarter,region,bucket_lo,bucket_hi,bucket_mid,prior_share_pct,revenue_yoy_pct,adr_yoy_reported_pct,take_rate_yoy_pct,fx_wedge_pp,revenue_implied_nights_yoy_pct,picked_nights_yoy_pct,position_in_bucket,midpoint_sum_residual_pp,picked_sum_residual_pp,total_nights_yoy_pct
4Q24,na,4.0,6.0,5.0,33.9,6.52,3.0,-1.54,1.11,3.88,5.59,inside,-0.51,-0.0,12.35
4Q24,emea,10.0,12.0,11.0,38.7,16.25,6.0,-1.54,1.11,10.16,12.0,high,-0.51,-0.0,12.35
4Q24,latam,20.0,23.0,21.5,12.6,12.1,-5.0,-1.54,1.11,18.52,20.0,low,-0.51,-0.0,12.35
4Q24,apac,20.0,23.0,21.5,14.8,21.72,nan,-1.54,1.11,nan,22.25,inside,-0.51,-0.0,12.35
1Q25,na,1.0,3.0,2.0,33.3,3.84,2.0,-0.86,-0.1,2.79,3.0,high,-0.23,-0.0,7.92
1Q25,emea,4.0,6.0,5.0,38.4,5.29,2.0,-0.86,-0.1,4.22,5.09,inside,-0.23,-0.0,7.92
1Q25,latam,20.0,23.0,21.5,13.2,11.73,-7.0,-0.86,-0.1,21.3,21.6,inside,-0.23,-0.0,7.92
1Q25,apac,14.0,16.0,15.0,15.1,9.88,-1.0,-0.86,-0.1,12.06,14.0,low,-0.23,-0.0,7.92
2Q25,na,1.0,3.0,2.0,33.3,5.28,3.0,1.62,-1.86,2.49,1.0,low,-0.2,0.0,7.43
2Q25,emea,4.0,6.0,5.0,38.5,17.65,9.0,1.62,-1.86,8.23,5.64,inside,-0.2,0.0,7.43
2Q25,latam,17.0,19.0,18.0,13.2,24.86,-3.0,1.62,-1.86,29.08,19.0,high,-0.2,0.0,7.43
2Q25,apac,14.0,16.0,15.0,15.1,23.19,2.0,1.62,-1.86,21.11,16.0,high,-0.2,0.0,7.43
3Q25,na,4.0,6.0,5.0,32.8,2.99,5.0,-3.72,-2.63,4.62,4.08,low,-0.16,0.0,8.8
3Q25,emea,4.0,6.0,5.0,39.1,14.08,10.0,-3.72,-2.63,10.62,6.0,high,-0.16,0.0,8.8
3Q25,latam,20.0,23.0,21.5,13.0,18.09,4.0,-3.72,-2.63,21.11,20.9,inside,-0.16,0.0,8.8
3Q25,apac,14.0,16.0,15.0,15.0,15.74,2.0,-3.72,-2.63,21.03,16.0,high,-0.16,0.0,8.8
4Q25,na,4.0,6.0,5.0,32.4,3.15,5.0,-3.34,-1.85,3.54,4.16,low,-0.4,0.0,9.82
4Q25,emea,7.0,9.0,8.0,39.1,17.13,12.0,-3.34,-1.85,10.22,9.0,high,-0.4,0.0,9.82
4Q25,latam,17.0,19.0,18.0,13.1,26.26,9.0,-3.34,-1.85,22.09,19.0,high,-0.4,0.0,9.82
4Q25,apac,14.0,16.0,15.0,15.4,18.18,2.0,-3.34,-1.85,22.12,16.0,high,-0.4,0.0,9.82
1Q26,na,7.0,9.0,8.0,32.2,7.97,7.0,-1.08,-1.9,3.99,7.0,low,0.59,0.0,9.15
1Q26,emea,4.0,6.0,5.0,38.9,25.13,15.0,-1.08,-1.9,12.13,4.37,inside,0.59,0.0,9.15
1Q26,latam,17.0,19.0,18.0,13.4,31.49,10.0,-1.08,-1.9,23.19,19.0,high,0.59,0.0,9.15
1Q26,apac,17.0,19.0,18.0,15.6,23.02,6.0,-1.08,-1.9,19.6,17.0,low,0.59,0.0,9.15
2Q26,na,7.0,9.0,8.0,31.5,15.76,7.0,0.68,2.67,4.66,7.0,low,0.86,0.0,10.34
2Q26,emea,7.0,9.0,8.0,39.2,15.57,7.0,0.68,2.67,4.49,7.36,inside,0.86,0.0,10.34
2Q26,latam,19.0,21.0,20.0,13.5,25.97,9.0,0.68,2.67,11.8,19.0,low,0.86,0.0,10.34
2Q26,apac,17.0,19.0,18.0,15.8,16.86,1.0,0.68,2.67,11.93,17.0,low,0.86,0.0,10.34
