quarter,total_nights_yoy_pct,total_gbv_yoy_pct,total_revenue_yoy_pct,global_adr_exfx_yoy_pct,na_nights_yoy_lo,na_nights_yoy_hi,na_nights_yoy_mid,na_basis,na_phrase,na_adr_yoy_reported_pct,na_adr_yoy_exfx_pct,emea_nights_yoy_lo,emea_nights_yoy_hi,emea_nights_yoy_mid,emea_basis,emea_phrase,emea_adr_yoy_reported_pct,emea_adr_yoy_exfx_pct,latam_nights_yoy_lo,latam_nights_yoy_hi,latam_nights_yoy_mid,latam_basis,latam_phrase,latam_adr_yoy_reported_pct,latam_adr_yoy_exfx_pct,apac_nights_yoy_lo,apac_nights_yoy_hi,apac_nights_yoy_mid,apac_basis,apac_phrase,apac_adr_yoy_reported_pct,apac_adr_yoy_exfx_pct,na_nights_share_est_pct,na_revenue_musd,na_revenue_yoy_pct,na_revenue_share_pct,emea_nights_share_est_pct,emea_revenue_musd,emea_revenue_yoy_pct,emea_revenue_share_pct,latam_nights_share_est_pct,latam_revenue_musd,latam_revenue_yoy_pct,latam_revenue_share_pct,apac_nights_share_est_pct,apac_revenue_musd,apac_revenue_yoy_pct,apac_revenue_share_pct,us_revenue_musd,non_us_revenue_musd,us_revenue_share_pct,cross_border_share_pct,cross_border_growth_pct,cross_border_to_na_growth_pct,cross_border_to_apac_growth_pct,cross_border_to_emea_growth_pct,urban_share_pct,urban_growth_pct,long_term_stay_share_pct,domestic_share_pct,na_share_of_nights_pct_disclosed,ex_na_nights_growth_pct_disclosed,latam_domestic_growth_pct,brazil_origin_growth_pct,india_origin_growth_pct,japan_domestic_growth_pct,china_outbound_growth_pct,first_time_booker_growth_pct,expansion_market_growth_vs_core,events_and_shocks,weighted_avg_nights_yoy_pct,residual_vs_total_pp,ex_na_nights_yoy_est_pct,na_contribution_pp,emea_contribution_pp,latam_contribution_pp,apac_contribution_pp
4Q20,,,,,,,,none,nights booked (gross) close to Q4 2019 levels,,,,,,none,"most affected (lockdowns, cross-border restrictions)",,,,,,none,below 2019 levels but relatively stable,,,,,,none,recovery continues to take time,,,,,,,,,,,,,,,,,,,472.0,639.0,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1Q21,,,,,,,,none,gross nights slightly above Q1 2019,,,,,,none,steady improvement led by U.K. and France,,,,,,none,resilience in Mexico and Brazil,,,,,,none,modest recovery in Australia and Korea,,,,,,,,,,,,,,,,,,,511.0,376.0,57.59,20.0,,,,,41.0,,24.0,80.0,,,,,,,,,,,,,,,,,
2Q21,,,,,,,,none,about 25% above Q2 2019,,,,,,none,still below Q2 2019; +85% q/q,,,,,,none,about 15% above Q2 2019,,,,,,none,depressed vs Q2 2019,,,,,,,,,,,,,,,,,,,769.0,566.0,57.6,27.0,,,,,41.0,,,73.0,,,,,,,,,,,,,,,,,
3Q21,,,,,,,,none,over 10% above Q3 2019,,,,,,none,nearly recovered to 2019 levels,,,,,,none,approximately 20% above Q3 2019,,,,,,none,depressed vs Q3 2019; ex-APAC nights above 2019,,,,,,,,,,,,,,,,,,,956.0,1011.0,48.61,33.0,,,,,46.0,,20.0,,,,,,,,,,,,,,,,,,
4Q21,,,,,,,,none,20% above Q4 2019,,,,,,none,slightly below 2019 (Omicron),,,,,,none,22% above Q4 2019,,,,,,none,depressed; +22% q/q; ex-APAC +8% vs 2019,,,,,,,,,,,,,,,,,,,760.0,1187.0,39.05,34.0,,,,,49.0,,22.0,,,,,,,,,,,,,,,,,,
1Q22,58.54,66.99,70.12,,,,,none,nearly 55% above Q1 2019 and 25% above Q1 2021,,,,,,none,approximately 20% above Q1 2019,,,,,,none,about 65% above Q1 2019,,,,,,none,depressed vs Q1 2019; ex-APAC nearly 40% above 2019,,,39.8,822.0,,54.47,26.4,373.0,,24.72,18.0,178.0,,11.8,15.8,136.0,,9.01,772.0,737.0,51.17,39.0,,,,,46.0,80.0,21.0,,,,,,,,,,,,,,,,,,
2Q22,24.79,26.87,57.6,,,,,none,37% above Q2 2019,,,,,,none,"+11% q/q, 26% above Q2 2019",,,,,,none,42% higher than Q2 2021 and 64% above Q2 2019,,,,,,none,19% growth vs a year ago; still depressed vs 2019,,,39.6,1098.0,,52.19,33.3,732.0,,34.79,13.6,137.0,,6.51,13.5,137.0,,6.51,1024.0,1080.0,48.65,,100.0,,,,47.0,,19.0,,,,,,,,,,,,,,,,,,
3Q22,25.09,31.09,28.92,,20.0,20.0,20.0,numeric,increasing 20% above the level achieved in the same quarter of 2021,,,20.0,20.0,20.0,numeric,grew 20% compared to Q3 2021,,,33.0,33.0,33.0,numeric,33% higher than Q3 2021,,,65.0,65.0,65.0,numeric,APAC increased the most with 65% more Nights,,,37.3,1326.0,,45.98,39.9,1263.0,,43.79,10.9,139.0,,4.82,11.9,156.0,,5.41,1189.0,1385.0,46.19,43.0,58.0,,,,48.0,27.0,20.0,,,,,,,,,,,,26.76,-1.67,30.79,7.47,7.98,3.6,7.72
4Q22,20.16,19.47,24.15,5.0,5.278342147737073,9.278342147737073,7.28,derived (residual to total),remained strong with continued growth; cross-border to NA +35%,,,25.0,25.0,25.0,numeric,grew 25% compared to Q4 2021,,,23.0,23.0,23.0,numeric,23% higher than Q4 2021,,,40.0,40.0,40.0,numeric,40% growth compared to a year ago,,,37.2,964.0,,50.68,37.8,556.0,,29.23,11.9,189.0,,9.94,13.2,193.0,,10.15,905.0,1560.0,36.71,44.0,49.0,35.0,,,51.0,22.0,21.0,,,,,,,,,,,,20.16,0.0,27.78,2.7,9.44,2.73,5.29
1Q23,18.61,18.6,20.48,3.0,1.7693915405763891,5.76939154057639,3.77,derived (residual to total),stable growth compared to the prior quarter; cross-border to NA +34%,,,21.0,21.0,21.0,numeric,grew 21% compared to Q1 2022; ADR +8%,8.0,,22.0,22.0,22.0,numeric,22% higher than Q1 2022,,,48.0,48.0,48.0,numeric,Asia Pacific once again increased the most with 48% growth,,,36.5,925.0,12.53,50.88,37.2,458.0,22.79,25.19,12.4,235.0,32.02,12.93,14.0,200.0,47.06,11.0,,,,45.0,36.0,34.0,160.0,,48.0,20.0,18.0,,,,,,,,,,,,18.61,0.0,27.12,1.37,7.82,2.72,6.7
