item,python_value,workbook_value,delta,status,cell_reference,method
Bear FY2026 revenue ($M),13933.349,13933.349,-0.0,ok,Revenue!$I$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 nights (M),579.0974,579.0974,-0.0,ok,Revenue!$I$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 GBV ($M),103758.7364,103758.7364,0.0,ok,Revenue!$I$28,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 adj. EBITDA ($M),4812.2867,4812.2867,0.0,ok,Costs!$D$21,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 adj. EBITDA margin,0.3454,0.3454,0.0,ok,Costs!$D$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 net income ($M),2644.862,2644.862,0.0,ok,Costs!$D$32,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 FCF ($M),4554.8859,4554.8859,0.0,ok,Cash!$D$14,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 SBC-adj FCF ($M),2720.9259,2720.9259,0.0,ok,Cash!$D$18,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 diluted shares (M),580.4675,580.4675,-0.0,ok,Cash!$D$23,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 FCF per share ($),7.8469,7.8469,-0.0,ok,Cash!$D$24,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2026 net cash ($M),8792.9999,8792.9999,0.0,ok,Cash!$D$27,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 revenue ($M),14180.9741,14180.9741,-0.0,ok,Revenue!$J$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 nights (M),611.2228,611.2228,-0.0,ok,Revenue!$J$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 GBV ($M),108038.4774,108038.4774,0.0,ok,Revenue!$J$28,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 adj. EBITDA ($M),4026.9273,4026.9273,-0.0,ok,Costs!$E$21,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 adj. EBITDA margin,0.284,0.284,-0.0,ok,Costs!$E$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 net income ($M),1754.2614,1754.2614,-0.0,ok,Costs!$E$32,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 FCF ($M),3531.3449,3531.3449,0.0,ok,Cash!$E$14,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 SBC-adj FCF ($M),1440.6305,1440.6305,0.0,ok,Cash!$E$18,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 diluted shares (M),571.8773,571.8773,0.0,ok,Cash!$E$23,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 FCF per share ($),6.175,6.175,0.0,ok,Cash!$E$24,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2027 net cash ($M),8592.5948,8592.5948,0.0,ok,Cash!$E$27,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 revenue ($M),14967.5727,14967.5727,0.0,ok,Revenue!$K$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 nights (M),638.2814,638.2814,0.0,ok,Revenue!$K$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 GBV ($M),113949.508,113949.508,0.0,ok,Revenue!$K$28,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 adj. EBITDA ($M),3812.3198,3812.3198,0.0,ok,Costs!$F$21,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 adj. EBITDA margin,0.2547,0.2547,0.0,ok,Costs!$F$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 net income ($M),1349.3291,1349.3291,-0.0,ok,Costs!$F$32,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 FCF ($M),3121.6221,3121.6221,0.0,ok,Cash!$F$14,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 SBC-adj FCF ($M),780.022,780.022,0.0,ok,Cash!$F$18,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 diluted shares (M),564.5092,564.5092,0.0,ok,Cash!$F$23,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 FCF per share ($),5.5298,5.5298,0.0,ok,Cash!$F$24,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear FY2028 net cash ($M),7894.6569,7894.6569,0.0,ok,Cash!$F$27,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q26 revenue ($M),4632.3551,4632.3551,0.0,ok,Revenue!$C$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q26 nights (M),144.176,144.176,0.0,ok,Revenue!$C$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q26 ADR ($),176.1135,176.1135,0.0,ok,Revenue!$C$26,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q26 adj. EBITDA ($M),2237.4275,2237.4275,-0.0,ok,Revenue!$C$41,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q26 adj. EBITDA margin,0.483,0.483,0.0,ok,Revenue!$C$40,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
