item,h2_2026,fy2027,source
cor_per_gbv_chg,"3Q26 (4.0, 2.0, 0.0) / 4Q26 (4.0, 2.0, 0.0)","(2.0, 1.0, -0.5)",bear / base / bull
ops_per_night_chg,"3Q26 (-3.0, -5.0, -7.0) / 4Q26 (-3.0, -5.0, -7.0)","(-3.0, -5.0, -6.0)",bear / base / bull
pd_cash_g,"3Q26 (12.5, 11.0, 10.0) / 4Q26 (12.5, 11.0, 10.0)","(10.5, 10.0, 9.0)",bear / base / bull
brand_g,"3Q26 (35.0, 28.0, 20.0) / 4Q26 (25.0, 10.0, 5.0)","(14.0, 16.0, 12.0)",bear / base / bull
field_g,"3Q26 (20.0, 14.0, 10.0) / 4Q26 (15.0, 10.0, 6.0)","(10.0, 14.0, 12.0)",bear / base / bull
ga_cash_g,"3Q26 (5.0, 2.0, 0.0) / 4Q26 (5.0, 2.0, 0.0)","(5.5, 5.5, 5.0)",bear / base / bull
sbc_g,"3Q26 (16.0, 13.0, 10.0) / 4Q26 (16.0, 13.0, 10.0)","(14.0, 10.0, 6.0)",bear / base / bull
tax_rate,"3Q26 (20.0, 19.0, 18.0) / 4Q26 (20.0, 19.0, 18.0)","(21.0, 20.0, 19.0)",bear / base / bull
int_income_q,"3Q26 (160.0, 168.0, 175.0) / 4Q26 (150.0, 162.0, 172.0)","(135.0, 155.0, 172.0)",bear / base / bull
int_expense_q,"3Q26 (31.0, 31.0, 31.0) / 4Q26 (31.0, 31.0, 31.0)","(31.0, 31.0, 31.0)",bear / base / bull
share_chg_q,"3Q26 (-0.8, -1.0, -1.2) / 4Q26 (-0.8, -1.0, -1.2)","(-0.8, -1.0, -1.2)",bear / base / bull
"D&A per quarter, $m",20.0,20.0,FY23-25 ~0.7% of revenue; 2Q26 $17m
4Q25 G&A base,cash $340m less $83m add-back,,other add-backs in the 4Q25 adj. EBITDA reconciliation sit in G&A
Field ops cash,GAAP field ops less all S&M SBC,,07 convention: no SBC inside brand & performance
1H26 actuals,"revenue 6286, adj. EBITDA 1780, GAAP EPS 1.63",,"letters; Q1 NI $160m / 608m sh, Q2 $816m / 597m sh"
Top line,workstream 29 bridge by scenario,,"29_q4_2026_bridge.csv, 29_fy27_quarterly_path.csv; GBV y/y = nights + ADR ex-FX + FX"
