horizon,metric,value,audit_target
2027,"EU-TAIL without EU-AHA parent, % of all draws",1.0845,1.0845
2027,"EU-TAIL without parent, % of tail occurrences",54.0224,54.02
2027,P(EU-TAIL) realised (marginal),2.0075,2.0
2027,P(EU-AHA) realised (marginal),12.038,12.0
2027,P(EU-TAIL | EU-AHA) realised,7.6674,
2027,"BCN-PARTIAL effective probability, %",0.0,
2027,"BCN full/partial overlap, % of draws",0.0,0.0
2030,"EU-TAIL without EU-AHA parent, % of all draws",1.731,1.731
2030,"EU-TAIL without parent, % of tail occurrences",21.7203,21.72
2030,P(EU-TAIL) realised (marginal),7.9695,8.0
2030,P(EU-AHA) realised (marginal),45.0145,45.0
2030,P(EU-TAIL | EU-AHA) realised,13.8589,
2030,"BCN-PARTIAL effective probability, %",23.047,23.05
2030,"BCN full/partial overlap, % of draws",0.0,0.0
2027->2030,"non-monotone path: EU-AHA in force by 2027 but not by 2030, % of draws",3.0075,3.01
2027->2030,"non-monotone path: EU-TAIL in force by 2027 but not by 2030, % of draws",1.27,
2027->2030,"non-monotone path: ES-FINE in force by 2027 but not by 2030, % of draws",9.899,
2027->2030,"non-monotone path: ES-REMOVE in force by 2027 but not by 2030, % of draws",9.0075,
2027->2030,"non-monotone path: ES-REGIONS in force by 2027 but not by 2030, % of draws",8.9525,
2027->2030,"non-monotone path: PARIS-PRO in force by 2027 but not by 2030, % of draws",7.2365,
2027->2030,"non-monotone path: PARIS-COPRO in force by 2027 but not by 2030, % of draws",3.26,
2027->2030,"non-monotone path: GR-FREEZE in force by 2027 but not by 2030, % of draws",9.1355,
2027->2030,"non-monotone path: IE-REG in force by 2027 but not by 2030, % of draws",9.125,
2027->2030,"non-monotone path: UK-ENG in force by 2027 but not by 2030, % of draws",5.8715,
2027->2030,"non-monotone path: IT-NAT in force by 2027 but not by 2030, % of draws",5.98,
2027->2030,"non-monotone path: PT-RETIGHT in force by 2027 but not by 2030, % of draws",8.006,
2027->2030,"non-monotone path: NL-AMS in force by 2027 but not by 2030, % of draws",8.683,
2027->2030,"non-monotone path: US-CITY in force by 2027 but not by 2030, % of draws",10.018,
2027->2030,"non-monotone path: NYC-LOOSEN in force by 2027 but not by 2030, % of draws",10.2505,
2027->2030,"non-monotone path: CHI-SUIT in force by 2027 but not by 2030, % of draws",12.2845,
2027->2030,"non-monotone path: COMPLIANCE in force by 2027 but not by 2030, % of draws",3.252,
2027->2030,"ANY event reverses between 2027 and 2030, % of draws",72.373,
2027,"revenue loss median, % of revenue",0.451,
2027,"revenue loss mean, % of revenue",0.7523,
2027,"revenue loss p95, % of revenue",2.7443,
2030,"revenue loss median, % of revenue",1.7084,
2030,"revenue loss mean, % of revenue",2.197,
2030,"revenue loss p95, % of revenue",6.3825,
