feature,horizon,n_raw,r_raw,r_feature_vs_time,r_detrended,perm_p_detrended,n_numctl,r_ctl_numbers,perm_p_ctl_numbers,bh_q_detrended
theme_long_term_targets_share_prepared,excess_1d_pct,23,0.425,0.677,0.688,0.0005,17,0.724,0.001,0.119
d_theme_long_term_targets_share_total,excess_1d_pct,22,0.567,0.164,0.575,0.0035,17,0.72,0.001,0.166
theme_international_share_total,excess_1d_pct,23,-0.616,0.007,-0.619,0.0035,17,-0.632,0.008,0.166
theme_competition_share_prepared,excess_1d_pct,23,0.347,0.614,0.533,0.011,17,0.666,0.007,0.237
theme_international_share_prepared,excess_1d_pct,23,-0.517,0.324,-0.51,0.0125,17,-0.49,0.047,0.237
theme_long_term_targets_share_total,excess_1d_pct,23,0.287,0.7,0.518,0.013,17,0.715,0.001,0.237
analyst_lm_net_per1k,excess_1d_pct,23,0.495,-0.074,0.491,0.0155,17,0.684,0.003,0.245
prepared_words,excess_1d_pct,23,0.32,0.603,0.492,0.018,17,0.441,0.074,0.251
qa_share_of_mgmt_words,excess_1d_pct,23,-0.333,-0.591,-0.501,0.0195,17,-0.47,0.0615,0.257
ceo_share_prepared,excess_1d_pct,23,-0.213,-0.756,-0.462,0.0285,17,-0.471,0.048,0.321
d_analyst_lm_net_per1k,excess_1d_pct,22,0.47,0.076,0.472,0.032,17,0.627,0.0065,0.321
theme_take_rate_fees_share_total,excess_1d_pct,23,0.366,0.229,0.405,0.044,17,0.596,0.013,0.359
d_theme_buybacks_sbc_share_total,excess_1d_pct,22,0.429,0.06,0.43,0.0445,17,0.443,0.0775,0.359
theme_ai_share_prepared,excess_1d_pct,23,0.269,0.57,0.409,0.0455,17,0.504,0.042,0.359
fwd_prepared_per1k,excess_1d_pct,23,0.346,0.33,0.41,0.059,17,0.423,0.091,0.413
theme_buybacks_sbc_share_total,excess_1d_pct,23,0.249,0.601,0.401,0.0695,17,0.504,0.043,0.422
theme_demand_macro_share_total,excess_1d_pct,23,-0.38,0.125,-0.371,0.091,17,-0.31,0.2394,0.45
analyst_neg_kw_per_question,excess_1d_pct,23,-0.363,0.145,-0.352,0.0925,17,-0.318,0.2149,0.45
n_analyst_questions,excess_1d_pct,23,-0.239,-0.549,-0.364,0.0925,17,-0.374,0.1534,0.45
qa_mgmt_words,excess_1d_pct,23,-0.278,-0.376,-0.349,0.1064,17,-0.497,0.0415,0.478
numbers_prepared_per1k,excess_1d_pct,23,-0.341,0.233,-0.326,0.1184,17,-0.155,0.5507,0.483
theme_take_rate_fees_share_prepared,excess_1d_pct,23,0.209,0.54,0.324,0.1284,17,0.326,0.1959,0.483
d_ceo_share_total,excess_1d_pct,22,-0.327,0.092,-0.328,0.1449,17,-0.484,0.043,0.528
n_numbers_prepared,excess_1d_pct,23,0.066,0.846,0.308,0.1564,17,0.454,0.0595,0.54
d_theme_regulation_share_total,excess_1d_pct,22,-0.301,-0.055,-0.301,0.1624,17,-0.356,0.1574,0.542
theme_supply_hosts_share_prepared,excess_1d_pct,23,-0.228,-0.361,-0.291,0.1729,17,-0.374,0.1344,0.569
theme_marketing_share_total,excess_1d_pct,23,-0.181,-0.476,-0.27,0.2089,17,-0.602,0.013,0.6
d_theme_marketing_share_total,excess_1d_pct,22,-0.261,-0.042,-0.261,0.2259,17,-0.599,0.0155,0.6
lm_net_total,excess_1d_pct,23,0.275,-0.266,0.255,0.2314,17,0.369,0.1389,0.6
theme_demand_macro_share_prepared,excess_1d_pct,23,-0.271,0.351,-0.248,0.2529,17,-0.11,0.6902,0.623
d_theme_ai_share_total,excess_1d_pct,22,-0.24,0.214,-0.244,0.2704,17,-0.2,0.4633,0.639
d_hedge_qa_per1k,excess_1d_pct,22,0.238,-0.036,0.238,0.2759,17,0.285,0.2714,0.639
d_n_analyst_questions,excess_1d_pct,22,-0.232,-0.173,-0.236,0.2979,17,-0.277,0.2894,0.655
theme_new_businesses_share_prepared,excess_1d_pct,23,-0.241,0.642,-0.219,0.3328,17,-0.066,0.7996,0.693
theme_regulation_share_total,excess_1d_pct,23,-0.238,0.274,-0.216,0.3348,17,-0.114,0.6487,0.693
theme_pricing_adr_share_total,excess_1d_pct,23,-0.222,0.169,-0.207,0.3518,17,-0.093,0.7181,0.693
lm_unc_qa_per1k,excess_1d_pct,23,0.179,0.124,0.196,0.3673,17,0.422,0.0905,0.693
n_analysts,excess_1d_pct,23,-0.136,-0.3,-0.18,0.4113,17,-0.0,1.0,0.739
n_declines_hand_verified,excess_1d_pct,23,0.15,0.17,0.173,0.4258,17,0.316,0.2269,0.744
theme_ai_share_total,excess_1d_pct,23,-0.004,0.834,0.168,0.4333,17,0.237,0.3818,0.744
theme_buybacks_sbc_share_prepared,excess_1d_pct,23,-0.191,0.84,-0.175,0.4363,17,0.088,0.7386,0.744
theme_pricing_adr_share_prepared,excess_1d_pct,23,-0.185,0.287,-0.16,0.4733,17,-0.136,0.6022,0.787
lm_net_prepared,excess_1d_pct,23,0.149,0.116,0.165,0.4788,17,0.288,0.2604,0.787
d_theme_pricing_adr_share_total,excess_1d_pct,22,0.153,-0.08,0.153,0.4873,17,0.179,0.4893,0.787
d_theme_take_rate_fees_share_total,excess_1d_pct,22,0.151,0.119,0.152,0.4943,17,0.333,0.2039,0.787
theme_new_businesses_share_total,excess_1d_pct,23,-0.179,0.766,-0.143,0.5072,17,0.039,0.8891,0.796
d_lm_net_prepared,excess_1d_pct,22,0.143,0.044,0.143,0.5307,17,0.311,0.2314,0.808
theme_supply_hosts_share_total,excess_1d_pct,23,0.168,-0.834,0.131,0.5387,17,-0.18,0.4933,0.808
hedge_prepared_per1k,excess_1d_pct,23,0.138,-0.044,0.134,0.5477,17,0.157,0.5432,0.808
lm_unc_prepared_per1k,excess_1d_pct,23,0.125,0.039,0.131,0.5517,17,0.167,0.5067,0.808
d_theme_demand_macro_share_total,excess_1d_pct,22,-0.13,-0.097,-0.131,0.5617,17,-0.198,0.4343,0.817
ceo_share_total,excess_1d_pct,23,-0.094,-0.205,-0.121,0.5727,17,-0.325,0.2159,0.823
d_lm_net_total,excess_1d_pct,22,0.127,0.006,0.127,0.5732,17,0.358,0.1694,0.823
lm_neg_qa_per1k,excess_1d_pct,23,0.107,0.116,0.122,0.5832,17,0.039,0.8706,0.833
tone_gap_qa_minus_prepared,excess_1d_pct,23,-0.068,-0.314,-0.111,0.6037,17,-0.215,0.4213,0.836
d_numbers_prepared_per1k,excess_1d_pct,22,-0.12,-0.175,-0.123,0.6047,17,-0.225,0.3878,0.836
cfo_share_total,excess_1d_pct,23,0.08,0.218,0.108,0.6137,17,0.314,0.2249,0.839
d_theme_margins_profitability_share_total,excess_1d_pct,22,0.106,0.024,0.107,0.6422,17,0.395,0.1344,0.859
theme_regulation_share_prepared,excess_1d_pct,23,-0.143,0.605,-0.093,0.6517,17,-0.035,0.8941,0.859
d_theme_new_businesses_share_total,excess_1d_pct,22,-0.102,0.034,-0.102,0.6587,17,-0.049,0.8506,0.859
hedge_qa_per1k,excess_1d_pct,23,0.079,0.056,0.086,0.6797,17,0.27,0.2959,0.859
d_theme_competition_share_total,excess_1d_pct,22,-0.096,0.035,-0.096,0.6817,17,-0.093,0.7346,0.859
hedge_gap_qa_minus_prepared,excess_1d_pct,23,-0.094,0.062,-0.088,0.6907,17,0.009,0.9735,0.863
numbers_qa_per1k,excess_1d_pct,23,-0.038,-0.346,-0.084,0.7056,17,-0.063,0.7946,0.867
d_theme_international_share_total,excess_1d_pct,22,-0.081,-0.165,-0.083,0.7116,17,-0.163,0.5447,0.867
lm_net_qa,excess_1d_pct,23,0.121,-0.455,0.077,0.7201,17,0.081,0.7621,0.868
