date,actor,category,event,source
2019-03-07,Airbnb,hotels,Airbnb acquires HotelTonight (referenced on 2023-2025 calls as the hotel foothold),data/raw/regulatory/transcripts/2023-Q3.pdf (IR call transcript)
2023-05-09,Airbnb,AI,Chesky: Airbnb was 'supposed to be one of the launch partners for the plugins on OpenAI for ChatGPT'; declined to prioritise; 90% of traffic direct or unpaid,data/raw/regulatory/transcripts/2023-Q1.pdf (IR call transcript)
2023-06-28,Booking.com,AI,Booking.com launches AI Trip Planner (ChatGPT-based) in the app,https://news.booking.com/bookingcom-launches-new-ai-trip-planner-to-enhance-travel-planning-experience/
2023-11-01,Google,distribution,Google Vacation Rentals update lets property managers show prices; Airbnb: 'not going to respond directly'; Airbnb chose not to integrate Google Hotel Finder (Q3'25 call),data/raw/regulatory/transcripts/2023-Q3.pdf (IR call transcript); data/raw/regulatory/transcripts/2025-Q3.pdf (IR call transcript)
2024-08-06,Airbnb,share,Airbnb says it gains share of 'total nights stayed over the universe of hotel and other travel accommodations' every quarter; alternative accommodation called 'a catch-all' (Q3'24),data/raw/regulatory/transcripts/2024-Q2.pdf (IR call transcript); data/raw/regulatory/transcripts/2024-Q3.pdf (IR call transcript)
2024-10-16,Airbnb,supply,"Co-Host Network launched: 10,000 co-hosts, 10 countries",data/raw/letters/3Q24_*.htm (shareholder letter)
2025-01-23,OpenAI,AI,"Operator agent debuts with Booking.com, Priceline, Tripadvisor, Uber as early contributors; deprecated into ChatGPT agent, shut 31 Aug 2025",https://www.phocuswire.com/openai-operator-web-agent; https://en.wikipedia.org/wiki/OpenAI_Operator
2025-02-13,Airbnb,new business,FY25 plan: $200-250m to launch and scale new businesses; 'easily $1 billion revenue opportunity'; Vrbo's Q4'24 strength attributed to soft comp,data/raw/regulatory/transcripts/2024-Q4.pdf (IR call transcript)
2025-03-27,Perplexity,AI,"Perplexity adds in-app hotel booking via Selfbook and Tripadvisor (140,000 hotels)",https://skift.com/2025/03/27/perplexity-now-handles-hotel-bookings-what-our-tests-show/
2025-05-13,Airbnb,new business,"Summer Release: Airbnb Services (10 categories, 260 cities, 8 countries, 15% host fee) and reimagined Experiences (20% fee); 60,000 host applications by Aug",data/raw/letters/2Q25_*.htm (shareholder letter); https://techcrunch.com/2025/05/13/airbnb-lauches-services-and-experinces-as-it-thinks-about-connecting-travelers
2025-05-22,Expedia/Vrbo,loyalty,"One Key earn on Vrbo cut: Blue members earn nothing on Vrbo, Silver 1%, Gold/Platinum 2%",https://shorttermrentalz.com/news/vrbo-to-revise-one-key-earn-rates-from-may/
2025-07-29,Booking.com,share,"Q2'25: alt-accom room nights +10% (vs Airbnb nights +7%), 37% of room nights, 8.4m listings",https://www.investing.com/news/company-news/booking-holdings-q2-2025-slides-revenue-jumps-16-adjusted-ebitda-up-28-93CH-4158985
2025-08-06,Airbnb,AI,"Chesky: 'open to' integrating with AI agents; chatbots are 'not the new Google, yet'; AI support agent cut human contacts 15%",data/raw/regulatory/transcripts/2025-Q2.pdf (IR call transcript)
2025-08-15,Airbnb,payments,"Reserve Now, Pay Later launched in the US ($0 upfront); ~70% adoption among eligible; ~20% of global GBV by Q1'26; +3 pts nights growth Q1'26",data/raw/letters/3Q25_*.htm (shareholder letter); data/raw/letters/1Q26_*.htm (shareholder letter)
2025-09-15,Airbnb,take rate,"Single service fee (15.5% host-only) rolled to API-connected hosts (property managers); ~25% of listings by Q1'26, ~50% by Q2'26, all by end-2026",data/raw/regulatory/transcripts/2026-Q1.pdf (IR call transcript); data/raw/regulatory/transcripts/2026-Q2.pdf (IR call transcript)
2025-10-06,OpenAI,AI,Apps in ChatGPT launched with Expedia and Booking.com among first partners; Airbnb absent,https://www.phocuswire.com/openai-chatgpt-apps-expedia-booking-tripadvisor
2025-10-21,Airbnb,AI,Chesky: ChatGPT apps 'not quite robust enough' for Airbnb; will monitor; Airbnb uses Alibaba Qwen among models,https://www.cnbc.com/2025/10/22/airbnb-chatgpt-ai-chesky.html
2025-11-06,Airbnb,AI,Chesky: ChatGPT traffic converts higher than Google traffic when sent to Airbnb; 'close to the people at OpenAI'; hotels custom product built; chose not to join Google Hotel Finder,data/raw/regulatory/transcripts/2025-Q3.pdf (IR call transcript)
2025-12-01,Hilton,entry,"Apartment Collection by Hilton announced: furnished apartments bookable on Hilton channels H1 2026 (NYC, DC, Atlanta)",https://stories.hilton.com/releases/hilton-introduces-apartment-collection-by-hilton
2026-02-12,Airbnb,hotels,"Q4'25: direct partnerships with boutique hotels in NYC, LA, Madrid, SF; >100 NYC hotels / 20,000 rooms; hotels single-digit % of nights growing ~2x platform; AI companies 'top-of-funnel traffic generators ... just like Google was'; chatbot traffic converts above Google",data/raw/letters/4Q25_*.htm (shareholder letter); data/raw/regulatory/transcripts/2025-Q4.pdf (IR call transcript)
2026-02-18,Booking.com,connected trip,"FY25: connected-trip verticals flights +37%, attractions +80%; travellers booking multiple components +20%",https://www.sec.gov/Archives/edgar/data/1075531/000107553126000009/bkng-20251231.htm; https://www.phocuswire.com/booking-holdings-q4-full-year-2025-earnings
2026-04-28,Booking.com,share,"Q1'26: alt-accom room nights +5.5% (in line with total, Middle East hit), 38% mix, 8.8m listings (+9%)",https://www.rentalscaleup.com/booking-com-q1-2026-results/
2026-05-07,Airbnb,hotels,Q1'26: hotels growing >2x platform; ~55% of hotel bookers return to book a home; hotels 'could be a multibillion-dollar revenue business',data/raw/regulatory/transcripts/2026-Q1.pdf (IR call transcript); data/raw/letters/1Q26_*.htm (shareholder letter)
2026-05-20,Airbnb,new business,"2026 Summer Release: grocery (Instacart, 25+ US cities), airport pickups (160+ cities), luggage storage (15,000 locations, 175 cities), car rentals; 3,000+ landmark and 2,500+ food experiences; hotels in 20 destinations; 5.5m hosts",https://news.airbnb.com/airbnb-2026-summer-release
2026-05-26,Airbnb,hotels,Andrea D'Amico (ex-Booking.com hotels EMEA) VP Hotels; Airbnb leads $58m WeRoad round for ~10%,research/notes/2026-09-04_management-timeline.md
