window,lens,n,corr_log_mcap_vs_total,corr_log_price_vs_per_share,corr_12m_log_changes_total,corr_12m_log_changes_per_share,slope_log_price_on_log_ps,resid_sd_log_price,months_positive,months_total
2021-2026,LTM revenue,68,-0.300,-0.263,-0.458,-0.408,-0.114,0.164,68,68
2021-2026,LTM adj. EBITDA,65,-0.120,-0.175,-0.359,-0.405,-0.025,0.155,65,68
2021-2026,LTM FCF,62,-0.270,-0.169,-0.430,-0.465,-0.081,0.158,62,68
2021-2026,LTM SBC-adjusted FCF,56,0.223,0.261,0.320,0.247,0.199,0.147,56,68
2021-2026,LTM GAAP net income,53,0.586,0.610,0.581,0.571,0.180,0.117,53,68
2021-2026,NTM revenue (guide proxy),59,0.016,0.292,0.030,0.321,0.254,0.150,59,68
2022-2026,LTM revenue,57,0.183,0.329,0.140,0.346,0.202,0.144,57,57
2022-2026,LTM adj. EBITDA,57,0.164,0.256,0.077,-0.011,0.118,0.147,57,57
2022-2026,LTM FCF,57,0.096,0.225,0.057,0.071,0.146,0.148,57,57
2022-2026,LTM SBC-adjusted FCF,56,0.223,0.261,0.320,0.247,0.199,0.147,56,57
2022-2026,LTM GAAP net income,53,0.586,0.610,0.581,0.571,0.180,0.117,53,57
2022-2026,NTM revenue (guide proxy),57,0.182,0.438,0.095,0.401,0.385,0.137,57,57
2023-2026,LTM revenue,45,-0.039,0.351,0.506,0.624,0.222,0.107,45,45
2023-2026,LTM adj. EBITDA,45,-0.014,0.358,0.325,0.428,0.211,0.107,45,45
2023-2026,LTM FCF,45,-0.071,0.326,0.145,0.288,0.271,0.108,45,45
2023-2026,LTM SBC-adjusted FCF,45,0.073,0.364,0.317,0.406,0.408,0.106,45,45
2023-2026,LTM GAAP net income,45,0.338,0.378,0.483,0.506,0.115,0.106,45,45
2023-2026,NTM revenue (guide proxy),45,0.034,0.396,0.633,0.723,0.269,0.105,45,45
