print_quarter,print_date,reaction_date,cons_revenue_musd,cons_revenue_vendor,actual_revenue_musd,revenue_surprise_pct,cons_eps_usd,actual_eps_usd,eps_basis,eps_comparable,eps_surprise_pct,cons_adj_ebitda_musd,actual_adj_ebitda_musd,ebitda_surprise_pct,cons_nights_m,actual_nights_m,nights_surprise_pct,cons_gbv_busd,actual_gbv_busd,gbv_surprise_pct,cons_adr,next_quarter,next_q_cons_revenue_musd,next_q_cons_vendor,next_q_guide_mid_musd,guide_vs_street_pct,guide_vs_street_sign,excess_1d_pct,excess_5d_pct,excess_20d_pct,confidence,notes
2020Q4,2021-02-25,2021-02-26,739.7,Yahoo/unattributed,859.0,16.128,-8.4,-11.24,GAAP incl. IPO stock-comp (FactSet basis),1,,-132.8,-21.0,84.187,,,,,,,,,,,,,,12.9,1.8,-2.8,medium,First post-IPO print; CNBC declined to compare EPS (share count). Zacks rev $735.1m agrees within 0.6%. No numeric next-quarter revenue guide was given.
2021Q1,2021-05-13,2021-05-14,714.4,Refinitiv,887.0,24.16,-1.07,-1.95,GAAP (FactSet survey of 27),1,,,-59.0,,62.5,64.4,3.04,7.87,10.3,30.877,,,,,,,,1.8,-2.6,2.5,high,No numeric next-quarter revenue guide (qualitative only).
2021Q2,2021-08-12,2021-08-13,1260.0,Refinitiv,1335.0,5.952,-0.41,-0.11,GAAP (press consensus; low confidence),1,,,217.0,,79.2,83.1,4.924,11.56,13.4,15.917,,,,,,,,0.7,-4.7,6.8,high,No numeric next-quarter revenue guide. EPS consensus not quoted by CNBC.
2021Q3,2021-11-04,2021-11-05,2050.0,Refinitiv,2237.0,9.122,,1.22,"GAAP diluted, flagged not comparable",0,,,1101.0,,80.8,79.7,-1.361,12.31,11.9,-3.331,,2021Q4,,,1435.0,,-1.0,12.9,9.3,-2.8,high,"EPS 'not comparable to estimates'. First numeric revenue guide ($1.39-1.48bn); CNBC called it in line, Reuters headline called it below estimates -> sign recorded as -1, magnitude unknown."
2021Q4,2022-02-15,2022-02-16,1460.0,Refinitiv,1532.0,4.932,0.03,0.08,adjusted,1,166.667,,333.0,,74.96,73.4,-2.081,11.08,11.3,1.986,,2022Q1,1240.0,CNBC unattributed,1445.0,16.532,1.0,3.7,-9.2,-9.1,medium,"Next-quarter consensus of $1.24bn is unattributed and implies a 16% guide-above-Street, far outside every other observation; treat as low-confidence."
2022Q1,2022-05-03,2022-05-04,1450.0,Refinitiv,1509.0,4.069,-0.29,-0.03,adjusted,1,89.655,,229.0,,100.87,102.1,1.219,16.54,17.2,3.99,,2022Q2,1960.0,CNBC unattributed,2080.0,6.122,1.0,4.3,-14.2,-15.5,high,"Zacks EPS -0.28 and revenue $1,452.6m corroborate. Zacks post-print next-quarter revenue $1.98bn vs the $1.96bn pre-guide number."
2022Q2,2022-08-02,2022-08-03,2110.0,Refinitiv,2104.0,-0.284,0.43,0.56,adjusted,1,30.233,,711.0,,106.4,103.7,-2.538,,17.0,,,2022Q3,2770.0,StreetAccount,2830.0,2.166,1.0,-3.9,-2.5,1.0,high,Only revenue MISS vs consensus in the sample. $2bn buyback announced same day.
2022Q3,2022-11-01,2022-11-02,2800.0,Refinitiv,2884.0,3.0,1.4229,1.79,adjusted (Zacks basis),1,25.799,,1457.0,,,99.7,,,15.6,,,2022Q4,1850.0,Refinitiv,1840.0,-0.541,-1.0,-10.0,-7.3,-13.0,medium,"EPS consensus derived from the Zacks +25.8% surprise (Zacks panel, not LSEG). Zacks revenue $2,852.6m vs Refinitiv $2.80bn - a 1.9% vendor gap that flips the size of the beat."
2022Q4,2023-02-14,2023-02-15,1860.0,Refinitiv,1902.0,2.258,0.25,0.48,adjusted,1,92.0,432.0,506.0,17.13,89.7,88.2,-1.672,,13.5,,,2023Q1,1690.0,Refinitiv,1785.0,5.621,1.0,12.6,9.3,-3.5,high,
2023Q1,2023-05-09,2023-05-10,1790.0,Refinitiv,1818.0,1.564,0.09,0.18,adjusted,1,100.0,,262.0,,,121.1,,,20.4,,,2023Q2,2420.0,Refinitiv,2400.0,-0.826,-1.0,-12.0,-18.8,-16.7,high,Nights described as 'in line' with StreetAccount but no number quoted.
