scenario,quarter,revenue_musd,nights_m,gbv_musd,rev_per_night,cor_cash_musd,ops_cash_musd,pd_cash_musd,sm_brand_perf_musd,sm_field_ops_musd,ga_cash_musd,total_cash_cost_musd,adj_ebitda_musd,adj_ebitda_margin_pct,sbc_total_musd,operating_income_musd,gaap_op_margin_pct,interest_income_musd,interest_expense_musd,tax_rate_pct,net_income_musd,diluted_shares_m,eps_gaap_proxy,cor_cash_per_100gbv,ops_cash_per_night,sm_brand_perf_per_night,nights_yoy,adr_exfx,fx_pp,resid_pp,rev_yoy,py_margin_pct,brand_yoy,sm_sbc_musd,other_addbacks_musd
bear,3Q26,4631.85,144.25,25870.13,32.11,645.72,359.6,374.62,513.0,246.0,274.05,2412.99,2238.87,48.34,462.84,1756.03,37.91,160.0,31.0,20.0,1508.02,592.22,2.55,2.5,2.49,3.56,7.97,2.0,3.0,0.14,13.11,50.1,35.0,54.0,0.0
bear,4Q26,2961.07,130.46,22152.36,22.7,550.62,315.09,376.88,488.75,278.3,269.85,2279.49,701.58,23.69,464.0,217.58,7.35,150.0,31.0,20.0,269.27,587.49,0.46,2.49,2.42,3.75,7.02,2.0,-0.43,-2.0,6.59,28.3,25.0,62.0,0.0
bear,1Q27,2759.95,163.42,30385.52,16.89,616.77,305.93,414.38,583.68,202.4,241.6,2364.75,415.2,15.04,467.4,-72.2,-2.62,135.0,31.0,21.0,25.12,582.79,0.04,2.03,1.87,3.57,4.62,1.0,-1.56,-1.0,3.06,19.4,14.0,55.0,0.0
bear,2Q27,3703.25,155.89,28190.08,23.76,669.97,329.65,413.27,660.06,251.9,237.38,2562.22,1161.03,31.35,555.18,585.85,15.82,135.0,31.0,21.0,544.98,578.12,0.94,2.38,2.11,4.23,5.12,1.0,-2.48,-1.0,2.64,35.0,14.0,67.0,0.0
bear,3Q27,4772.66,153.22,26915.28,31.15,685.24,370.5,413.96,584.82,270.6,289.12,2614.25,2178.41,45.64,527.64,1630.78,34.17,135.0,31.0,21.0,1370.47,573.5,2.39,2.55,2.42,3.82,6.22,1.0,-3.18,-1.0,3.04,48.34,14.0,54.0,0.0
bear,4Q27,3082.47,139.75,23282.13,22.06,590.27,327.4,416.45,557.18,306.13,284.69,2482.12,620.35,20.13,528.96,71.39,2.32,135.0,31.0,21.0,138.56,568.91,0.24,2.54,2.34,3.99,7.12,1.0,-3.02,-1.0,4.1,23.69,14.0,62.0,0.0
base,3Q26,4771.08,147.35,26630.41,32.38,651.91,359.75,369.63,486.4,233.7,266.22,2367.61,2423.47,50.8,450.87,1952.6,40.93,168.0,31.0,19.0,1692.58,591.03,2.86,2.45,2.44,3.3,10.29,3.0,3.0,0.22,16.51,50.1,28.0,54.0,0.0
base,4Q26,3110.8,134.02,22952.04,23.21,559.52,317.02,371.85,430.1,266.2,262.14,2206.83,923.97,29.7,452.0,451.97,14.53,162.0,31.0,19.0,472.21,585.12,0.81,2.44,2.37,3.21,9.94,3.0,-0.43,-0.51,11.98,28.3,10.0,62.0,0.0
base,1Q27,2943.66,168.62,32096.64,17.46,645.11,309.16,412.5,593.92,209.76,241.6,2412.05,551.61,18.74,451.0,80.61,2.74,155.0,31.0,20.0,163.69,579.27,0.28,2.01,1.83,3.52,7.95,3.0,-1.03,0.0,9.92,19.4,16.0,55.0,0.0
base,2Q27,3992.25,160.83,30096.8,24.82,708.27,333.08,411.4,671.64,261.06,237.38,2622.82,1389.43,34.8,535.7,833.73,20.88,155.0,31.0,20.0,766.18,573.48,1.34,2.35,2.07,4.18,8.45,3.0,-0.8,0.0,10.65,35.0,16.0,67.0,0.0
base,3Q27,5340.75,161.42,29810.08,33.09,737.05,374.4,406.59,564.22,266.42,280.86,2629.54,2731.21,51.14,495.96,2215.25,41.48,155.0,31.0,20.0,1871.4,567.74,3.3,2.47,2.32,3.5,9.55,3.0,-0.61,0.0,11.94,50.8,16.0,54.0,0.0
base,4Q27,3527.03,148.02,26023.02,23.83,640.73,332.64,409.04,498.92,303.47,276.56,2461.35,1085.68,30.78,497.2,568.48,16.12,155.0,31.0,20.0,553.99,562.06,0.99,2.46,2.25,3.37,10.45,3.0,-0.07,0.0,13.38,29.7,16.0,62.0,0.0
bull,3Q26,4930.79,150.22,27351.76,32.82,656.44,359.04,366.3,456.0,225.5,261.0,2324.28,2626.51,53.27,438.9,2167.61,43.96,175.0,31.0,18.0,1895.52,589.84,3.21,2.4,2.39,3.04,12.44,4.0,3.0,0.97,20.41,50.1,20.0,54.0,0.0
