block,target,spec,test,n_04,n_16,r2_04,r2_16,adj_r2_04,adj_r2_16,loo_r2_04,loo_r2_16,loo_rmse_04,loo_rmse_16,naive_rmse_04,naive_rmse_16,perm_p_r2_04,perm_p_r2_16,const_04,const_16,b_guide_vs_street_pct_04,b_guide_vs_street_pct_16,t_guide_vs_street_pct_04,t_guide_vs_street_pct_16,p_guide_vs_street_pct_04,p_guide_vs_street_pct_16,b_beat_vs_guide_mid_pct_04,b_beat_vs_guide_mid_pct_16,t_beat_vs_guide_mid_pct_04,t_beat_vs_guide_mid_pct_16,p_beat_vs_guide_mid_pct_04,p_beat_vs_guide_mid_pct_16,b_nights_surprise_pct_04,b_nights_surprise_pct_16,t_nights_surprise_pct_04,t_nights_surprise_pct_16,p_nights_surprise_pct_04,p_nights_surprise_pct_16,b_nights_accel_04,b_nights_accel_16,t_nights_accel_04,t_nights_accel_16,p_nights_accel_04,p_nights_accel_16,b_revenue_surprise_pct_04,b_revenue_surprise_pct_16,t_revenue_surprise_pct_04,t_revenue_surprise_pct_16,p_revenue_surprise_pct_04,p_revenue_surprise_pct_16,b_eps_surprise_bps_of_px_04,b_eps_surprise_bps_of_px_16,t_eps_surprise_bps_of_px_04,t_eps_surprise_bps_of_px_16,p_eps_surprise_bps_of_px_04,p_eps_surprise_bps_of_px_16,b_pre_runup_20d_pct_04,b_pre_runup_20d_pct_16,t_pre_runup_20d_pct_04,t_pre_runup_20d_pct_16,p_pre_runup_20d_pct_04,p_pre_runup_20d_pct_16,share_negative_04,share_negative_16,mean_04,mean_16,median_04,median_16,binom_p_04,binom_p_16,binom_p_vs_base_rate_04,binom_p_vs_base_rate_16,n_negative_04,n_negative_16,b_gbv_surprise_pct_04,b_gbv_surprise_pct_16,t_gbv_surprise_pct_04,t_gbv_surprise_pct_16,p_gbv_surprise_pct_04,p_gbv_surprise_pct_16
jackknife,excess_1d_pct,jk_guide_vs_street_pct,,18.0,19.0,0.1162,0.1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_1d_pct,beat_vs_guide+guide_vs_street,,18.0,19.0,0.1235,0.1732,0.0067,0.0699,-0.3265,-0.2729,9.813,9.864,8.52,8.743,0.3761,0.2232,-0.284,-0.711,0.8263,0.9816,1.04,1.252,0.2985,0.2107,-0.6586,-0.7697,-0.327,-0.385,0.7435,0.7002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_1d_pct,guide_vs_street+nights,,15.0,16.0,0.1424,0.1765,-0.0005,0.0498,-0.1548,-0.1301,7.619,8.519,7.09,8.014,0.3931,0.2847,-1.661,-1.266,0.6169,0.7313,2.331,2.27,0.0197,0.0232,,,,,,,0.963,1.6219,1.147,1.61,0.2513,0.1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_1d_pct,guide_vs_street+nights_accel,,18.0,19.0,0.1167,0.1645,-0.0011,0.06,-0.6933,-0.6749,11.087,11.315,8.52,8.743,0.4003,0.2434,-1.567,-2.348,0.6291,0.7961,1.158,1.54,0.2467,0.1235,,,,,,,,,,,,,0.0186,-0.0129,0.116,-0.079,0.9074,0.9374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_1d_pct,rev+eps,,17.0,20.0,0.0295,0.096,-0.1091,-0.0104,-0.2273,-0.2872,10.212,10.176,9.218,8.969,0.81,0.4581,-2.475,-0.296,,,,,,,,,,,,,,,,,,,,,,,,,1.0773,0.0996,0.895,0.32,0.3707,0.749,-0.02,-0.0555,-0.095,-1.351,0.9245,0.1766,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_1d_pct,rev+eps+guide_vs_street,,16.0,17.0,0.1104,0.1615,-0.112,-0.032,-0.516,-0.4749,11.047,11.195,8.972,9.218,0.7085,0.5163,-0.156,-1.363,0.7416,0.8874,1.061,1.279,0.2889,0.201,,,,,,,,,,,,,,,,,,,-0.7426,-0.7265,-0.354,-0.349,0.7237,0.7272,0.0135,0.0624,0.068,0.312,0.9455,0.7554,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_1d_pct,rev+guide_vs_street,,18.0,19.0,0.1249,0.168,0.0082,0.064,-0.2888,-0.2599,9.673,9.813,8.52,8.743,0.3675,0.243,-0.6,-1.622,0.7671,0.8653,1.258,1.371,0.2083,0.1703,,,,,,,,,,,,,,,,,,,-0.6429,-0.4416,-0.39,-0.268,0.6966,0.7887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_1d_pct,rev+guide_vs_street+runup,,18.0,19.0,0.1307,0.1682,-0.0556,0.0019,-0.3969,-0.3916,10.07,10.313,8.52,8.743,0.5595,0.4163,-0.068,-1.708,0.8426,0.8464,1.127,1.086,0.2597,0.2773,,,,,,,,,,,,,,,,,,,-0.8532,-0.4022,-0.421,-0.2,0.6736,0.8411,,,,,,,-0.0653,0.014,-0.347,0.075,0.7285,0.94,,,,,,,,,,,,,,,,,,
multivariate,excess_1d_pct,rev+nights,,18.0,19.0,0.0635,0.0196,-0.0614,-0.1029,-1.0141,-0.5931,10.089,9.834,7.109,7.791,0.6079,0.8518,-0.113,1.013,,,,,,,,,,,,,-0.3736,0.025,-0.472,0.03,0.6366,0.9757,,,,,,,0.3239,0.1922,1.142,0.676,0.2536,0.4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_20d_pct,beat_vs_guide+guide_vs_street,,17.0,18.0,0.0403,0.0389,-0.0968,-0.0893,-0.1279,-0.1856,7.998,8.475,7.53,7.784,0.7409,0.7379,-2.173,-2.843,0.2347,0.4515,0.577,1.021,0.5642,0.3075,-1.3324,-1.4703,-0.999,-1.144,0.3178,0.2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
