quarter,call_date,source,analyst_neg_kw,analyst_pos_kw,prepared_words,qa_mgmt_words,analyst_words,qa_share_of_mgmt_words,n_analysts,n_analyst_turns,n_analyst_questions,n_mgmt_qa_turns,ceo_share_prepared,cfo_share_prepared,ceo_share_qa,cfo_share_qa,ceo_share_total,cfo_share_total,lm_net_prepared,lm_pos_prepared_per1k,lm_neg_prepared_per1k,lm_unc_prepared_per1k,hedge_prepared_per1k,lm_net_qa,lm_pos_qa_per1k,lm_neg_qa_per1k,lm_unc_qa_per1k,hedge_qa_per1k,lm_net_total,tone_gap_qa_minus_prepared,hedge_gap_qa_minus_prepared,analyst_lm_net_per1k,analyst_neg_kw_per_question,analyst_pos_kw_per_question,n_numbers_prepared,n_numbers_qa,numbers_prepared_per1k,numbers_qa_per1k,fwd_prepared_per1k,fwd_qa_per1k,n_guide_decline_phrases_qa,n_declines_hand_verified,n_sentences_prepared,n_sentences_qa,theme_demand_macro_n_prepared,theme_demand_macro_n_qa,theme_demand_macro_share_prepared,theme_demand_macro_share_qa,theme_demand_macro_share_total,theme_pricing_adr_n_prepared,theme_pricing_adr_n_qa,theme_pricing_adr_share_prepared,theme_pricing_adr_share_qa,theme_pricing_adr_share_total,theme_take_rate_fees_n_prepared,theme_take_rate_fees_n_qa,theme_take_rate_fees_share_prepared,theme_take_rate_fees_share_qa,theme_take_rate_fees_share_total,theme_marketing_n_prepared,theme_marketing_n_qa,theme_marketing_share_prepared,theme_marketing_share_qa,theme_marketing_share_total,theme_margins_profitability_n_prepared,theme_margins_profitability_n_qa,theme_margins_profitability_share_prepared,theme_margins_profitability_share_qa,theme_margins_profitability_share_total,theme_supply_hosts_n_prepared,theme_supply_hosts_n_qa,theme_supply_hosts_share_prepared,theme_supply_hosts_share_qa,theme_supply_hosts_share_total,theme_regulation_n_prepared,theme_regulation_n_qa,theme_regulation_share_prepared,theme_regulation_share_qa,theme_regulation_share_total,theme_ai_n_prepared,theme_ai_n_qa,theme_ai_share_prepared,theme_ai_share_qa,theme_ai_share_total,theme_new_businesses_n_prepared,theme_new_businesses_n_qa,theme_new_businesses_share_prepared,theme_new_businesses_share_qa,theme_new_businesses_share_total,theme_international_n_prepared,theme_international_n_qa,theme_international_share_prepared,theme_international_share_qa,theme_international_share_total,theme_buybacks_sbc_n_prepared,theme_buybacks_sbc_n_qa,theme_buybacks_sbc_share_prepared,theme_buybacks_sbc_share_qa,theme_buybacks_sbc_share_total,theme_competition_n_prepared,theme_competition_n_qa,theme_competition_share_prepared,theme_competition_share_qa,theme_competition_share_total,theme_long_term_targets_n_prepared,theme_long_term_targets_n_qa,theme_long_term_targets_share_prepared,theme_long_term_targets_share_qa,theme_long_term_targets_share_total,d_theme_demand_macro_share_total,d_theme_pricing_adr_share_total,d_theme_take_rate_fees_share_total,d_theme_marketing_share_total,d_theme_margins_profitability_share_total,d_theme_supply_hosts_share_total,d_theme_regulation_share_total,d_theme_ai_share_total,d_theme_new_businesses_share_total,d_theme_international_share_total,d_theme_buybacks_sbc_share_total,d_theme_competition_share_total,d_theme_long_term_targets_share_total,d_lm_net_total,d_lm_net_prepared,d_lm_net_qa,d_hedge_prepared_per1k,d_hedge_qa_per1k,d_numbers_prepared_per1k,d_analyst_lm_net_per1k,d_n_analyst_questions,d_ceo_share_total
2020Q4,2021-02-25,fool,2,0,1222,6993,1315,0.851,13,25,28,26,1.0,0.0,0.759,0.241,0.795,0.205,22.91,27.82,4.91,10.64,18.82,11.73,20.16,8.44,5.58,9.01,13.39,-11.18,-9.81,4.56,0.08,0.0,13,34,10.64,4.86,18.82,18.3,0,1,72,435,0,5,0.0,0.0115,0.0099,0,6,0.0,0.0138,0.0118,0,4,0.0,0.0092,0.0079,2,20,0.0278,0.046,0.0434,3,18,0.0417,0.0414,0.0414,17,84,0.2361,0.1931,0.1992,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,27,0.0,0.0621,0.0533,0,11,0.0,0.0253,0.0217,0,3,0.0,0.0069,0.0059,0,6,0.0,0.0138,0.0118,1,1,0.0139,0.0023,0.0039,,,,,,,,,,,,,,,,,,,,,,
2021Q1,2021-05-13,fool,5,1,1123,7008,1717,0.862,16,32,46,38,1.0,0.0,0.733,0.267,0.77,0.23,22.26,30.28,8.01,4.45,7.12,6.71,13.98,7.28,6.14,10.7,8.85,-15.55,3.58,4.08,0.156,0.031,10,47,8.9,6.71,16.92,16.55,0,0,75,424,0,8,0.0,0.0189,0.016,0,10,0.0,0.0236,0.02,0,7,0.0,0.0165,0.014,3,14,0.04,0.033,0.0341,4,3,0.0533,0.0071,0.014,14,75,0.1867,0.1769,0.1784,0,4,0.0,0.0094,0.008,0,0,0.0,0.0,0.0,1,19,0.0133,0.0448,0.0401,4,17,0.0533,0.0401,0.0421,0,0,0.0,0.0,0.0,0,3,0.0,0.0071,0.006,0,0,0.0,0.0,0.0,0.0061,0.0082,0.0061,-0.0093,-0.0274,-0.0208,0.008,0.0,-0.0132,0.0204,-0.0059,-0.0058,-0.0039,-4.54,-0.65,-5.02,-11.7,1.69,-1.74,-0.48,18,-0.025
2021Q2,2021-08-12,fool,6,3,1327,6446,1357,0.829,14,31,34,41,1.0,0.0,0.548,0.452,0.625,0.375,30.9,34.66,3.77,9.8,15.07,18.15,22.03,3.88,6.52,10.86,20.33,-12.75,-4.21,9.58,0.194,0.097,14,29,10.55,4.5,5.28,12.26,0,1,86,337,1,7,0.0116,0.0208,0.0189,1,12,0.0116,0.0356,0.0307,0,6,0.0,0.0178,0.0142,3,2,0.0349,0.0059,0.0118,8,11,0.093,0.0326,0.0449,16,69,0.186,0.2047,0.2009,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,17,0.0,0.0504,0.0402,3,14,0.0349,0.0415,0.0402,0,1,0.0,0.003,0.0024,0,1,0.0,0.003,0.0024,0,0,0.0,0.0,0.0,0.0029,0.0107,0.0002,-0.0223,0.0309,0.0225,-0.008,0.0,0.0001,-0.0019,0.0024,-0.0036,0.0,11.48,8.64,11.44,7.95,0.16,1.65,5.5,-12,-0.145
2021Q3,2021-11-04,fool,4,0,1223,6502,1227,0.842,13,27,32,36,1.0,0.0,0.691,0.301,0.74,0.253,22.89,28.62,5.72,7.36,13.08,14.15,18.61,4.46,8.77,14.0,15.53,-8.74,0.92,0.0,0.148,0.0,21,38,17.17,5.84,8.18,9.84,1,3,85,406,2,1,0.0235,0.0025,0.0061,1,13,0.0118,0.032,0.0285,0,0,0.0,0.0,0.0,2,15,0.0235,0.0369,0.0346,4,0,0.0471,0.0,0.0081,18,74,0.2118,0.1823,0.1874,0,2,0.0,0.0049,0.0041,0,0,0.0,0.0,0.0,1,20,0.0118,0.0493,0.0428,3,20,0.0353,0.0493,0.0468,0,2,0.0,0.0049,0.0041,0,5,0.0,0.0123,0.0102,0,0,0.0,0.0,0.0,-0.0128,-0.0022,-0.0142,0.0228,-0.0368,-0.0135,0.0041,0.0,0.0026,0.0066,0.0017,0.0078,0.0,-4.8,-8.01,-4.0,-1.99,3.14,6.62,-9.58,-2,0.115
2021Q4,2022-02-15,ir,4,2,1455,6820,1525,0.824,14,30,34,43,1.0,0.0,0.651,0.349,0.712,0.288,18.56,24.74,6.19,9.62,15.81,10.56,17.16,6.6,6.16,10.7,11.96,-8.0,-5.11,4.59,0.133,0.067,24,33,16.49,4.84,14.43,14.96,0,1,82,381,1,10,0.0122,0.0262,0.0238,1,31,0.0122,0.0814,0.0691,0,7,0.0,0.0184,0.0151,1,24,0.0122,0.063,0.054,4,10,0.0488,0.0262,0.0302,20,85,0.2439,0.2231,0.2268,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,25,0.0,0.0656,0.054,2,6,0.0244,0.0157,0.0173,0,3,0.0,0.0079,0.0065,0,9,0.0,0.0236,0.0194,0,0,0.0,0.0,0.0,0.0177,0.0406,0.0151,0.0194,0.0221,0.0394,-0.0041,0.0,0.0112,-0.0295,0.0024,0.0092,0.0,-3.57,-4.33,-3.59,2.73,-3.3,-0.68,4.59,2,-0.028
2022Q1,2022-05-03,fool,1,3,1005,7371,1579,0.88,12,31,33,30,1.0,0.0,0.717,0.283,0.751,0.249,17.91,28.86,10.95,3.98,5.97,12.21,18.72,6.51,6.38,10.58,12.89,-5.7,4.61,16.47,0.032,0.097,25,46,24.88,6.24,6.97,13.97,0,0,68,429,2,19,0.0294,0.0443,0.0423,1,24,0.0147,0.0559,0.0503,0,1,0.0,0.0023,0.002,0,12,0.0,0.028,0.0241,4,6,0.0588,0.014,0.0201,9,56,0.1324,0.1305,0.1308,0,4,0.0,0.0093,0.008,0,0,0.0,0.0,0.0,1,18,0.0147,0.042,0.0382,0,28,0.0,0.0653,0.0563,0,5,0.0,0.0117,0.0101,0,3,0.0,0.007,0.006,0,2,0.0,0.0047,0.004,0.0185,-0.0188,-0.0131,-0.0299,-0.0101,-0.096,0.008,0.0,-0.0158,0.039,0.0036,-0.0134,0.004,0.93,-0.65,1.65,-9.84,-0.12,8.39,11.88,-1,0.039
2022Q2,2022-08-02,fool,8,0,1027,6221,1827,0.858,16,42,43,46,1.0,0.0,0.532,0.468,0.598,0.402,21.42,28.24,6.82,12.66,23.37,14.47,19.93,5.47,9.32,15.27,15.45,-6.95,-8.1,4.38,0.19,0.0,33,40,32.13,6.43,7.79,12.38,0,3,77,357,4,11,0.0519,0.0308,0.0346,0,7,0.0,0.0196,0.0161,0,2,0.0,0.0056,0.0046,0,5,0.0,0.014,0.0115,10,13,0.1299,0.0364,0.053,8,52,0.1039,0.1457,0.1382,0,1,0.0,0.0028,0.0023,0,0,0.0,0.0,0.0,2,20,0.026,0.056,0.0507,1,33,0.013,0.0924,0.0783,1,3,0.013,0.0084,0.0092,0,0,0.0,0.0,0.0,1,3,0.013,0.0084,0.0092,-0.0077,-0.0342,0.0026,-0.0126,0.0329,0.0074,-0.0057,0.0,0.0125,0.022,-0.0009,-0.006,0.0052,2.56,3.51,2.26,17.4,4.69,7.25,-12.09,10,-0.153
2022Q3,2022-11-01,fool,15,4,600,7648,1819,0.927,18,26,38,39,1.0,0.0,0.715,0.285,0.736,0.264,21.67,26.67,5.0,6.67,8.33,15.17,21.31,6.15,7.45,12.55,15.64,-6.5,4.22,-1.65,0.577,0.154,26,39,43.33,5.1,8.33,14.12,0,3,45,406,5,17,0.1111,0.0419,0.0488,0,29,0.0,0.0714,0.0643,0,9,0.0,0.0222,0.02,0,18,0.0,0.0443,0.0399,9,16,0.2,0.0394,0.0554,9,50,0.2,0.1232,0.1308,0,4,0.0,0.0099,0.0089,0,0,0.0,0.0,0.0,1,15,0.0222,0.0369,0.0355,2,16,0.0444,0.0394,0.0399,0,0,0.0,0.0,0.0,0,13,0.0,0.032,0.0288,0,3,0.0,0.0074,0.0067,0.0142,0.0482,0.0154,0.0284,0.0024,-0.0074,0.0066,0.0,-0.0152,-0.0384,-0.0092,0.0288,-0.0025,0.19,0.25,0.7,-15.04,-2.72,11.2,-6.03,-5,0.138
2022Q4,2023-02-14,fool,6,3,1067,7032,1820,0.868,16,38,33,45,1.0,0.0,0.542,0.432,0.602,0.375,20.62,27.18,6.56,6.56,9.37,15.78,20.9,5.12,7.39,11.8,16.42,-4.84,2.43,11.54,0.158,0.079,26,60,24.37,8.53,10.31,12.37,1,4,78,414,2,9,0.0256,0.0217,0.0224,0,45,0.0,0.1087,0.0915,0,9,0.0,0.0217,0.0183,0,11,0.0,0.0266,0.0224,6,15,0.0769,0.0362,0.0427,20,64,0.2564,0.1546,0.1707,0,1,0.0,0.0024,0.002,0,3,0.0,0.0072,0.0061,4,15,0.0513,0.0362,0.0386,3,19,0.0385,0.0459,0.0447,1,7,0.0128,0.0169,0.0163,1,4,0.0128,0.0097,0.0102,2,5,0.0256,0.0121,0.0142,-0.0264,0.0272,-0.0017,-0.0175,-0.0127,0.0399,-0.0069,0.0061,0.0031,0.0048,0.0163,-0.0186,0.0075,0.78,-1.05,0.61,1.04,-0.75,-18.96,13.19,-5,-0.134
2023Q1,2023-05-09,ir,13,1,1201,7537,1483,0.863,14,31,36,34,1.0,0.0,0.765,0.235,0.797,0.203,10.82,15.82,5.0,1.67,2.5,15.79,20.3,4.51,5.57,8.76,15.11,4.97,6.26,6.74,0.419,0.032,25,34,20.82,4.51,5.83,14.99,0,1,80,403,2,6,0.025,0.0149,0.0166,13,42,0.1625,0.1042,0.1139,0,2,0.0,0.005,0.0041,0,22,0.0,0.0546,0.0455,3,14,0.0375,0.0347,0.0352,17,50,0.2125,0.1241,0.1387,1,0,0.0125,0.0,0.0021,0,19,0.0,0.0471,0.0393,9,27,0.1125,0.067,0.0745,6,35,0.075,0.0868,0.0849,1,0,0.0125,0.0,0.0021,1,6,0.0125,0.0149,0.0145,0,7,0.0,0.0174,0.0145,-0.0058,0.0224,-0.0142,0.0231,-0.0075,-0.032,0.0001,0.0332,0.0359,0.0402,-0.0142,0.0043,0.0003,-1.31,-9.8,0.01,-6.87,-3.04,-3.55,-4.8,3,0.195
