feature,target,q,actual,pred,naive,ar1,err,err_naive,n_train
bl_funds_yoy_lag1,rev_yoy,2024Q1,17.822,16.934300523737832,16.614,16.686591937670602,-0.887699476262167,-1.2079999999999984,4
bl_funds_yoy_lag1,rev_yoy,2024Q2,10.628,13.651369829582896,17.822,17.514586116505107,3.0233698295828955,7.193999999999999,5
bl_funds_yoy_lag1,rev_yoy,2024Q3,9.862,11.384328876409803,10.628,13.015722497505603,1.5223288764098033,0.766,6
bl_funds_yoy_lag1,rev_yoy,2024Q4,11.812,8.714996605237687,9.862,9.647062295000081,-3.0970033947623126,-1.9499999999999993,7
bl_funds_yoy_lag1,rev_yoy,2025Q1,6.069,5.44445070813568,11.812,12.02137676932669,-0.6245492918643203,5.742999999999999,8
bl_funds_yoy_lag1,rev_yoy,2025Q2,12.664,7.77386089200275,6.069,5.806565597923663,-4.89013910799725,-6.595,9
bl_funds_yoy_lag1,rev_yoy,2025Q3,9.727,9.930947431578792,12.664,12.579107429947634,0.2039474315787917,2.9369999999999994,10
bl_funds_yoy_lag1,rev_yoy,2025Q4,12.016,11.067180074746105,9.727,10.622469566658047,-0.9488199252538951,-2.2889999999999997,11
bl_funds_yoy_lag1,rev_yoy,2026Q1,17.87,14.500788743368627,12.016,12.072463711389126,-3.369211256631374,-5.854000000000001,12
bl_funds_yoy_lag1,rev_yoy,2026Q2,16.537,13.738178984974109,17.87,15.475301602282663,-2.79882101502589,1.333000000000002,13
bl_funds_yoy_lag1,gbv_yoy,2024Q1,12.255,15.778834004203095,14.815,15.732488399481952,3.523834004203094,2.5599999999999987,4
bl_funds_yoy_lag1,gbv_yoy,2024Q2,10.995,11.568826342711183,12.255,16.178535541188054,0.5738263427111843,1.2600000000000016,5
bl_funds_yoy_lag1,gbv_yoy,2024Q3,9.836,11.246344454902806,10.995,14.051599945727247,1.4103444549028055,1.158999999999999,6
bl_funds_yoy_lag1,gbv_yoy,2024Q4,13.548,9.425538432490828,9.836,12.098413867142328,-4.122461567509172,-3.7119999999999997,7
bl_funds_yoy_lag1,gbv_yoy,2025Q1,6.987,8.956093876118391,13.548,12.997792477822804,1.9690938761183912,6.561,8
bl_funds_yoy_lag1,gbv_yoy,2025Q2,10.849,9.095681649832645,6.987,11.523720876589907,-1.7533183501673548,-3.862,9
bl_funds_yoy_lag1,gbv_yoy,2025Q3,13.93,10.101557350499954,10.849,11.791049376922423,-3.8284426495000456,-3.0809999999999995,10
bl_funds_yoy_lag1,gbv_yoy,2025Q4,15.909,11.402208024397758,13.93,12.417781648123212,-4.506791975602242,-1.979000000000001,11
bl_funds_yoy_lag1,gbv_yoy,2026Q1,19.184,13.539128278594532,15.909,13.057726265309599,-5.644871721405469,-3.2750000000000004,12
bl_funds_yoy_lag1,gbv_yoy,2026Q2,15.745,13.473827903370859,19.184,14.918223074127923,-2.27117209662914,3.439000000000002,13
px_fx_contribution_fitted,adr_fx_effect,2024Q1,0.6,-0.06174108841113907,2.1,2.4215311004784694,-0.661741088411139,1.5,4
px_fx_contribution_fitted,adr_fx_effect,2024Q2,-0.9,-1.6803761706560476,0.6,1.2683925811437402,-0.7803761706560476,1.5,5
px_fx_contribution_fitted,adr_fx_effect,2024Q3,-0.6,-1.2499979893509863,-0.9,0.4533299075025692,-0.6499979893509863,-0.30000000000000004,6
px_fx_contribution_fitted,adr_fx_effect,2024Q4,-1.1,-1.8871375879261476,-0.6,0.3103266512259406,-0.7871375879261475,0.5000000000000001,7
px_fx_contribution_fitted,adr_fx_effect,2025Q1,-1.9,-3.1792717009312934,-1.1,-0.09598023504273484,-1.2792717009312935,0.7999999999999998,8
px_fx_contribution_fitted,adr_fx_effect,2025Q2,1.9,0.6103094806018642,-1.9,-0.7510179243195397,-1.2896905193981358,-3.8,9
px_fx_contribution_fitted,adr_fx_effect,2025Q3,2.7,1.8831270362728392,1.9,0.818904347826087,-0.816872963727161,-0.8000000000000003,10
