quarter,region,adr_yoy_reported_pct,adr_yoy_exfx_pct,fx_gap_pp,basket_fx_yoy_pct
4Q20,na,,,,-0.02
4Q20,emea,,,,6.01
4Q20,latam,,,,-15.5
4Q20,apac,,,,4.88
1Q21,na,,,,0.45
1Q21,emea,,,,8.47
1Q21,latam,,,,-11.25
1Q21,apac,,,,10.9
2Q21,na,,,,1.35
2Q21,emea,,,,9.72
2Q21,latam,,,,7.04
2Q21,apac,,,,10.11
3Q21,na,,,,0.66
3Q21,emea,,,,2.16
3Q21,latam,,,,5.44
3Q21,apac,,,,1.0
4Q21,na,,,,0.25
4Q21,emea,,,,-2.34
4Q21,latam,,,,-2.24
4Q21,apac,,,,-2.43
1Q22,na,,,,-0.02
1Q22,emea,,,,-5.52
1Q22,latam,,,,2.6
1Q22,apac,,,,-6.14
2Q22,na,,,,-0.3
2Q22,emea,,,,-10.7
2Q22,latam,,,,4.07
2Q22,apac,,,,-8.5
3Q22,na,,,,-0.3
3Q22,emea,,,,-13.86
3Q22,latam,,,,-0.53
3Q22,apac,,,,-9.75
4Q22,na,,,,-0.47
4Q22,emea,,,,-10.66
4Q22,latam,,,,5.55
4Q22,apac,,,,-11.19
1Q23,na,,,,-0.31
1Q23,emea,8.0,,,-5.38
1Q23,latam,,,,3.96
1Q23,apac,,,,-6.72
2Q23,na,-1.0,,,-0.13
2Q23,emea,8.0,,,1.51
2Q23,latam,,,,4.69
2Q23,apac,,,,-5.52
3Q23,na,-1.0,,,0.16
3Q23,emea,,6.0,,7.6
3Q23,latam,,,,11.18
3Q23,apac,,,,-3.2
4Q23,na,0.0,-2.0,2.0,0.22
4Q23,emea,,6.0,,5.14
4Q23,latam,,,,8.0
4Q23,apac,,,,-1.23
1Q24,na,3.0,0.0,3.0,0.22
1Q24,emea,7.0,4.0,3.0,1.91
1Q24,latam,,,,6.4
1Q24,apac,,,,-4.74
2Q24,na,4.0,1.0,3.0,-0.09
2Q24,emea,4.0,3.0,1.0,-0.59
2Q24,latam,,,,-1.63
2Q24,apac,,,,-3.63
3Q24,na,3.0,1.0,2.0,-0.33
3Q24,emea,6.0,3.0,3.0,1.33
3Q24,latam,,,,-10.3
3Q24,apac,,,,0.28
4Q24,na,3.0,,,-0.47
4Q24,emea,6.0,6.0,0.0,0.19
4Q24,latam,-5.0,4.0,-9.0,-13.13
4Q24,apac,,2.0,,-1.17
1Q25,na,2.0,3.0,-1.0,-0.82
1Q25,emea,2.0,4.0,-2.0,-2.24
1Q25,latam,-7.0,2.0,-9.0,-14.76
1Q25,apac,-1.0,3.0,-4.0,-4.11
2Q25,na,3.0,,,-0.33
2Q25,emea,9.0,3.0,6.0,5.2
2Q25,latam,-3.0,2.0,-5.0,-8.99
2Q25,apac,2.0,1.0,1.0,-0.34
3Q25,na,5.0,,,-0.05
3Q25,emea,10.0,4.0,6.0,5.37
3Q25,latam,4.0,3.0,1.0,1.53
3Q25,apac,2.0,3.0,-1.0,-1.61
4Q25,na,5.0,,,0.22
4Q25,emea,12.0,4.0,8.0,7.34
4Q25,latam,9.0,3.0,6.0,8.16
4Q25,apac,2.0,2.0,0.0,-0.56
1Q26,na,7.0,,,0.7
1Q26,emea,15.0,4.0,11.0,9.51
1Q26,latam,10.0,3.0,7.0,12.36
1Q26,apac,6.0,2.0,4.0,4.91
2Q26,na,7.0,,,0.25
2Q26,emea,7.0,5.0,2.0,1.93
2Q26,latam,9.0,2.0,7.0,11.43
2Q26,apac,1.0,,,2.73
