group,window,n,mean_car_pct,median_car_pct,share_positive,t_stat,p_value
CPI release,"[0,0]",60,-0.17478796014624778,-0.41470440224362753,0.38333333333333336,-0.4970844761021122,0.6209768289342834
CPI release,"[0,1]",60,-0.22738042411220755,-1.209303002275458,0.38333333333333336,-0.413784801544781,0.6805320325524923
CPI release,"[0,5]",60,0.30271351923563,0.3830457571172065,0.5333333333333333,0.41376973532015376,0.6805430061957675
CPI release,"[0,20]",60,0.10832680561361237,-0.5404619366837198,0.4666666666666667,0.08874155512519119,0.9295878494294139
CPI release,"[-1,1]",60,-0.06570577675948544,-0.004853818637311325,0.5,-0.10143720338991806,0.9195473505023538
CPI release,"[-5,-1]",60,0.47405686260077035,1.190437336546403,0.6166666666666667,0.688005901449084,0.4941452371551995
PT cut (all),"[0,0]",141,-3.77961270123629,-1.8968084267188225,0.2978723404255319,-8.79876578845598,4.625920865994257e-15
PT cut (all),"[0,1]",141,-3.522904294435904,-1.765406201490383,0.2695035460992908,-7.109278804527808,5.467741246319367e-11
PT cut (all),"[0,5]",141,-4.270771560282341,-3.1186749799073152,0.3475177304964539,-7.0248409266488645,8.559683530200484e-11
PT cut (all),"[0,20]",141,-3.279963820825133,-2.3114188801444686,0.3829787234042553,-3.746152836521078,0.0002616502072047138
PT cut (all),"[-1,1]",141,-2.9574036748187913,-1.6713803027293987,0.36879432624113473,-6.311655641956698,3.4093017484363916e-09
PT cut (all),"[-5,-1]",141,-0.8029911805292843,-0.700611291659633,0.3971631205673759,-2.170642835451418,0.03164429642762278
PT cut (ex-print week),"[0,0]",53,-0.3209397306424199,0.2787682389701803,0.5660377358490566,-1.0757069723926636,0.28702412829996676
PT cut (ex-print week),"[0,1]",53,-0.06817161585084609,0.20774399606581095,0.5094339622641509,-0.18303771403367392,0.8554802287871006
PT cut (ex-print week),"[0,5]",53,0.8757618015109606,0.5781840202145891,0.6226415094339622,1.3920321200339385,0.16983802631197945
PT cut (ex-print week),"[0,20]",53,2.4490012673980166,0.9453777947265793,0.5849056603773585,1.840655617567753,0.07138109691025978
PT cut (ex-print week),"[-1,1]",53,-0.34758958263780687,-0.5161469521901987,0.4339622641509434,-0.6956783027287439,0.4897279005342427
PT cut (ex-print week),"[-5,-1]",53,-0.7223661810741027,0.08596113063789668,0.5283018867924528,-1.0040728541367867,0.31999310173161705
PT raise (all),"[0,0]",206,2.938018093746671,0.5922019187742897,0.616504854368932,5.984817684085408,9.543180125996403e-09
