quarter,price_eq,price_n_components,z_ia_lfl_price_yoy,z_mx_cpi_lodging_yoy,z_mx_bea_hotels_price_yoy,z_px_fx_contribution_fitted
2021Q1,,0,,,,
2021Q2,,0,,,,
2021Q3,,0,,,,
2021Q4,0.134,3,,0.82,0.843,-1.262
2022Q1,0.087,3,,0.712,0.751,-1.202
2022Q2,-0.321,3,,0.207,0.215,-1.384
2022Q3,-0.947,3,,-0.719,-0.731,-1.391
2022Q4,-0.761,3,,-0.58,-0.591,-1.112
2023Q1,-0.336,3,,-0.299,-0.308,-0.402
2023Q2,-0.304,3,,-0.552,-0.573,0.215
2023Q3,-0.009,3,,-0.372,-0.395,0.74
2023Q4,-0.322,3,,-0.786,-0.815,0.637
2024Q1,-0.529,3,,-0.843,-0.849,0.104
2024Q2,-0.677,3,,-0.843,-0.86,-0.329
2024Q3,-0.734,4,-1.102,-0.776,-0.793,-0.265
2024Q4,-0.64,4,-1.107,-0.482,-0.49,-0.48
2025Q1,-0.901,4,-1.469,-0.594,-0.627,-0.916
2025Q2,-0.575,4,-1.027,-0.771,-0.818,0.317
2025Q3,-0.491,4,-1.056,-0.776,-0.831,0.697
2025Q4,-0.157,3,,-0.748,-0.802,1.079
2026Q1,0.102,3,,-0.539,-0.686,1.532
2026Q2,0.212,3,,0.003,0.001,0.634
2026Q3,-0.192,3,,-0.389,-0.359,0.171
