quarter,reaction_date,price_before,price_after,ret_1d_pct,ntm_rev_before_musd,ntm_rev_after_musd,estimate_change_pct,ev_ntm_rev_before_x,ev_ntm_rev_after_x,multiple_change_pct,ev_change_pct,quarter_nights_growth_pct,nights_accel_pts,excess_1d_pct
4Q21,2022-02-16,180.070,186.640,3.649,10008.586,10426.271,4.173,9.611,9.585,-0.273,3.889,,,3.700
1Q22,2022-05-04,145.000,156.180,7.710,11508.763,10880.406,-5.460,7.363,8.440,14.637,8.378,58.540,,4.300
2Q22,2022-08-03,116.340,115.020,-1.135,12145.126,9724.195,-19.933,5.901,7.277,23.322,-1.260,24.789,-33.751,-3.900
3Q22,2022-11-02,109.050,94.410,-13.425,10575.859,9985.820,-5.579,6.289,5.664,-9.943,-14.968,25.094,0.305,-10.000
4Q22,2023-02-15,120.870,137.010,13.353,10445.475,10205.933,-2.293,7.612,8.931,17.326,14.635,20.163,-4.931,12.600
1Q23,2023-05-10,127.070,113.190,-10.923,10581.410,10139.191,-4.179,7.233,6.631,-8.320,-12.151,18.609,-1.554,-12.000
2Q23,2023-08-04,140.880,140.170,-0.504,10581.646,10836.195,2.406,8.064,7.831,-2.889,-0.553,10.993,-7.616,-0.000
3Q23,2023-11-02,119.470,115.500,-3.323,11447.878,11126.900,-2.804,6.104,6.045,-0.973,-3.750,13.541,2.547,-5.100
4Q23,2024-02-14,150.820,148.200,-1.737,11493.123,11459.304,-0.294,7.866,7.740,-1.603,-1.892,12.018,-1.522,-2.800
1Q24,2024-05-09,157.900,147.050,-6.871,11833.692,11524.691,-2.611,7.957,7.555,-5.056,-7.536,9.496,-2.522,-7.100
2Q24,2024-08-07,130.470,113.010,-13.382,11821.783,11742.360,-0.672,6.379,5.458,-14.450,-15.025,8.688,-0.808,-12.300
3Q24,2024-11-08,147.370,134.610,-8.658,12116.819,12097.865,-0.156,7.044,6.378,-9.456,-9.598,8.481,-0.208,-8.800
4Q24,2025-02-14,141.040,161.420,14.450,12390.267,11938.732,-3.644,6.533,7.864,20.375,15.988,12.348,3.868,14.000
1Q25,2025-05-02,124.010,125.260,1.008,12078.529,12528.912,3.729,5.703,5.561,-2.489,1.147,7.919,-4.430,-0.500
2Q25,2025-08-07,130.500,120.030,-8.023,12917.094,12821.359,-0.741,5.600,5.130,-8.382,-9.061,7.434,-0.484,-8.400
3Q25,2025-11-07,120.530,120.880,0.290,13223.272,13184.241,-0.295,4.928,4.959,0.631,0.334,8.795,1.361,0.600
4Q25,2026-02-13,115.960,121.350,4.648,13513.213,14332.759,6.065,4.593,4.561,-0.699,5.323,9.820,1.025,4.400
1Q26,2026-05-08,140.460,141.490,0.733,14808.137,14922.326,0.771,5.124,5.126,0.054,0.825,9.154,-0.665,-1.600
2Q26,2026-08-07,151.640,178.070,17.429,15526.441,15499.719,-0.172,5.213,6.240,19.701,19.495,10.342,1.188,16.300
