city,dump_date,quotes,li_nightly_subtotal,li_discounted_subtotal,field_discount_amount,li_other,li_discount_amount,field_taxes,li_taxes,field_cleaning_fee,li_cleaning_fee
austin,2026-03-25,7968,7926,7613,756,170,767,18.0,18.0,0.0,0.0
austin,2026-04-23,8112,8056,7731,814,218,826,29.0,29.0,0.0,0.0
austin,2026-05-25,8394,8336,8089,831,264,844,24.0,24.0,0.0,0.0
austin,2026-06-22,10342,8587,9875,2137,2378,2154,75.0,75.0,0.0,0.0
austin,2026-07-18,10255,8559,9017,2034,3500,2053,866.0,866.0,0.0,0.0
austin,2026-08-25,10116,8492,8813,3348,3750,3370,894.0,894.0,0.0,0.0
barcelona,2026-03-21,12734,8033,11594,1848,6537,1858,0.0,0.0,1.0,1.0
barcelona,2026-04-20,7103,7076,5738,201,88,207,0.0,0.0,0.0,0.0
barcelona,2026-05-24,12313,7887,11053,1561,6112,1575,0.0,0.0,0.0,0.0
barcelona,2026-06-24,13380,8271,12196,2605,7132,2633,7.0,7.0,0.0,0.0
barcelona,2026-07-16,13693,8352,9755,2873,8924,2900,13.0,13.0,0.0,0.0
barcelona,2026-08-23,13991,8320,9912,3837,9524,3876,46.0,46.0,0.0,0.0
chicago,2026-04-24,5051,5045,4745,265,79,298,16.0,16.0,0.0,0.0
chicago,2026-05-26,7351,5449,6909,1494,2608,1526,1.0,1.0,0.0,0.0
chicago,2026-06-24,7610,5362,7125,1772,3126,1798,32.0,32.0,0.0,0.0
chicago,2026-07-20,7671,5457,6103,1776,4517,1798,773.0,773.0,0.0,0.0
chicago,2026-08-27,7815,5525,6566,2423,4768,2437,615.0,615.0,0.0,0.0
london,2026-03-21,51674,51395,48616,5911,412,5990,0.0,0.0,2.0,2.0
london,2026-04-19,52677,52459,49612,6035,462,6091,0.0,0.0,1.0,1.0
london,2026-05-24,55439,55333,52217,6358,355,6428,0.0,0.0,1.0,1.0
london,2026-06-19,62328,60174,55688,8485,5917,8518,32.0,32.0,2.0,2.0
london,2026-07-16,62210,60059,52415,8456,9935,8504,71.0,71.0,1.0,1.0
london,2026-08-18,62375,60106,53225,15856,10644,15958,76.0,76.0,2.0,2.0
los-angeles,2026-03-16,37183,19867,36108,12861,20802,12963,27.0,27.0,0.0,0.0
los-angeles,2026-04-14,36467,19831,35675,12464,20350,12578,20.0,20.0,0.0,0.0
los-angeles,2026-05-23,36274,20415,35267,11951,19312,12076,70.0,70.0,0.0,0.0
los-angeles,2026-06-15,38210,20548,37186,13205,21488,13323,59.0,59.0,0.0,0.0
los-angeles,2026-07-12,38195,20381,34149,13337,26832,13449,1788.0,1788.0,0.0,0.0
los-angeles,2026-08-10,38081,20185,33485,15487,29817,15616,2095.0,2095.0,0.0,0.0
mexico-city,2026-03-30,22402,22346,20753,2241,49,2265,31.0,31.0,0.0,0.0
mexico-city,2026-04-29,23291,23277,21815,2598,68,2638,52.0,52.0,0.0,0.0
mexico-city,2026-05-29,27054,27025,25538,3089,79,3159,50.0,50.0,0.0,0.0
mexico-city,2026-06-15,29645,29293,27811,3910,463,3981,75.0,75.0,0.0,0.0
mexico-city,2026-07-14,29211,28816,25369,3953,2935,4005,2481.0,2481.0,0.0,0.0
mexico-city,2026-08-30,28453,28115,23640,8247,4203,8296,3733.0,3733.0,0.0,0.0
nashville,2026-04-25,5906,5887,5593,368,92,376,19.0,19.0,0.0,0.0
nashville,2026-05-26,7981,7962,7634,571,132,580,15.0,15.0,0.0,0.0
nashville,2026-06-26,9522,8236,8990,1370,1841,1384,67.0,67.0,0.0,0.0
nashville,2026-07-21,9454,8163,8065,1374,3063,1390,993.0,993.0,0.0,0.0
nashville,2026-08-27,9244,7962,8010,3659,3276,3686,1049.0,1049.0,0.0,0.0
new-orleans,2026-03-19,6013,3917,5765,1655,2684,1665,17.0,17.0,0.0,0.0
new-orleans,2026-04-18,3754,3751,3545,276,78,281,9.0,9.0,0.0,0.0
new-orleans,2026-05-23,6100,4133,5970,1751,2599,1764,18.0,18.0,0.0,0.0
new-orleans,2026-06-16,6424,4114,6261,2081,3040,2098,9.0,9.0,0.0,0.0
new-orleans,2026-07-15,6418,4099,5741,2097,3774,2115,557.0,557.0,0.0,0.0
new-orleans,2026-08-15,6518,4144,5587,3343,4272,3376,734.0,734.0,0.0,0.0
new-york-city,2026-03-16,21435,4878,21225,9194,21193,9240,22.0,22.0,0.0,0.0
new-york-city,2026-04-14,20699,4917,20033,8754,19853,8781,5.0,5.0,0.0,0.0
new-york-city,2026-05-14,20063,4975,19390,8318,19053,8330,96.0,96.0,0.0,0.0
new-york-city,2026-06-08,4483,4475,4223,375,550,383,14.0,14.0,0.0,0.0
new-york-city,2026-06-14,21540,4999,20966,9118,21015,9134,58.0,58.0,0.0,0.0
new-york-city,2026-07-12,21174,4955,18552,9215,24383,9233,2189.0,2189.0,0.0,0.0
new-york-city,2026-08-10,21340,5257,18547,9527,26521,9551,2124.0,2124.0,0.0,0.0
paris,2026-03-21,35947,35918,32482,2402,484,2429,69.0,69.0,1.0,1.0
paris,2026-04-19,37143,37118,34571,2526,237,2541,88.0,88.0,1.0,1.0
paris,2026-05-23,37578,37550,33888,2430,180,2452,129.0,129.0,1.0,1.0
paris,2026-06-16,48428,41514,43532,7043,10692,7113,190.0,190.0,1.0,1.0
paris,2026-07-15,49307,42422,42129,7458,15615,7558,3614.0,3614.0,3.0,3.0
paris,2026-08-15,48007,41107,41337,11804,16765,11886,4009.0,4009.0,2.0,2.0
rome,2026-03-24,29538,29522,25969,3070,100,3134,59.0,59.0,13.0,13.0
rome,2026-04-20,29101,29093,25903,2867,69,2908,37.0,37.0,13.0,13.0
rome,2026-05-25,33779,31959,28832,4230,2275,4289,139.0,139.0,14.0,14.0
rome,2026-06-20,34331,32348,29853,4868,2610,4970,177.0,177.0,9.0,9.0
rome,2026-07-18,34282,32313,27058,5145,6109,5233,3402.0,3402.0,7.0,7.0
rome,2026-08-25,33093,31167,26595,10380,6495,10516,3670.0,3670.0,13.0,13.0
san-diego,2026-04-26,11093,8311,10792,2396,3554,2486,9.0,9.0,0.0,0.0
san-diego,2026-05-27,11252,8577,10899,2391,3583,2447,10.0,10.0,0.0,0.0
san-diego,2026-06-27,12078,8712,10307,2728,5958,2801,1031.0,1031.0,0.0,0.0
san-diego,2026-07-21,12001,8661,10313,2715,6297,2782,869.0,869.0,0.0,0.0
san-diego,2026-08-29,11738,8398,9884,4110,7150,4227,1156.0,1156.0,0.0,0.0
sydney,2026-03-21,13483,13457,12666,1210,106,1223,0.0,0.0,0.0,0.0
sydney,2026-04-18,13702,13667,13041,1419,60,1435,0.0,0.0,0.0,0.0
sydney,2026-05-23,14552,14524,13767,1637,46,1671,0.0,0.0,0.0,0.0
sydney,2026-06-16,17943,15840,16802,3185,2634,3225,0.0,0.0,0.0,0.0
sydney,2026-07-15,17915,15769,15859,2970,3666,2998,0.0,0.0,0.0,0.0
sydney,2026-08-15,17963,15869,15601,4882,4024,4906,1.0,1.0,0.0,0.0
