path,quarter,eurusd_level,eurusd_yoy_pct,driver_two_prior_q_avg,revenue_fx_fit_pp,revenue_fx_stated_pp,hedge_reclass_pp,driver_realised_share,status
consensus,2025Q3,1.1685,6.36,1.18,-0.15,0.0,,1.0,actual
consensus,2025Q4,1.1641,9.13,5.85,1.78,1.0,,1.0,actual
consensus,2026Q1,1.1701,11.11,7.74,2.56,3.0,,1.0,actual
consensus,2026Q2,1.1632,2.56,10.12,3.55,4.0,,1.0,actual
consensus,2026Q3,1.1504,-1.56,6.84,2.19,,-0.21,1.0,quarter-to-date to 2026-08-28
consensus,2026Q4,1.16,-0.36,0.5,-0.43,,-0.21,0.82,path
consensus,2027Q1,1.165,-0.44,-0.96,-1.03,,-0.18,0.32,path
consensus,2027Q2,1.17,0.59,-0.4,-0.8,,-0.18,0.0,path
consensus,2027Q3,1.175,2.14,0.07,-0.61,,,0.0,path
consensus,2027Q4,1.18,1.72,1.36,-0.07,,,0.0,path
strong_usd,2025Q3,1.1685,6.36,1.18,-0.15,0.0,,1.0,actual
strong_usd,2025Q4,1.1641,9.13,5.85,1.78,1.0,,1.0,actual
strong_usd,2026Q1,1.1701,11.11,7.74,2.56,3.0,,1.0,actual
strong_usd,2026Q2,1.1632,2.56,10.12,3.55,4.0,,1.0,actual
strong_usd,2026Q3,1.1504,-1.56,6.84,2.19,,-0.21,1.0,quarter-to-date to 2026-08-28
strong_usd,2026Q4,1.13,-2.93,0.5,-0.43,,-0.21,0.82,path
strong_usd,2027Q1,1.1,-5.99,-2.24,-1.56,,-0.18,0.32,path
strong_usd,2027Q2,1.09,-6.29,-4.46,-2.48,,-0.18,0.0,path
strong_usd,2027Q3,1.09,-5.25,-6.14,-3.18,,,0.0,path
strong_usd,2027Q4,1.1,-2.65,-5.77,-3.02,,,0.0,path
weak_usd,2025Q3,1.1685,6.36,1.18,-0.15,0.0,,1.0,actual
weak_usd,2025Q4,1.1641,9.13,5.85,1.78,1.0,,1.0,actual
weak_usd,2026Q1,1.1701,11.11,7.74,2.56,3.0,,1.0,actual
weak_usd,2026Q2,1.1632,2.56,10.12,3.55,4.0,,1.0,actual
weak_usd,2026Q3,1.1504,-1.56,6.84,2.19,,-0.21,1.0,quarter-to-date to 2026-08-28
weak_usd,2026Q4,1.19,2.22,0.5,-0.43,,-0.21,0.82,path
weak_usd,2027Q1,1.21,3.41,0.33,-0.5,,-0.18,0.32,path
weak_usd,2027Q2,1.23,5.74,2.81,0.53,,-0.18,0.0,path
weak_usd,2027Q3,1.24,7.79,4.58,1.25,,,0.0,path
weak_usd,2027Q4,1.25,5.04,6.77,2.16,,,0.0,path
