task,target,model,eval_window,n_events,first_event,last_event,min_n_train,rmse,mae,rmse_zero,rmse_last_quarter,rmse_prior_year,rmse_ar1,rmse_expanding_mean,rmse_trailing4_mean,rmse_trailing8_mean,rmse_guide,rmse_guide_plus_cushion,best_baseline,rmse_ratio_vs_best_baseline,rmse_ratio_vs_zero,beats_all_baselines,pred_sd,actual_sd,pred_sd_over_actual_sd,sign_acc_vs_zero,sign_n,supp_loo_r2_in_window,supp_loo_n,entry_convention,primary_spec
A_pre_earnings_forecast,nights_surprise_pct,bl_funds_yoy_lag1,all_evaluated,7,2024Q4,2026Q2,8,1.6847,1.3641,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.6714,0.902,False,0.276,1.3003,0.2123,0.7143,7,-0.5145,15,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,bl_funds_yoy_lag1,2023Q1+,7,2024Q4,2026Q2,8,1.6847,1.3641,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.6714,0.902,False,0.276,1.3003,0.2123,0.7143,7,-0.1362,12,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,bl_funds_yoy_lag1,2024Q1+,7,2024Q4,2026Q2,8,1.6847,1.3641,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.6714,0.902,False,0.276,1.3003,0.2123,0.7143,7,-0.4356,9,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,bl_funds_yoy_lag1,all_evaluated,10,2024Q1,2026Q2,8,1.2252,1.1121,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,1.0132,0.6453,False,0.2584,1.2347,0.2093,1.0,10,-0.264,18,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,bl_funds_yoy_lag1,2023Q1+,10,2024Q1,2026Q2,8,1.2252,1.1121,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,1.0132,0.6453,False,0.2584,1.2347,0.2093,1.0,10,0.0768,14,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,bl_funds_yoy_lag1,2024Q1+,10,2024Q1,2026Q2,8,1.2252,1.1121,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,1.0132,0.6453,False,0.2584,1.2347,0.2093,1.0,10,0.0002,10,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1,all_evaluated,11,2023Q3,2026Q2,8,1.087,0.7989,1.5559,1.8241,1.2783,1.5354,1.3621,1.4171,1.5337,,,prior_year,0.8503,0.6986,True,0.1988,1.1033,0.1802,0.9091,11,0.3247,19,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1,2023Q1+,11,2023Q3,2026Q2,8,1.087,0.7989,1.5559,1.8241,1.2783,1.5354,1.3621,1.4171,1.5337,,,prior_year,0.8503,0.6986,True,0.1988,1.1033,0.1802,0.9091,11,0.2664,12,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1,2024Q1+,9,2024Q1,2026Q2,10,1.1986,0.9381,1.6962,1.8456,0.9916,1.5813,1.4745,1.2215,1.4577,,,prior_year,1.2088,0.7067,False,0.1931,1.1793,0.1637,0.8889,9,-0.1762,9,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,eu_platform_yoy_lag1,all_evaluated,15,2022Q4,2026Q2,8,5.3563,5.1348,1.9344,1.67,1.9477,1.7865,4.2886,1.2195,2.3984,2.7772,2.9305,trailing4_mean,4.3923,2.769,False,1.4657,1.081,1.3559,1.0,15,-0.0779,23,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,eu_platform_yoy_lag1,2023Q1+,14,2023Q1,2026Q2,9,5.1705,4.9667,1.9092,1.7172,1.8852,1.7442,4.1261,1.2494,1.866,2.7756,3.0266,trailing4_mean,4.1382,2.7082,False,1.257,1.1071,1.1354,1.0,14,-0.0853,14,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,eu_platform_yoy_lag1,2024Q1+,10,2024Q1,2026Q2,13,4.5489,4.3851,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,3.7616,2.3957,False,0.7104,1.2347,0.5754,1.0,10,-0.3479,10,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_guide_cushion_trail4,all_evaluated,6,2025Q1,2026Q2,8,1.3762,1.0747,1.8231,2.0869,0.9387,1.6754,1.5551,1.3341,1.2936,,,prior_year,1.4661,0.7549,False,0.2685,1.3851,0.1939,0.8333,6,0.3331,14,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_guide_cushion_trail4,2023Q1+,6,2025Q1,2026Q2,8,1.3762,1.0747,1.8231,2.0869,0.9387,1.6754,1.5551,1.3341,1.2936,,,prior_year,1.4661,0.7549,False,0.2685,1.3851,0.1939,0.8333,6,-0.12,12,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_guide_cushion_trail4,2024Q1+,6,2025Q1,2026Q2,8,1.3762,1.0747,1.8231,2.0869,0.9387,1.6754,1.5551,1.3341,1.2936,,,prior_year,1.4661,0.7549,False,0.2685,1.3851,0.1939,0.8333,6,-0.246,9,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_guide_cushion_trail4,all_evaluated,9,2024Q2,2026Q2,8,1.2392,1.0627,1.4983,1.8593,1.6405,1.7984,3.7527,1.2023,1.0969,2.2859,2.1288,trailing8_mean,1.1297,0.8271,False,0.1841,0.9253,0.1989,1.0,9,-0.2599,17,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_guide_cushion_trail4,2023Q1+,9,2024Q2,2026Q2,8,1.2392,1.0627,1.4983,1.8593,1.6405,1.7984,3.7527,1.2023,1.0969,2.2859,2.1288,trailing8_mean,1.1297,0.8271,False,0.1841,0.9253,0.1989,1.0,9,-0.0578,14,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_guide_cushion_trail4,2024Q1+,9,2024Q2,2026Q2,8,1.2392,1.0627,1.4983,1.8593,1.6405,1.7984,3.7527,1.2023,1.0969,2.2859,2.1288,trailing8_mean,1.1297,0.8271,False,0.1841,0.9253,0.1989,1.0,9,-0.1192,10,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_guide_vs_street_lag1,all_evaluated,7,2024Q4,2026Q2,8,1.8548,1.4489,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.8402,0.9931,False,0.2882,1.3003,0.2216,0.7143,7,-0.2097,15,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_guide_vs_street_lag1,2023Q1+,7,2024Q4,2026Q2,8,1.8548,1.4489,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.8402,0.9931,False,0.2882,1.3003,0.2216,0.7143,7,-0.089,12,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_guide_vs_street_lag1,2024Q1+,7,2024Q4,2026Q2,8,1.8548,1.4489,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.8402,0.9931,False,0.2882,1.3003,0.2216,0.7143,7,-0.1767,9,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_guide_vs_street_lag1,all_evaluated,10,2024Q1,2026Q2,8,1.2131,1.0626,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,1.0031,0.6389,False,0.1763,1.2347,0.1428,1.0,10,-0.196,18,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_guide_vs_street_lag1,2023Q1+,10,2024Q1,2026Q2,8,1.2131,1.0626,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,1.0031,0.6389,False,0.1763,1.2347,0.1428,1.0,10,-0.0957,14,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_guide_vs_street_lag1,2024Q1+,10,2024Q1,2026Q2,8,1.2131,1.0626,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,1.0031,0.6389,False,0.1763,1.2347,0.1428,1.0,10,0.0052,10,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_prior_surprise,all_evaluated,7,2024Q4,2026Q2,8,1.5849,1.3556,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.5725,0.8486,False,0.2927,1.3003,0.2251,0.8571,7,,0,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_prior_surprise,2023Q1+,7,2024Q4,2026Q2,8,1.5849,1.3556,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.5725,0.8486,False,0.2927,1.3003,0.2251,0.8571,7,,0,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_prior_surprise,2024Q1+,7,2024Q4,2026Q2,8,1.5849,1.3556,1.8677,1.9661,1.0079,1.7163,1.617,1.334,1.4829,,,prior_year,1.5725,0.8486,False,0.2927,1.3003,0.2251,0.8571,7,,0,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_prior_surprise,all_evaluated,14,2023Q1,2026Q2,8,1.7442,1.3907,1.9092,1.7172,1.8852,1.7442,4.1261,1.2494,1.866,2.7756,3.0266,trailing4_mean,1.396,0.9136,False,0.8188,1.1071,0.7396,1.0,14,,0,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_prior_surprise,2023Q1+,14,2023Q1,2026Q2,8,1.7442,1.3907,1.9092,1.7172,1.8852,1.7442,4.1261,1.2494,1.866,2.7756,3.0266,trailing4_mean,1.396,0.9136,False,0.8188,1.1071,0.7396,1.0,14,,0,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_prior_surprise,2024Q1+,10,2024Q1,2026Q2,12,1.7361,1.4114,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,1.4356,0.9143,False,0.7839,1.2347,0.6349,1.0,10,,0,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_surprise_trail4,all_evaluated,9,2024Q1,2026Q2,8,1.9761,1.6429,1.6962,1.8456,0.9916,1.5813,1.4745,1.2215,1.4577,,,prior_year,1.9929,1.1651,False,0.3862,1.1793,0.3275,0.3333,9,,0,n/a (forecast task),True
