build,selector,scenario,sheet,active_cell,measure,active_column_value,scenario_column_value,active_matches_scenario_column
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E10,ADR growth y/y,0.0281600000000002,0.0281600000000002,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E11,of which FX,0.008,0.008,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E12,3Q26 GBV ($M),25391.3371083891,25391.3371083891,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E13,GBV growth y/y,0.108792013466773,0.108792013466773,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E14,3Q26 take rate,0.1783,0.1783,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E15,3Q26 adj. EBITDA margin,0.483,0.483,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E16,3Q26 adj. EBITDA ($M),2237.42753363776,2237.42753363776,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E19,"4Q26 revenue ($M), our forecast",3014.99381880667,3014.99381880667,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E20,4Q26 revenue growth,0.0853109498944105,0.0853109498944105,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E21,4Q26 nights growth,0.0699049950049953,0.0699049950049953,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E22,FY26 revenue ($M),13933.3489609138,13933.3489609138,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E23,FY26 revenue growth,0.138252508856616,0.138252508856616,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E24,FY26 adj. EBITDA margin,0.345379042516478,0.345379042516478,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E5,3Q26 revenue ($M),4632.35514210717,4632.35514210717,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E6,revenue growth y/y,0.131222256924827,0.131222256924827,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E7,3Q26 nights (M),144.1759621048,144.1759621048,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E8,nights growth y/y,0.0791613929999999,0.0791613929999999,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Card_5Nov,Card_5Nov!E9,3Q26 ADR ($),176.1135264,176.1135264,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E10,"Net cash ex float, FY2027E ($M)",8592.59477345267,8592.59477345267,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E11,"Diluted shares, FY2027E (M)",580.42933337521,580.42933337521,yes
