path,quarter,eurusd_level,eurusd_yoy_pct,usd_broad_yoy_pct,adr_fx_effect_fit_eur_pp,adr_fx_effect_fit_usd_pp,revenue_fx_fit_pp,revenue_fx_fit_contemp_pp,adr_fx_effect_actual_pp,revenue_fx_actual_pp,driver_realised_share,status
consensus,2025Q3,1.17,6.36,-1.97,2.3,1.93,-0.15,1.94,2.7,0.0,1.0,actual
consensus,2025Q4,1.16,9.13,-4.0,3.55,3.38,1.78,2.84,2.9,1.0,1.0,actual
consensus,2026Q1,1.17,11.11,-6.72,4.45,5.33,2.56,3.96,5.0,3.0,1.0,actual
consensus,2026Q2,1.16,2.56,-2.54,0.59,2.34,3.55,2.41,1.3,4.0,1.0,actual
consensus,2026Q3,1.15,-1.56,-0.39,-1.27,0.8,2.19,-0.59,,,1.0,quarter-to-date to 2026-08-28
consensus,2026Q4,1.16,-0.36,1.24,-0.73,-0.36,-0.43,-1.28,,,0.84,path
consensus,2027Q1,1.16,-0.44,1.29,-0.77,-0.4,-1.03,-1.01,,,0.34,path
consensus,2027Q2,1.17,0.59,0.7,-0.3,0.02,-0.8,-0.79,,,0.0,path
consensus,2027Q3,1.18,2.14,-0.2,0.4,0.66,-0.61,-0.18,,,0.0,path
consensus,2027Q4,1.18,1.72,0.05,0.21,0.49,-0.07,0.09,,,0.0,path
strong_usd,2025Q3,1.17,6.36,-1.97,2.3,1.93,-0.15,1.94,2.7,0.0,1.0,actual
strong_usd,2025Q4,1.16,9.13,-4.0,3.55,3.38,1.78,2.84,2.9,1.0,1.0,actual
strong_usd,2026Q1,1.17,11.11,-6.72,4.45,5.33,2.56,3.96,5.0,3.0,1.0,actual
strong_usd,2026Q2,1.16,2.56,-2.54,0.59,2.34,3.55,2.41,1.3,4.0,1.0,actual
strong_usd,2026Q3,1.15,-1.56,-0.39,-1.27,0.8,2.19,-0.59,,,1.0,quarter-to-date to 2026-08-28
strong_usd,2026Q4,1.13,-2.93,2.72,-1.89,-1.42,-0.43,-1.89,,,0.84,path
strong_usd,2027Q1,1.1,-5.99,4.49,-3.27,-2.68,-1.56,-2.94,,,0.34,path
strong_usd,2027Q2,1.09,-6.29,4.66,-3.41,-2.81,-2.48,-3.73,,,0.0,path
strong_usd,2027Q3,1.09,-5.25,4.06,-2.94,-2.38,-3.18,-3.56,,,0.0,path
strong_usd,2027Q4,1.1,-2.65,2.56,-1.77,-1.31,-3.02,-2.7,,,0.0,path
weak_usd,2025Q3,1.17,6.36,-1.97,2.3,1.93,-0.15,1.94,2.7,0.0,1.0,actual
weak_usd,2025Q4,1.16,9.13,-4.0,3.55,3.38,1.78,2.84,2.9,1.0,1.0,actual
weak_usd,2026Q1,1.17,11.11,-6.72,4.45,5.33,2.56,3.96,5.0,3.0,1.0,actual
weak_usd,2026Q2,1.16,2.56,-2.54,0.59,2.34,3.55,2.41,1.3,4.0,1.0,actual
weak_usd,2026Q3,1.15,-1.56,-0.39,-1.27,0.8,2.19,-0.59,,,1.0,quarter-to-date to 2026-08-28
weak_usd,2026Q4,1.19,2.22,-0.24,0.43,0.7,-0.43,-0.67,,,0.84,path
weak_usd,2027Q1,1.21,3.41,-0.92,0.97,1.18,-0.5,0.5,,,0.34,path
weak_usd,2027Q2,1.23,5.74,-2.27,2.02,2.15,0.53,1.34,,,0.0,path
weak_usd,2027Q3,1.24,7.79,-3.45,2.95,2.99,1.25,2.38,,,0.0,path
weak_usd,2027Q4,1.25,5.04,-1.86,1.71,1.86,2.16,2.21,,,0.0,path
