month,eu27_nights,eu27_domestic,eu27_foreign,AT_nights,BE_nights,BG_nights,CH_nights,CY_nights,CZ_nights,DE_nights,DK_nights,EE_nights,EL_nights,ES_nights,FI_nights,FR_nights,HR_nights,HU_nights,IE_nights,IS_nights,IT_nights,LI_nights,LT_nights,LU_nights,LV_nights,MT_nights,NL_nights,NO_nights,PL_nights,PT_nights,RO_nights,SE_nights,SI_nights,SK_nights,eu27_nights_yoy_pct,eu27_domestic_yoy_pct,eu27_foreign_yoy_pct,AT_nights_yoy_pct,BE_nights_yoy_pct,BG_nights_yoy_pct,CH_nights_yoy_pct,CY_nights_yoy_pct,CZ_nights_yoy_pct,DE_nights_yoy_pct,DK_nights_yoy_pct,EE_nights_yoy_pct,EL_nights_yoy_pct,ES_nights_yoy_pct,FI_nights_yoy_pct,FR_nights_yoy_pct,HR_nights_yoy_pct,HU_nights_yoy_pct,IE_nights_yoy_pct,IS_nights_yoy_pct,IT_nights_yoy_pct,LI_nights_yoy_pct,LT_nights_yoy_pct,LU_nights_yoy_pct,LV_nights_yoy_pct,MT_nights_yoy_pct,NL_nights_yoy_pct,NO_nights_yoy_pct,PL_nights_yoy_pct,PT_nights_yoy_pct,RO_nights_yoy_pct,SE_nights_yoy_pct,SI_nights_yoy_pct,SK_nights_yoy_pct
2023-01-01,28542775.0,11651018.0,16891757.0,1918995.0,492515.0,173099.0,596850.0,165684.0,470947.0,2097318.0,162961.0,62998.0,545097.0,6413515.0,263610.0,6875876.0,180220.0,442848.0,174997.0,90165.0,3238579.0,1363.0,86147.0,22496.0,58446.0,116661.0,368177.0,263622.0,1835844.0,1428631.0,383254.0,227834.0,106430.0,229596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,34604141.0,15365219.0,19238922.0,2484108.0,567375.0,219084.0,834236.0,192687.0,607840.0,2389819.0,185954.0,69424.0,565420.0,7124892.0,341846.0,9591463.0,179455.0,465862.0,233173.0,137534.0,3765004.0,1878.0,91923.0,23493.0,59131.0,145391.0,403516.0,412397.0,2016746.0,1733690.0,430244.0,304339.0,111385.0,300877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,33251102.0,12862152.0,20388950.0,1642311.0,605683.0,176695.0,559257.0,254130.0,473034.0,2533809.0,231092.0,67314.0,748915.0,7605862.0,327140.0,7673974.0,268192.0,509491.0,336720.0,148770.0,4343444.0,1402.0,89360.0,26659.0,66860.0,177712.0,524345.0,373682.0,1532480.0,2114433.0,389541.0,278396.0,83827.0,169683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,54479415.0,22173606.0,32305809.0,1281787.0,1057917.0,198322.0,631379.0,394431.0,715115.0,4267521.0,469840.0,92489.0,1849527.0,11607364.0,268440.0,12768818.0,1049477.0,768476.0,551441.0,139827.0,8569070.0,1909.0,131534.0,34947.0,94045.0,328249.0,1096295.0,372680.0,2305203.0,3327132.0,503397.0,342574.0,215133.0,190871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,55461965.0,20014631.0,35447334.0,1142807.0,1043830.0,194857.0,658648.0,444925.0,707582.0,4652361.0,501929.0,101437.0,2487816.0,9892053.0,245643.0,13522067.0,1835889.0,736173.0,558334.0,172474.0,8961335.0,1781.0,153254.0,37738.0,125927.0,371296.0,967118.0,385616.0,2196424.0,3290115.0,493275.0,391711.0,239375.0,166694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,69841055.0,23441790.0,46399265.0,1539888.0,945545.0,370280.0,798097.0,551653.0,729789.0,4759549.0,590481.0,171310.0,5053073.0,12378707.0,390752.0,13106979.0,4833030.0,878176.0,729986.0,272373.0,11966463.0,2188.0,229114.0,38254.0,166898.0,413874.0,1017952.0,652501.0,3072243.0,3993313.0,648462.0,654977.0,381118.0,229189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,116050361.0,40689732.0,75360629.0,2789568.0,1428016.0,759659.0,1183713.0,717502.0,1168615.0,6255216.0,1298422.0,302642.0,8510104.0,19949603.0,623961.0,23960382.0,10342065.0,1497350.0,1045675.0,359468.0,17547021.0,2895.0,404622.0,46338.0,316101.0,584139.0,1320648.0,1277164.0,5472983.0,5719888.0,1046584.0,1650845.0,811876.0,480536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,125102699.0,51160523.0,73942176.0,2628815.0,1378604.0,840005.0,1139168.0,800357.0,1156162.0,6041658.0,1126218.0,226433.0,9015103.0,23022599.0,485767.0,29029323.0,10346318.0,1524656.0,1148840.0,373860.0,18378861.0,3218.0,359938.0,44519.0,266365.0,674989.0,1365385.0,1056619.0,5117297.0,6443577.0,1239568.0,1164301.0,786251.0,490790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,69296539.0,22745252.0,46551287.0,1431944.0,930892.0,351748.0,730173.0,642601.0,787825.0,4931119.0,468032.0,99836.0,5328585.0,12997843.0,314131.0,12922434.0,3869645.0,794165.0,597816.0,251523.0,12338325.0,1955.0,170475.0,40294.0,119431.0,465200.0,903167.0,476398.0,2894137.0,4176122.0,700679.0,404857.0,350219.0,265017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,55288067.0,18830770.0,36457297.0,1138701.0,1003625.0,218581.0,641412.0,644738.0,745482.0,4960075.0,483625.0,96222.0,2499528.0,11902043.0,284546.0,11373441.0,1004262.0,734470.0,469762.0,218049.0,9090754.0,1781.0,119454.0,40762.0,93084.0,443481.0,946901.0,397357.0,2173444.0,3483449.0,616873.0,354847.0,171495.0,194422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
