bridge,basis,group,component,margin_pts,detail,evidence
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-1.748,Cost of revenue $3.66 -> $4.53 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,Nights leverage (fixed share 1%),-0.099,Cost of revenue $3.66 -> $4.53 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),-4.102,Cost of revenue $3.66 -> $4.53 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Operations and support,Nights leverage (fixed share 19%),-2.039,Operations and support $2.48 -> $3.70 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Operations and support,Per-unit cost change (cash cost per night),-6.305,Operations and support $2.48 -> $3.70 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Product development,Nights leverage (fixed share 32%),-4.29,Product development $2.81 -> $4.82 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),-9.432,Product development $2.81 -> $4.82 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),-0.0,Brand and performance marketing $3.49 -> $2.48 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),6.88,Brand and performance marketing $3.49 -> $2.48 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Field operations and policy,Nights leverage (fixed share 0%),-0.0,Field operations and policy $1.44 -> $1.88 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),-2.981,Field operations and policy $1.44 -> $1.88 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: General and administrative,Nights leverage (fixed share 61%),-4.788,General and administrative $2.06 -> $2.32 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),3.018,General and administrative $2.06 -> $2.32 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,Take rate,13.629,revenue per night $14.70 -> $17.48,"take rate 12.66% -> 14.14% (revenue / GBV, letters)"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,ADR (FX and mix unallocated),7.762,revenue per night $14.70 -> $17.48,no annual ADR decomposition for this leg (07_full_decomposition.csv starts at 2021)
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Add-backs,"D&A, restructuring and other add-backs",2.345,3.1% -> 5.5% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
FY2019->FY2020,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",TOTAL,Change in Adjusted EBITDA margin,-2.15,-5.3% -> -7.4%,identity check: components sum to the actual change within 0.000 points
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-5.554,Cost of revenue $4.53 -> $3.85 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,Nights leverage (fixed share 1%),0.072,Cost of revenue $4.53 -> $3.85 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),9.42,Cost of revenue $4.53 -> $3.85 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Operations and support,Nights leverage (fixed share 19%),1.489,Operations and support $3.70 -> $2.66 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Operations and support,Per-unit cost change (cash cost per night),4.504,Operations and support $3.70 -> $2.66 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Product development,Nights leverage (fixed share 32%),3.09,Product development $4.82 -> $2.93 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),7.758,Product development $4.82 -> $2.93 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),0.0,Brand and performance marketing $2.48 -> $0.00 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
