,excess_1d,excess_5d,excess_20d,nights_accel,beat_pct,naive_next_rev,guide_mid_next,guide_vs_naive_pct,wf_cushion_pct,guide_implied_actual,cushion_aware_guide_surprise_pct,fy_guide_action,margin_guide_dir,margin_guide_dir_change
4Q20,12.9,1.8,-2.8,,,,,,,,,0,,
1Q21,1.8,-2.6,2.5,,,,,,,,,0,,
2Q21,0.7,-4.7,6.8,,,,,,,,,0,,
3Q21,12.9,9.3,-2.8,,,1434.697,1435.0,0.021119441944894568,,,,0,0.0,
4Q21,3.7,-9.2,-9.1,29.57,6.759581881533094,1578.8600000000001,1445.0,-8.478269130891913,,,,0,,
1Q22,4.3,-14.2,-15.5,0.01,4.429065743944638,2269.5,2080.0,-8.349856796651245,,,,0,1.0,
2Q22,-3.9,-2.5,1.0,-33.75,1.1538461538461497,3534.46,2830.0,-19.93119175206397,,,,0,,
3Q22,-10.0,-7.3,-13.0,0.3,1.90812720848057,1976.28,1840.0,-6.8957839982188744,3.17,1898.3280000000002,-3.9443803509624065,0,,
4Q22,12.6,9.3,-3.5,-4.93,3.3695652173913127,1871.16,1785.0,-4.6046302828192225,3.37,1845.1545,-1.3898063233502178,0,-1.0,
1Q23,-12.0,-18.8,-16.7,-1.55,1.8487394957983128,2524.7999999999997,2400.0,-4.942965779467667,2.64,2463.36,-2.4334600760456127,0,-1.0,0.0
2Q23,-0.0,-2.1,-7.7,-7.62,3.499999999999992,3403.12,3350.0,-1.5609205670090942,3.37,3462.8950000000004,1.7564764098827013,0,1.0,2.0
3Q23,-5.1,-6.0,-3.2,2.55,1.4029850746268613,2244.3599999999997,2150.0,-4.204316598050206,2.64,2206.7599999999998,-1.6753105562387405,1,1.0,0.0
4Q23,-2.8,-0.4,6.5,-1.52,3.1627906976744224,2127.06,2050.0,-3.6228409165702913,3.16,2114.78,-0.577322689533899,0,1.0,0.0
1Q24,-7.1,-10.6,-12.2,-2.52,4.4878048780487845,2931.12,2710.0,-7.543874014028762,3.265,2798.4815000000003,-4.525181500586795,0,-1.0,-2.0
2Q24,-12.3,-15.6,-16.5,-0.81,1.4022140221402246,3770.6700000000005,3700.0,-1.8742027278971785,3.16,3816.92,1.2265724659012767,0,-1.0,0.0
3Q24,-8.8,-7.7,-9.6,-0.21,0.864864864864856,2439.8,2415.0,-1.0164767603902058,2.535,2476.22025,1.4927555537338932,1,-1.0,0.0
4Q24,14.0,5.4,-2.4,3.87,2.69151138716357,2399.0400000000004,2250.0,-6.212484993997613,2.69,2310.5249999999996,-3.6896008403361713,0,-1.0,0.0
1Q25,-0.5,0.5,-3.7,-4.43,0.9777777777777885,2912.88,3020.0,3.677460108209063,2.3,3089.4599999999996,6.062041690697839,0,-1.0,0.0
2Q25,-8.4,-6.9,-5.3,-0.48,2.516556291390737,4217.16,4060.0,-3.7266786178375977,2.52,4162.312,-1.3005909190071052,-1,-1.0,0.0
3Q25,0.6,1.1,0.9,1.36,0.8620689655172376,2728.0,2690.0,-1.3929618768328433,2.215,2749.5834999999997,0.7911840175953033,1,-1.0,0.0
4Q25,4.4,8.9,10.1,1.03,3.271375464684012,2544.6400000000003,2610.0,2.5685362173038184,2.52,2675.772,5.153263329979874,0,0.0,1.0
1Q26,-1.6,-8.4,-6.4,-0.67,2.605363984674325,3653.2799999999997,3570.0,-2.2795953225594467,2.565,3661.5705,0.2269330574169004,1,1.0,1.0
2Q26,16.3,19.6,,1.19,1.0644257703081195,4791.15,4730.0,-1.2763115327217855,,,,1,-1.0,-2.0
