id,name,file_or_location,owner,source,licence,frequency,first_date,last_date,n_obs,point_in_time_lag,maps_to,role,tested_already,verdict_so_far,untested_idea,combinable_with,build_forward,on_disk
D001,"Nights & Seats Booked, quarterly",data/processed/abnb_quarterly_kpis_from_study.csv; abnb_driver_history_quarterly.csv,Krish,Shareholder letters 8-K Ex.99.1 (S23),public (SEC filing),quarterly,1Q21,2Q26,22,0: print day (after close),nights,level / y-y / second derivative,"yes: predictive/04, 2026-09-06_predictive-study + predictive/03",Nights acceleration sign sets day-1 reaction 17/21; level not forecastable pre-print,Score the 5 Nov card: does Q3 nights y/y beat 10% (Q2) and what sign follows,"D002,D003,D060,D110,D121",no,yes
D002,"Gross Booking Value, quarterly",data/processed/abnb_quarterly_kpis_from_study.csv,Krish,Shareholder letters 8-K Ex.99.1 (S23),public,quarterly,1Q21,2Q26,22,0: print day,GBV,level / y-y,yes: 2026-09-06_predictive-study + predictive/03,"Only macro hit (real PCE lag 1, r -0.84) flips sign across windows: spurious",GBV growth minus nights growth as the price-plus-mix line vs Hawaii total rate (D165),"D001,D003,D014,D015",no,yes
D003,"ADR reported, quarterly",data/processed/abnb_quarterly_kpis_from_study.csv; hotel_price_monitor_monthly.csv,Krish,Shareholder letters 8-K Ex.99.1 (S23),public,quarterly,1Q21,2Q26,22,0: print day,ADR,price,yes: 2026-09-06_predictive-study + predictive/03,USD trade-weighted y/y explains reported ADR y/y r -0.92 post-2022 (FX channel),Regress reported ADR on hotel CPI + FX + IA quote price once the 2026 quote basis has 4 quarters,"D004,D087,D088,D070,D165",no,yes
D004,ADR ex-FX (letter-stated 4Q25-2Q26; annual FX impact earlier),data/processed/hotel_price_monitor_monthly.csv (abnb_adr_exfx_yoy_pct); abnb_revenue_decomposition.csv,Krish,Shareholder letters 8-K Ex.99.1 (S23),public,"quarterly (3 exact, rest derived)",1Q22,2Q26,18,0: print day,ADR,price,"yes: 2026-09-06_predictive-study + predictive/03, predictive/04",Initial claims y/y r -0.78 post-2022 (WATCH); ADR ex-FX adds nothing to margin once S&M known,Ask IR / parse every letter for quarterly ex-FX ADR to replace the annual-FX approximation,"D078,D072,D003",no,yes
D005,"Revenue, quarterly (GAAP)",data/processed/abnb_quarterly_costlines.csv; abnb_edgar_quarterly_kpis.csv,Krish; Theo,SEC XBRL companyfacts CIK 1559720 (S25); Shareholder letters 8-K Ex.99.1 (S23),public,quarterly,1Q20,2Q26,26,0: print day (8-K acceptance ~16:05 ET),revenue,level / y-y,"yes: predictive/01, 2026-09-05_eu-platform-and-backlog",Guide midpoint + trailing cushion is the best revenue forecast (MAE 1.1%); beat 19/19,None needed; model revenue = guide top + 0 to 1%,"D030,D014,D015",no,yes
D006,"Take rate (revenue / GBV), quarterly",data/processed/abnb_quarterly_kpis_from_study.csv (take_rate_pct); abnb_revenue_decomposition.csv,Krish,derived from letters,public,quarterly,1Q21,2Q26,22,0: print day,take rate,mix / level,"yes: 2026-09-05_driver-model, predictive/05",A timing line (check-in recognition); flat and guided flat; take-rate bulls wrong 3 years unpunished,Same-quarter y/y take rate vs RNPL share of GBV (mgmt: >20% in Q2 26) and single-fee migration dates,"D002,D005,D032",no,yes
D007,"Adjusted EBITDA and margin, quarterly",data/processed/abnb_quarterly_costlines.csv; abnb_quarterly_cost_stack_exsbc.csv,Krish,Shareholder letters 8-K Ex.99.1 (S23) reconciliation,public,quarterly,1Q20,2Q26,26,0: print day,EBITDA margin,level / y-y,yes: predictive/04,Margin nowcast LOO 2.0 pts vs guide 2.8 only with print-day S&M; lagged inputs tie the guide,Score Q3 26 nowcast 49.1-49.8% vs 50.1% ceiling on 5 Nov,"D009,D031",no,yes
D008,"GAAP cost lines (CoR, ops & support, product dev, S&M, G&A, restructuring, SBC total)",data/processed/abnb_quarterly_costlines.csv,Krish,SEC XBRL companyfacts CIK 1559720 (S25),public,quarterly,1Q20,2Q26,26,0: print day (10-Q same day or within days),cost line,level / % revenue,yes: 2026-09-05_margin-drivers,S&M 18.0% to 24.3% of revenue 2Q22 to 2Q26; every other line down; mix rotation,Brand vs performance marketing split from 10-K as an annual driver of S&M leverage,"D009,D010",no,yes
D009,"Ex-SBC cash cost stack per line, per night and % revenue",data/processed/abnb_quarterly_cost_stack_exsbc.csv,Krish,Shareholder letters 8-K Ex.99.1 (S23) SBC-by-function footnote + XBRL,public,quarterly,1Q21,2Q26,22,0: print day,cost line / EBITDA margin,level / per-night,"yes: predictive/04, 2026-09-05_margin-drivers",Prior-quarter S&M cash deleverage vs next day-1 excess r +0.59 (n 17); one hit in ~60 tests,Pre-register the S&M-deleverage tilt for 5 Nov; score it; re-run with n 23,"D007,D008,D042",no,yes
D010,"SBC by function (ops, PD, S&M, G&A)",data/processed/abnb_quarterly_cost_stack_exsbc.csv (sbc_* cols),Krish,Shareholder letters 8-K Ex.99.1 (S23); 1Q21/2Q21 from 10-Q,public,quarterly,1Q21,2Q26,22,0: print day,SBC,level / % revenue,yes: 2026-09-05_capital-return-panel,"SBC 13.1% of revenue FY25, 34.7% of FCF; heaviest in peer set",SBC per employee vs headcount disclosures as a leading read on FY27 SBC guide,"D013,D023",no,yes
D011,D&A and other Adj. EBITDA add-backs,"data/processed/abnb_quarterly_cost_stack_exsbc.csv (da, other_addbacks)",Krish,Shareholder letters 8-K Ex.99.1 (S23) reconciliation,public,quarterly,1Q21,2Q26,22,0: print day,EBITDA margin / FCF,level,no,,None; immaterial (D&A 0.7% of revenue),D012,no,yes
D012,"FCF bridge: Adj. EBITDA, interest income/expense, tax, other, change in unearned fees, CFO, capex, FCF",data/processed/abnb_fcf_bridge.csv,Krish,Shareholder letters 8-K Ex.99.1 (S23) FCF reconciliation; cash taxes from 10-K,public,quarterly + FY,1Q21,FY2025,27,0: print day,FCF,level / conversion,"yes: 2026-09-05_margin-drivers, 2026-09-05_capital-return-panel",FCF/EBITDA 105-111% FY23-25 is float growth plus interest income; nobody models it,Interest income vs Fed funds path as an explicit FY27 FCF line,"D014,D015,D013",no,yes
D013,"Capital return: buybacks, RSU withholding, diluted and basic shares, net cash return",data/processed/abnb_capital_return_quarterly.csv,Krish,SEC XBRL companyfacts CIK 1559720 (S25); letters from 1Q23,public,quarterly,1Q21,2Q26,22,0: print day,share count / SBC,level / y-y,yes: 2026-09-05_capital-return-panel,Share count -3% to -4% a year; net cash return 60% of FCF after SBC,Buyback pace vs 20-day post-print drawdown: does the company buy the dips,"D010,D040",no,yes
D014,"Unearned fees (ContractWithCustomerLiabilityCurrent), quarter-end",data/processed/abnb_backlog_indicators.csv,Krish,SEC XBRL companyfacts CIK 1559720 (S25),public,quarterly,4Q20,2Q26,23,0: 10-Q filing (print day),revenue (next quarter),second derivative / backlog,yes: 2026-09-05_eu-platform-and-backlog,R^2 0.96 on next-Q revenue growth 4Q21-2Q25; RNPL broke it from 3Q25 (gap 2.6 to 13.2 pts),Unearned fees + RNPL share of GBV (letter) as a two-variable backlog once 4 RNPL quarters exist,"D015,D005",no,yes
D015,"Funds held for clients (FundsHeldForClients), quarter-end",data/processed/abnb_backlog_indicators.csv,Krish,SEC XBRL companyfacts CIK 1559720 (S25),public,quarterly,4Q20,2Q26,23,0: 10-Q filing,revenue (next quarter),backlog / nowcast,yes: 2026-09-05_eu-platform-and-backlog,R^2 0.78 next-Q revenue growth; 2Q26 read implies 3Q26 $4.56B vs guide $4.69-4.77B,"Score the 3Q26 funds-held read on 5 Nov; if it misses, drop the series","D014,D030",no,yes
D016,XBRL quarterly revenue and deferred revenue (Theo's pull),data/processed/abnb_edgar_quarterly_kpis.csv,Theo,SEC XBRL companyfacts CIK 1559720 (S25),public domain,quarterly,2020-03-31,2026-06-30,43,0: filing day,revenue,level,no (duplicate of D005/D014),,None,"D005,D014",no,yes
D017,"KPI sentences from 10-Q/10-K text (nights 231, GBV 127, ADR 8, RNPL 2)",data/processed/abnb_filing_kpis.csv,Theo,SEC 10-Q/10-K primary documents,public domain,quarterly,2023-03-31,2026-06-30,368,0: filing day,nights / GBV / ADR,evidence (not series),no,"Evidence-grade only; clean KPI tables are HTML tables, not prose (data/README)","Parse the 10-Q KPI HTML tables directly (nights, GBV by quarter) as a cross-check on the letters",D001,no,yes
D018,Revenue by geography (host location): EMEA/NA/LatAm/APAC,"data/processed/eurostat_platform_nights_quarterly.csv (emea_usd_m); data/processed/overnight/10_xbrl_revenue_geography.csv (in flight, ws 10)",Krish,10-Q/10-K Geographic Information note; XBRL segment facts,public,quarterly (annual pre-2023 in 10-K),4Q23,2Q26,258,0: 10-Q filing,regional nights (proxy: regional revenue),mix / regional,yes: 2026-09-05_eu-platform-and-backlog,"EMEA revenue grows with the Eurostat category, not faster (-2.4 pts 4Q23-2Q25, +8.6 on euro 3Q25-1Q26)",Regional revenue y/y minus regional FX as the regional-nights proxy; test vs Eurostat by country,"D110,D111,D088",no,yes
D019,"Revenue growth decomposition: nights, ADR ex-FX, FX, take rate, residual (pts)",data/processed/abnb_revenue_decomposition.csv,Krish,derived (letters + Theo FX split),public,quarterly,1Q22,2Q26,18,0: print day,revenue,mix,yes: 2026-09-05_driver-model,Nights 8-10 pts every quarter since 2Q23; FX borrowed 3-4 pts in 1H26; take rate a timing line,None; it is the model's identity,"D001,D004,D087",no,yes
D020,Balance sheet and multiples snapshot (30 Jun 2026 / 4 Sep 2026 close),data/processed/abnb_multiples_today.csv,Krish,SEC XBRL companyfacts CIK 1559720 (S25); yfinance,public,one-off,2026-06-30,2026-09-04,1,n/a,share count / valuation,level,yes: 2026-09-05_driver-model,$182 discounts 7.5% FCF growth (reported) or 13.3% (SBC-adjusted) for 10 years,None,D013,no,yes
D021,Adj. EBITDA margin bridge FY22->FY25 by cost line and revenue-per-night component,data/processed/abnb_margin_bridge.csv,Krish,derived from D009,public,annual,FY2022,FY2025,33,n/a,EBITDA margin,mix,yes: 2026-09-05_margin-drivers,"Revenue per night +5.1 pts of margin, S&M took back 4.2; all other cash lines within 0.5 pt",None,D009,no,yes
D022,"ABNB vs BKNG vs EXPE annual: growth, take rate, marketing %, SBC %, margins, FCF, buybacks",data/processed/abnb_vs_bkng_annual.csv,Krish,SEC XBRL for 3 CIKs (S31); BKNG press releases for gross bookings,public,annual,FY2021,FY2025,15,~6-8 weeks after FY end (10-K),EBITDA margin / take rate (peer context),level,yes: 2026-09-05_margin-drivers,BKNG cut share count 18.5% 2022-25 at $1.3B per point with SBC 7% of FCF,None for prediction; keep for the margin ceiling argument,D023,no,yes
D023,"Cannibal scorecard: SBC, buybacks, FCF, diluted shares for ABNB, BKNG, EXPE, META, NFLX, UBER, DASH",data/processed/capital_return_scorecard_annual.csv,Krish,SEC XBRL 7 CIKs (S33),public,annual,FY2021,FY2025,42,~6-8 weeks after FY end,share count / SBC,level,yes: 2026-09-05_capital-return-panel,"ABNB SBC 13.1% of revenue vs META 10.2, DASH 7.7, UBER 3.5, BKNG 2.3",None,D013,no,yes
D024,Cash taxes paid (10-K memo),data/processed/abnb_fcf_bridge.csv (cash_taxes_paid_10k),Krish,10-K via XBRL,public,annual,FY2021,FY2025,5,~6-8 weeks after FY end,FCF,level,no,,"Cash tax vs provision gap as a FY27 FCF swing (Pillar 2, NOL exhaustion)",D012,no,yes
D030,"Next-quarter revenue guide (low/high/mid), 20 numeric + 3 qualitative",theos-past-research/research/guidance/data/normalized/guidance_items.csv (metric revenue); data/processed/abnb_revenue_guidance_vs_actual.csv,Theo (Krish derived),Theo guidance dataset (S27) from letters,public,quarterly,2020Q4 event,2026Q2 event (guides 2026Q3),23,0: letter release,guidance / revenue,level / y-y,"yes: predictive/01, 2026-09-06_predictive-study + predictive/03","Beat midpoint 19/19, top of range 15/19; guide direction does not predict day-1",Guide width (range as % of mid) as an uncertainty signal for the 20-day drift,"D005,D038,D036",no,yes
