print_quarter,print_date,target,model,decision_time,last_training_label_quarter,feature_value,feature_status,forecast,resid_sd,n_train,bl_zero,bl_last_quarter,bl_expanding_mean,bl_trailing4_mean,bl_trailing8_mean,designated_primary,bl_guide,bl_guide_plus_cushion,consensus_vintage,note
2026Q3,2026-11-05,nights_surprise_pct,f_prior_surprise,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,1.966,observed,0.8554,2.0441,15,0.0,1.966,0.6324,1.8255,1.3936,False,,,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,nights_surprise_pct,f_surprise_trail4,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,1.8255,observed,0.3513,1.7661,17,0.0,1.966,0.6324,1.8255,1.3936,False,,,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,nights_surprise_pct,f_guide_vs_street_lag1,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,2.603,observed,0.5004,1.7126,15,0.0,1.966,0.6324,1.8255,1.3936,False,,,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,nights_surprise_pct,f_guide_cushion_trail4,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,1.975,observed,1.0418,1.3939,14,0.0,1.966,0.6324,1.8255,1.3936,False,,,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,nights_surprise_pct,pr_hotel_revpar_yoy_pit,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,,PENDING at 2026-09-06,,2.0518,17,0.0,1.966,0.6324,1.8255,1.3936,False,,,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,nights_surprise_pct,bl_funds_yoy_lag1,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,10.455,observed,0.8394,1.606,15,0.0,1.966,0.6324,1.8255,1.3936,False,,,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,nights_surprise_pct,eu_platform_yoy_lag1,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,,PENDING at 2026-09-06,,1.6133,19,0.0,1.966,0.6324,1.8255,1.3936,False,,,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,nights_surprise_pct,ia_reviews_ltm_matched_yoy,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,9.0083,observed,1.1952,1.1714,10,0.0,1.966,0.6324,1.8255,1.3936,False,,,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,revenue_surprise_pct,f_prior_surprise,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,0.782,observed,1.5989,4.1397,22,0.0,0.782,3.9784,1.374,1.3339,False,2.603,4.6294,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
2026Q3,2026-11-05,revenue_surprise_pct,f_surprise_trail4,2026-09-06 spec freeze; refit allowed only on labels through 2026Q2,2026Q2,1.374,observed,1.4167,1.4642,21,0.0,0.782,3.9784,1.374,1.3339,False,2.603,4.6294,"guide-vs-Street +2.603% set 6-Aug-26 (LSEG $4,610m next-Q vs $4,730m midpoint). Zacks $4,740m (4-Sep-26) is a LATER vintage and is not the feature. The realised target is measured against the print-day (5-Nov-26) consensus.",frozen before the 5 Nov 2026 print; the feature set must not be re-selected after the print
