quarter,cross_border_share_of_gross_nights_pct,source
2019Q1,51,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2019Q2,50,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2019Q3,48,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2019Q4,47,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2021Q3,33,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2021Q4,34,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2022Q1,39,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2022Q2,43,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2022Q3,43,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2022Q4,44,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2023Q1,45,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2023Q2,45,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2023Q3,45,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2023Q4,44,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
2024Q1,46,shareholder letters (Travel corridors section); 2019 values quoted as comparators in the 2022-23 letters; not disclosed after 1Q24
