fit,dependent,regressors,n,r2,log_dependent,abnb_actual,abnb_fitted,abnb_premium_pct,b_const,t_const,b_ntm_revenue_growth_pct,t_ntm_revenue_growth_pct,abnb_fitted_loo_min,abnb_fitted_loo_max,implied_bear_fy27,implied_base_fy27,implied_bull_fy27,b_rule_of_40,t_rule_of_40,b_adj_ebitda_margin_pct,t_adj_ebitda_margin_pct,b_sbc_pct_rev,t_sbc_pct_rev,b_fcf_conversion_pct,t_fcf_conversion_pct,b_gaap_ebitda_margin_pct,t_gaap_ebitda_margin_pct,b_fcf_margin_pct,t_fcf_margin_pct,b_rule_of_40_sbc_adj,t_rule_of_40_sbc_adj
all peers | all 18 peers,ev_ntm_adj_ebitda_x,ntm_revenue_growth_pct,18,0.188,True,18.540,14.423,28.544,2.344,12.272,0.021,1.915,13.983,15.244,11.381,13.431,14.291,,,,,,,,,,,,,,
all peers | travel + marketplace (12),ev_ntm_adj_ebitda_x,ntm_revenue_growth_pct,12,0.353,True,18.540,15.597,18.866,2.226,13.841,0.033,4.940,14.860,17.269,10.671,13.914,15.370,,,,,,,,,,,,,,
all peers | all 18 peers,ev_ntm_adj_ebitda_x,rule_of_40,18,0.055,True,18.540,16.583,11.800,2.383,6.895,,,13.829,18.099,14.440,16.102,17.224,0.008,0.851,,,,,,,,,,,,
all peers | travel + marketplace (12),ev_ntm_adj_ebitda_x,rule_of_40,12,0.057,True,18.540,16.695,11.052,2.321,5.426,,,11.941,19.861,14.218,16.134,17.446,0.009,0.713,,,,,,,,,,,,
all peers | all 18 peers,ev_ntm_adj_ebitda_x,ntm_revenue_growth_pct+adj_ebitda_margin_pct,18,0.452,True,18.540,12.010,54.376,2.791,13.973,0.033,3.681,11.573,12.907,8.451,10.354,10.585,,,-0.024,-4.265,,,,,,,,,,
all peers | travel + marketplace (12),ev_ntm_adj_ebitda_x,ntm_revenue_growth_pct+adj_ebitda_margin_pct,12,0.438,True,18.540,12.268,51.126,2.683,5.769,0.034,3.385,10.283,16.024,8.506,10.592,10.976,,,-0.020,-1.118,,,,,,,,,,
all peers | all 18 peers,ev_ntm_adj_ebitda_x,ntm_revenue_growth_pct+adj_ebitda_margin_pct+sbc_pct_rev+fcf_conversion_pct,18,0.483,True,18.540,10.096,83.636,2.732,8.496,0.034,4.053,7.255,11.196,6.720,8.672,9.302,,,-0.020,-2.422,-0.028,-0.958,0.001,0.339,,,,,,
all peers | travel + marketplace (12),ev_ntm_adj_ebitda_x,ntm_revenue_growth_pct+adj_ebitda_margin_pct+sbc_pct_rev+fcf_conversion_pct,12,0.564,True,18.540,7.268,155.095,3.124,9.430,0.038,3.879,3.808,9.722,4.934,6.411,6.965,,,-0.013,-0.586,-0.045,-0.967,-0.007,-1.451,,,,,,
"all peers, SBC-burdened EBITDA | all 18 peers",ev_ntm_gaap_ebitda_x,ntm_revenue_growth_pct+gaap_ebitda_margin_pct,18,0.514,True,29.305,17.962,63.150,3.033,20.142,0.033,4.816,17.451,18.821,13.259,15.437,14.989,,,,,,,,,-0.030,-4.541,,,,
"all peers, SBC-burdened EBITDA | travel + marketplace (12)",ev_ntm_gaap_ebitda_x,ntm_revenue_growth_pct+gaap_ebitda_margin_pct,12,0.503,True,29.305,17.676,65.788,2.944,9.910,0.033,5.132,16.596,20.160,12.860,15.212,14.981,,,,,,,,,-0.027,-1.659,,,,
all peers | all 18 peers,ev_ntm_fcf_x,ntm_revenue_growth_pct,17,0.199,True,17.733,22.028,-19.495,2.632,10.058,0.029,2.795,20.257,23.366,15.757,19.915,21.744,,,,,,,,,,,,,,
all peers | travel + marketplace (12),ev_ntm_fcf_x,ntm_revenue_growth_pct,12,0.094,True,17.733,21.290,-16.707,2.702,9.683,0.023,2.111,19.267,23.434,16.426,19.692,21.078,,,,,,,,,,,,,,
all peers | all 18 peers,ev_ntm_fcf_x,ntm_revenue_growth_pct+fcf_margin_pct+sbc_pct_rev,17,0.589,True,17.733,7.866,125.429,3.540,8.305,0.033,2.950,5.004,9.895,6.791,7.054,6.233,,,,,-0.023,-0.750,,,,,-0.047,-2.766,,
all peers | travel + marketplace (12),ev_ntm_fcf_x,ntm_revenue_growth_pct+fcf_margin_pct+sbc_pct_rev,12,0.599,True,17.733,3.588,394.298,3.870,8.519,0.029,2.010,1.586,5.958,3.165,3.248,2.900,,,,,-0.084,-1.343,,,,,-0.054,-2.696,,
"all peers, SBC-adjusted FCF | all 18 peers",ev_ntm_sbc_adj_fcf_x,ntm_revenue_growth_pct,17,0.177,True,27.339,31.835,-14.123,2.956,8.784,0.032,1.815,28.997,34.140,22.050,28.504,31.386,,,,,,,,,,,,,,
