quarter,reaction_date,side,excess_1d_pct,excess_5d_pct,excess_20d_pct,driver_class,quote_source,quote_speaker,quote_words,management_quote,quote_verified,press_cited_driver,prepared_words,qa_mgmt_words,n_analyst_questions,n_analysts,ceo_share_total,lm_net_prepared,lm_net_qa,tone_gap_qa_minus_prepared,hedge_qa_per1k,n_numbers_prepared,n_guide_decline_phrases_qa,analyst_lm_net_per1k,theme_long_term_targets_share_prepared,theme_international_share_total,theme_demand_macro_share_total,theme_margins_profitability_share_total
2026Q2,2026-08-07,best,16.3,19.6,nan,guide,letter,shareholder letter,25,"we now expect year-over-year revenue growth to improve to at least mid teens, supported by the accelerated pace of Nights and Seats Booked we've observed",yes,"Beat on every KPI and a second consecutive raise to the FY26 revenue and margin guide; nights accelerating to +10%, GBV +16%, EBITDA margin guide to at least 35.5%.",2463,6009,15,12,0.737,28.83,7.32,-21.51,13.48,44,1,12.68,0.0643,0.0301,0.014,0.0381
2024Q4,2025-02-14,best,14.0,5.4,-2.4,KPI,letter,shareholder letter,25,Q4 was our highest nights and bookings growth quarter of 2024 and we are excited by the continued strong demand we are seeing in 2025.,yes,Nights 111.0m (+12%) vs 108.7m expected; EPS $0.73 vs $0.58. The Q1 revenue guide of $2.23-2.27bn was below the Street and was ignored. Best day on record.,1085,6824,31,16,0.571,33.18,11.28,-21.9,13.63,36,0,10.7,0.1017,0.0337,0.0193,0.0627
2021Q3,2021-11-05,best,12.9,9.3,-2.8,guide,letter,shareholder letter,23,"looking forward to a strong Q4 with accelerating GBV growth, continued revenue strength, and further Adjusted EBITDA margin expansion, compared to Q3 2021",yes,"Record quarter: revenue $2.24bn (+67%), net income $834m, adj. EBITDA $1.1bn (49% margin), plus an accelerating Q4 GBV guide. Expedia rose 15.6% the same day on its own beat.",1223,6502,32,13,0.74,22.89,14.15,-8.74,14.0,21,1,0.0,0.0,0.0468,0.0061,0.0081
2020Q4,2021-02-26,best,12.9,1.8,-2.8,margin,call_qa,Dave Stephenson,15,And what we would expect to achieve over time is 30% EBITDA margins or greater.,yes,First print as a public company. Revenue $859m (-22%) beat ~$748m; recovery narrative. The 30% margin ambition was the first long-term financial framework the company had given.,1222,6993,28,13,0.795,22.91,11.73,-11.18,9.01,13,0,4.56,0.0139,0.0217,0.0099,0.0414
2022Q4,2023-02-15,best,12.6,9.3,-3.5,guide,letter,shareholder letter,21,We expect revenue of $1.75 billion to $1.82 billion in Q1 2023. This represents year-over-year growth of between 16% and 21%,yes,"First profitable full year (net income $1.9bn, FCF $3.4bn) and a Q1 guide of $1.75-1.82bn against a $1.68bn Street. Nights 88.2m came in slightly light and was ignored.",1067,7032,33,16,0.602,20.62,15.78,-4.84,11.8,26,1,11.54,0.0256,0.0447,0.0224,0.0427
2024Q2,2024-08-07,worst,-12.3,-15.6,-16.5,macro,letter,shareholder letter,18,"However, we are seeing shorter booking lead times globally and some signs of slowing demand from U.S. guests.",yes,"EPS $0.86 vs $0.92; nights +9%. The lead-time and US-demand sentence in the outlook, not the reported quarter, drove the fall. Worst reaction since the IPO at the time.",1035,6798,23,14,0.63,27.05,6.03,-21.02,12.21,23,1,-1.41,0.0,0.0842,0.0689,0.0357
2023Q1,2023-05-10,worst,-12.0,-18.8,-16.7,KPI,letter,shareholder letter,22,We expect year-over-year growth in Nights and Experiences Booked in Q2 2023 to be lower than our revenue growth during the quarter.,yes,"Revenue +20% and the first GAAP-profitable Q1, but the Q2 nights guide sat below the revenue guide for the first time. Read as the end of the volume recovery.",1201,7537,36,14,0.797,10.82,15.79,4.97,8.76,25,0,6.74,0.0,0.0849,0.0166,0.0352
2022Q3,2022-11-02,worst,-10.0,-7.3,-13.0,KPI,letter,shareholder letter,18,"On a year-over-year basis, we expect Nights and Experiences Booked growth will moderate slightly relative to Q3 2022",yes,"Beat on revenue ($2.88bn, +29%) and a 51% EBITDA margin, but Q4 nights guided to moderate from +25% and ADR guided flat. The Fed hiked 75bp the same day (QQQ -3.4%).",600,7648,38,18,0.736,21.67,15.17,-6.5,12.55,26,0,-1.65,0.0,0.0399,0.0488,0.0554
2024Q3,2024-11-08,worst,-8.8,-7.7,-9.6,investment spend,call_qa,Ellie Mertz,32,"Obviously, the guide does imply several point margin compression relative to last Q4. You should see that most specifically in terms of both the product development line item as well as marketing.",yes,"Revenue beat but EPS $2.13 vs $2.17; S&M +27.5% and product development +25% year over year; Q4 EBITDA margin guided down. The market re-rated the cost base, not the demand.",1156,6464,29,12,0.736,23.36,8.04,-15.32,10.21,24,0,2.86,0.0,0.067,0.0246,0.0357
2025Q2,2025-08-07,worst,-8.4,-6.9,-5.3,macro,letter,shareholder letter,27,"we expect a tougher year-over-year comparison toward the end of the quarter. This dynamic will continue into Q4, putting pressure on growth rates later in the year.",yes,"Beat on revenue, EPS and nights, but the 2H caution plus $200-250m of Services/Experiences investment weighing on margin. Nights growth then accelerated in Q3 and Q4 2025.",1245,7438,35,15,0.743,20.08,6.05,-14.03,11.16,38,2,-0.58,0.0417,0.0516,0.0129,0.0239
