quarter,reaction_date,day1_excess_pct,excess_1d_pct,diff_1d,excess_20d_from_release,theo_excess_20d_pct,diff_20d
2020Q4,2021-02-26,11.659448730469224,12.9,-1.2405512695307763,-2.585165288454828,-2.8,0.21483471154517186
2021Q1,2021-05-14,1.0443191965245102,1.8,-0.7556808034754898,0.8261620388191329,2.5,-1.6738379611808671
2021Q2,2021-08-13,0.8130728341506863,0.7,0.11307283415068636,7.705125224891551,6.8,0.9051252248915516
2021Q3,2021-11-05,13.556834911666147,12.9,0.6568349116661469,-2.7412216350995555,-2.8,0.0587783649004443
2021Q4,2022-02-16,4.271477728048936,3.7,0.5714777280489356,-11.455125560019985,-9.1,-2.355125560019985
2022Q1,2022-05-04,3.3966112701628735,4.3,-0.9033887298371264,-12.50416202498078,-15.5,2.995837975019221
2022Q2,2022-08-03,-4.3588394138572415,-3.9,-0.4588394138572416,0.6983233609860733,1.0,-0.3016766390139267
2022Q3,2022-11-02,-9.869371729521815,-10.0,0.13062827047818537,-12.704572164787864,-13.0,0.295427835212136
2022Q4,2023-02-15,15.102913051881165,12.6,2.5029130518811655,-4.4210006336028,-3.5,-0.9210006336027998
2023Q1,2023-05-10,-13.257044387189433,-12.0,-1.257044387189433,-17.813783299670426,-16.7,-1.1137832996704269
2023Q2,2023-08-04,-0.07779912409888645,-0.0,-0.07779912409888645,-8.422937882262094,-7.7,-0.7229378822620935
2023Q3,2023-11-02,-4.917171605544589,-5.1,0.18282839445541033,-3.4668837812650493,-3.2,-0.2668837812650491
2023Q4,2024-02-14,-3.0807867988930324,-2.8,-0.2807867988930326,7.467425342223864,6.5,0.9674253422238639
2024Q1,2024-05-09,-6.988412991264736,-7.1,0.11158700873526328,-12.11803105105579,-12.2,0.08196894894421014
2024Q2,2024-08-07,-10.496649821282366,-12.3,1.8033501787176345,-14.244722531431686,-16.5,2.2552774685683143
2024Q3,2024-11-08,-9.729513915538979,-8.8,-0.929513915538978,-10.49531495862681,-9.6,-0.8953149586268108
2024Q4,2025-02-14,14.94333028981709,14.0,0.9433302898170908,-2.834226773710391,-2.4,-0.4342267737103911
2025Q1,2025-05-02,-0.48370235681296503,-0.5,0.01629764318703497,-3.7974274338947724,-3.7,-0.09742743389477226
2025Q2,2025-08-07,-7.995863455005925,-8.4,0.40413654499407503,-5.170654880965798,-5.3,0.12934511903420187
2025Q3,2025-11-07,0.6073372835802227,0.6,0.0073372835802226755,0.8930573854592616,0.9,-0.006942614540738412
2025Q4,2026-02-13,3.85243654132248,4.4,-0.5475634586775202,8.903670923566864,10.1,-1.1963290764331358
2026Q1,2026-05-08,-1.8721967015352678,-1.6,-0.27219670153526776,-7.01619710876469,-6.4,-0.6161971087646894
2026Q2,2026-08-07,16.834445255175943,16.3,0.5344452551759424,22.463525158183458,,
