horizon,feature,n,loo_r2_numbers_only,loo_r2_numbers_plus_feature,delta_loo_r2
excess_1d_pct,theme_long_term_targets_share_prepared,17,-2.311,0.341,2.652
excess_1d_pct,d_theme_long_term_targets_share_total,17,-2.311,0.294,2.605
excess_1d_pct,theme_long_term_targets_share_total,17,-2.311,0.133,2.443
excess_1d_pct,n_numbers_prepared,17,-2.311,-0.146,2.165
excess_1d_pct,theme_marketing_share_total,17,-2.311,-0.148,2.163
excess_1d_pct,theme_international_share_total,17,-2.311,-0.182,2.129
excess_1d_pct,qa_share_of_mgmt_words,17,-2.311,-0.213,2.098
excess_1d_pct,d_ceo_share_total,17,-2.311,-0.257,2.054
excess_1d_pct,prepared_words,17,-2.311,-0.269,2.042
excess_1d_pct,fwd_prepared_per1k,17,-2.311,-0.421,1.89
excess_1d_pct,theme_buybacks_sbc_share_total,17,-2.311,-0.445,1.865
excess_1d_pct,ceo_share_prepared,17,-2.311,-0.446,1.864
excess_1d_pct,theme_competition_share_prepared,17,-2.311,-0.477,1.834
excess_1d_pct,qa_mgmt_words,17,-2.311,-0.715,1.595
excess_1d_pct,theme_take_rate_fees_share_total,17,-2.311,-0.774,1.536
excess_1d_pct,d_lm_net_total,17,-2.311,-0.809,1.502
excess_1d_pct,theme_supply_hosts_share_prepared,17,-2.311,-0.872,1.439
excess_1d_pct,theme_ai_share_prepared,17,-2.311,-0.941,1.37
excess_1d_pct,d_theme_marketing_share_total,17,-2.311,-0.974,1.337
excess_1d_pct,d_theme_take_rate_fees_share_total,17,-2.311,-1.099,1.212
excess_1d_pct,d_theme_buybacks_sbc_share_total,17,-2.311,-1.27,1.041
excess_1d_pct,d_theme_margins_profitability_share_total,17,-2.311,-1.343,0.967
excess_1d_pct,theme_international_share_prepared,17,-2.311,-1.443,0.868
excess_1d_pct,analyst_lm_net_per1k,17,-2.311,-1.463,0.848
excess_1d_pct,lm_net_total,17,-2.311,-1.51,0.801
excess_1d_pct,d_lm_net_prepared,17,-2.311,-1.6,0.711
excess_1d_pct,lm_net_prepared,17,-2.311,-1.614,0.697
excess_1d_pct,ceo_share_total,17,-2.311,-1.661,0.65
excess_1d_pct,cfo_share_total,17,-2.311,-1.688,0.623
excess_1d_pct,d_theme_regulation_share_total,17,-2.311,-1.765,0.546
excess_1d_pct,theme_ai_share_total,17,-2.311,-1.895,0.415
excess_1d_pct,theme_margins_profitability_share_prepared,17,-2.311,-1.95,0.36
excess_1d_pct,theme_take_rate_fees_share_prepared,17,-2.311,-1.952,0.359
excess_1d_pct,tone_gap_qa_minus_prepared,17,-2.311,-1.971,0.34
excess_1d_pct,theme_demand_macro_share_total,17,-2.311,-1.972,0.338
excess_1d_pct,lm_neg_prepared_per1k,17,-2.311,-2.055,0.256
excess_1d_pct,lm_unc_prepared_per1k,17,-2.311,-2.166,0.145
excess_1d_pct,lm_unc_qa_per1k,17,-2.311,-2.169,0.142
excess_1d_pct,theme_supply_hosts_share_total,17,-2.311,-2.188,0.123
excess_1d_pct,n_analyst_questions,17,-2.311,-2.216,0.095
excess_1d_pct,d_hedge_prepared_per1k,17,-2.311,-2.216,0.095
excess_1d_pct,hedge_prepared_per1k,17,-2.311,-2.223,0.088
excess_1d_pct,analyst_neg_kw_per_question,17,-2.311,-2.246,0.065
excess_1d_pct,numbers_prepared_per1k,17,-2.311,-2.263,0.048
excess_1d_pct,theme_pricing_adr_share_prepared,17,-2.311,-2.27,0.041
excess_1d_pct,d_theme_ai_share_total,17,-2.311,-2.283,0.028
excess_1d_pct,fwd_qa_per1k,17,-2.311,-2.381,-0.07
excess_1d_pct,theme_competition_share_total,17,-2.311,-2.396,-0.086
excess_1d_pct,d_hedge_qa_per1k,17,-2.311,-2.399,-0.088
excess_1d_pct,hedge_qa_per1k,17,-2.311,-2.428,-0.118
excess_1d_pct,ceo_share_qa,17,-2.311,-2.456,-0.145
excess_1d_pct,theme_demand_macro_share_prepared,17,-2.311,-2.478,-0.168
excess_1d_pct,theme_marketing_share_prepared,17,-2.311,-2.48,-0.169
excess_1d_pct,n_guide_decline_phrases_qa,17,-2.311,-2.505,-0.194
excess_1d_pct,theme_new_businesses_share_prepared,17,-2.311,-2.528,-0.217
excess_1d_pct,lm_neg_qa_per1k,17,-2.311,-2.529,-0.218
excess_1d_pct,d_theme_competition_share_total,17,-2.311,-2.534,-0.224
excess_1d_pct,d_theme_international_share_total,17,-2.311,-2.536,-0.225
excess_1d_pct,numbers_qa_per1k,17,-2.311,-2.538,-0.227
excess_1d_pct,d_lm_net_qa,17,-2.311,-2.571,-0.26
excess_1d_pct,n_analysts,17,-2.311,-2.605,-0.294
excess_1d_pct,d_theme_supply_hosts_share_total,17,-2.311,-2.642,-0.332
excess_1d_pct,d_theme_demand_macro_share_total,17,-2.311,-2.684,-0.373
excess_1d_pct,theme_new_businesses_share_total,17,-2.311,-2.701,-0.39
excess_1d_pct,d_theme_new_businesses_share_total,17,-2.311,-2.713,-0.402
excess_1d_pct,lm_net_qa,17,-2.311,-2.759,-0.449
excess_1d_pct,d_analyst_lm_net_per1k,17,-2.311,-2.783,-0.472
excess_1d_pct,theme_margins_profitability_share_total,17,-2.311,-2.833,-0.522
excess_1d_pct,hedge_gap_qa_minus_prepared,17,-2.311,-2.838,-0.528
excess_1d_pct,analyst_pos_kw_per_question,17,-2.311,-2.864,-0.553
excess_1d_pct,theme_regulation_share_prepared,17,-2.311,-2.936,-0.625
excess_1d_pct,theme_regulation_share_total,17,-2.311,-2.979,-0.668
