period,metric,vendor,value,unit,n_estimates,low,high,as_of,url,quote
2026Q3,revenue,Zacks,4740.0,musd,7.0,4720.0,4770.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,"Sales Estimates, Current Qtr (9/2026): Zacks Consensus Estimate 4.74B, # of Estimates 7, High 4.77B, Low 4.72B, YoY growth est 15.79%"
2026Q3,eps_adj,Zacks,2.87,usd,11.0,2.52,3.28,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,"Earnings Estimates, Current Qtr (9/2026): Zacks Consensus 2.87, # of Estimates 11, High 3.28, Low 2.52; Most Accurate 2.88, Earnings ESP +0.45%; expected report date 11/5/26"
2026Q4,revenue,Zacks,3200.0,musd,10.0,3050.0,3700.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,"Sales Estimates, Next Qtr (12/2026): 3.20B, 10 estimates, High 3.70B, Low 3.05B"
2026Q4,eps_adj,Zacks,0.82,usd,10.0,0.67,0.96,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,"Earnings Estimates, Next Qtr (12/2026): 0.82, 10 estimates, High 0.96, Low 0.67"
FY2026,revenue,Zacks,14100.0,musd,8.0,13960.0,14210.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,"Sales Estimates, Current Year (12/2026): 14.10B, 8 estimates, High 14.21B, Low 13.96B, YoY +15.21%"
FY2026,eps_adj,Zacks,5.23,usd,13.0,4.85,5.74,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,"Earnings Estimates, Current Year (12/2026): 5.23, 13 estimates, High 5.74, Low 4.85 (was 4.91 sixty days ago)"
FY2027,revenue,Zacks,15730.0,musd,13.0,14990.0,16290.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,"Sales Estimates, Next Year (12/2027): 15.73B, 13 estimates, High 16.29B, Low 14.99B, YoY +11.51%"
FY2027,eps_adj,Zacks,6.02,usd,13.0,5.35,6.8,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,"Earnings Estimates, Next Year (12/2027): 6.02, 13 estimates, High 6.80, Low 5.35"
FY2026,revenue,S&P Global Market Intelligence,14160.0,musd,43.0,13800.0,14300.0,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,Revenue This Year 14.16B from 12.24B (+15.64%); Revenue Forecast 2026 High 14.3B / Avg 14.2B / Low 13.8B; No. Analysts 43
FY2026,eps_adj,S&P Global Market Intelligence,5.28,usd,43.0,5.0,5.91,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,EPS This Year 5.28 from 4.03 (+31.04%); EPS Forecast 2026 High 5.91 / Avg 5.28 / Low 5.00. 'EPS and Forward PE are based on non-GAAP adjusted numbers.'
FY2027,revenue,S&P Global Market Intelligence,15760.0,musd,,,,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,Revenue Next Year 15.76B from 14.16B (+11.32%)
FY2027,eps_adj,S&P Global Market Intelligence,6.14,usd,,,,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,EPS Next Year 6.14 from 5.28 (+16.27%)
FY2026,free_cash_flow,S&P Global Market Intelligence,5350.0,musd,,,,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,Free Cash Flow FY2026 5.35B (vs 3.54B FY2025)
FY2026,operating_income,S&P Global Market Intelligence,3160.0,musd,,,,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,Operating Income FY2026 3.16B (vs 2.54B FY2025)
NTM,price_target,S&P Global / TipRanks,178.96,usd,46.0,125.0,220.0,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,"46 analysts polled by S&P Global: consensus rating 'Buy', average price target $178.96 (low $125, high $220) vs $181.94 close 4-Sep-2026"
NTM,price_target,S&P Global / Visible Alpha via StockStory,179.46,usd,,,,2026-08-07,https://stockstory.org/us/stocks/nasdaq/abnb,Wall Street analysts have a consensus one-year price target of $179.46 on the company (compared to the current share price of $182.02)
FY2026,eps_adj,S&P Global / Visible Alpha via StockStory,5.37,usd,,,,2026-08-07,https://stockstory.org/us/stocks/nasdaq/abnb,"Over the next 12 months, Wall Street expects Airbnb's full-year EPS to grow 22% from $4.40 to $5.37 (NTM basis, not calendar FY26)"
2026Q3,adj_ebitda,derived,,musd,,,,2026-09-06,,"NO published Q3-2026 adjusted-EBITDA or nights consensus was retrievable. Company FY guide: adj EBITDA margin at least 35.5%, revenue growth at least mid-teens."
