sheet,cell,issue_type,severity,description,suggested_fix,status
Inputs,B4 (named range `Scenario`),control that does nothing,high,"The scenario selector drove only the 126 CHOOSE cells in the Inputs Active column (F), and no formula anywhere in the file referenced column F. A real Excel recalc with the selector set to 1 and to 3 moved 96 and 97 cells, every one of them on Inputs; Revenue, Costs, Cash, Valuation and Card_5Nov did not move at all - while Inputs!G4 told the reader it 'drives the headline blocks on Valuation and Card_5Nov'.","FIXED: an Active column (column E) on Valuation sections 1, 2, 3 and 4 and on Card_5Nov, each cell =CHOOSE(Inputs!$B$4,B,C,D). The selector now moves 135 / 136 cells (Inputs 96/97, Valuation 22, Card_5Nov 17) and every Active cell equals the matching scenario column.",fixed
Valuation,"B64, C64",pasted output that can go stale,high,"'Solved implied 10-year growth at spot' (8.51% on reported FCF, 14.42% on SBC-adjusted FCF) is an offline bisection from 13_driver_model.py written in as a constant. The ladder above it (B54:C63) is live off Inputs!D11/D12, so changing the cost of equity or the terminal growth would silently leave the headline answer wrong while everything around it moved.","FIXED: the two cells are now yellow (they are an input, not a formula) and a new check row B65/C65 prices the same stream at the solved growth and subtracts spot. It reads 0.00 today and goes non-zero the moment the inputs move.",fixed
Cash,"C23/D23, C48/D48, C73/D73",roll-forward double count,high,"The FY2026 share count starts from the 2Q26 diluted count (597M) and then applies the FULL FY2026 buyback ($4,200M) and the FULL FY2026 SBC, while the net-cash roll-forward below it correctly nets out the 1H26 actuals (FCF, buybacks, withholding). The 1H26 buyback is therefore counted twice in the share count: $2,139M / $181.94 = 11.8M shares out, less 3.2M of 1H26 issuance, so FY2026E ending shares are about 8.55M (1.5%) too low, and the error carries into FY2027E and FY2028E. The base football-field mean would go from $162.65 to $160.22 and all six lenses fall about 1.5%.","FIXED by WS18 on 7 Sep, in 13_excel_builder.py and 13_driver_model.py together: the FY2026 column now reads (FY26 buybacks less History!1H2026 buybacks) and (FY26 SBC less History!1H2026 SBC), exactly as the net-cash line does; FY2027-28 still take the full year. FY2026E base shares 580.30M -> 588.85M and the base football-field mean $162.65 -> $160.22. Before/after for every affected output: data/processed/overnight/18_share_fix_delta.csv.",fixed
Inputs,C95:E96,unit trap,high,"'FX effect on revenue / on ADR, FY2028E' carried the unit 'pp', the same label as the twelve quarterly FX rows in section C - but the quarterly rows hold plain percentage-point numbers (3 = +3pp, divided by 100 where they are used on Revenue) while these two hold a fraction and are consumed with no divisor (Revenue!K25 = Inputs!$C$96). Typing 1.5 here meaning +1.5pp would have applied +150%. Harmless today only because all six cells are zero.","FIXED: unit relabelled 'y/y' and the source string spells out that it is a percent-formatted fraction, not a percentage-point number.",fixed
Costs / Cash,"C15,C16,C18,C25,C28,C29 and C7:C13,C21,C22 in all three blocks",hard-coded constant in formula,medium,"33 cells of the FY2025A memo column were bare literals inside formulas (=161, =91, =705, =0, =-112, =-232, =127, =-139, =-33, =3789, =561) with no source anywhere in the file.","FIXED: eleven new sourced anchors at the foot of History ('FY2025 CASH-BRIDGE ANCHORS'), nine of them yellow inputs traced to data/processed/abnb_fcf_bridge.csv and WS07, two of them formulas summing the 2025 quarters of the History table (buybacks $3,789M, withholding $561M). Costs and Cash reference them.",fixed
Valuation,B69:H75,hard-coded constant in formula,medium,"Every cell of the scenario grid restated its own row heading (FY27 revenue growth) and column heading (FY27 margin) as literals, so the axis labels and the arithmetic could drift apart.","FIXED: the cells read $A{row} and {col}$68, and the axis cells are yellow.",fixed
Valuation,B27:G37,hard-coded constant in formula,medium,"The DCF fade weight ((t-1)/9) and the discount exponent (^1 .. ^10) were written as literals in each row, next to a column A that already holds the year number.",FIXED: both read $A{row}; the terminal value discounts by ^$A36.,fixed
Revenue,"K33, K74, K115 (FY2028E core revenue)",duplicated expression,medium,"FY2028 core revenue restated the take-rate build (=K28*(J30+Inputs!$C$72/10000)*(1+K32)) instead of pointing at the take-rate row three lines above, so an edit to the take-rate row would not have reached revenue.",FIXED: =K28*K30*(1+K32). Same number.,fixed
Inputs,C22:E22,input that does nothing,medium,"'DCF fade period (years)' = 10 is referenced by no formula: the Valuation DCF is ten written-out rows, so changing this cell has no effect on any output.",FIXED (documentation): the source string now says LAYOUT-FIXED and that the cell does not resize the grid. A real fix needs a dynamic strip.,fixed
Cash,"C23, C27 (and the other two blocks)",mislabelled column,medium,"The column header reads FY2025A but these two rows hold 2Q26 actuals - 597M diluted shares and $9,593M of net cash at 30 Jun 2026 - because that is where both roll-forwards start.",FIXED: the row labels say '(FY2025A col = the 2Q26 actual)' and the sheet header spells out both anchors and the 1H26 asymmetry above.,fixed
Valuation,B50:D50,hard-coded constant in formula,medium,"The 5 Sep memo prices hard-code the 18 / 22 / 25.5x exit multiples inside the formulas. They are the documented alternative (Inputs section E lists them as text), so they are not wrong, but they are the last three numeric literals left in any formula in the file.",OPEN: add a yellow 'Memo exit multiple (5 Sep set)' row to Inputs section A and point the three cells at it.,open
