month,event,source,confidence
2019-05,Host-only ('simplified pricing') fee offered as a voluntary option to larger and professional hosts,trade press (RentalScaleUp),medium
2020-11,Host-only fee made mandatory for software-connected hosts in Australia,"trade press (RentalScaleUp, STAAH)",medium
2020-12,"Host-only fee mandatory for software-connected hosts in most countries, excluding hosts whose listings are mostly in the US, Canada, Mexico, Bahamas, Argentina, Taiwan and Uruguay","trade press (RentalScaleUp, STAAH); the original Airbnb newsroom post was not located",medium
2021-05,"Airbnb fee-transparency post: 45% of listings charge no cleaning fee, average fee under 10% of the reservation",news.airbnb.com,high
2022-11,Airbnb announces the optional total-price toggle for December 2022 and new checkout-task rules banning unreasonable chores,news.airbnb.com,high
2022-12,Total-price toggle live; search ranking begins weighting total price (per the 4Q22 shareholder letter),ABNB 4Q22 letter; news.airbnb.com,high
2023-05,"2023 Summer Release: host pricing and discount tools, similar-listings comparison, checkout-instruction preview, lower guest service fee after three months on long stays, Airbnb Rooms at $67 average",ABNB 1Q23/2Q23 letters; news.airbnb.com,high
2023-09,"Airbnb reports more than 260,000 listings had cut or removed cleaning fees since the toggle","Thrillist, headline verified only",low
2024-02,"About 300,000 listings had cut or removed cleaning fees; roughly 40% of active listings charge none",TechCrunch 13-Feb-2024; news.airbnb.com,high
2024-07,"California SB 478 honest-pricing law takes effect, covering hotels and short-term rentals",oag.ca.gov,high
2024-12,FTC finalises the Rule on Unfair or Deceptive Fees covering short-term lodging,ftc.gov,high
2025-04,"Total price display becomes the global default, not a toggle",news.airbnb.com 21-Apr-2025,high
2025-05,FTC junk-fees rule effective 12-May-2025,ftc.gov,high
2025-10,Airbnb begins migrating property-management-software hosts from the split fee to a single 15.5% host fee,ABNB 4Q25 and 1Q26 letters,high
2026-03,Over a quarter of active listings on the single fee (as at Q1 2026),ABNB 1Q26 letter,high
2026-05,"2026 Summer Release: services, boutique and independent hotels, and a price-match guarantee on the new hotel category (15% Airbnb credit)",news.airbnb.com 20-May-2026,medium-high
2026-07,"Airbnb announces migration of most remaining hosts to the single 15.5% fee, to complete during 2026",ABNB 2Q26 letter,high
2026-06,About half of active listings on the single fee (as at Q2 2026),ABNB 2Q26 letter,high
2026-08,"'Bring your own cleaner' lower-fee offer confirmed by AirDNA as a pilot, not a rollout",Skift 29-Aug-2026,medium
