quarter,yq,nights_m,gbv_musd,adr,adr_yoy_pct,nights_m_yoy_pct,take_rate_calc_pct,revenue_musd_yoy_pct,fx_pts,nights_m_ltm,gbv_musd_ltm,abnb_adr_yoy_letter_pct,abnb_adr_exfx_yoy_letter_pct,cpi_lodging_index,bea_hotels_price_index,str_us_hotel_adr_usd,str_us_hotel_revpar_usd,str_us_hotel_occ_pct,months_with_str,cpi_lodging_yoy_pct,bea_hotels_price_yoy_pct,str_us_hotel_adr_yoy_pct,mar_revpar_yoy,hlt_revpar_yoy,bkng_room_nights_yoy,bkng_gb_yoy_cc,ia_us_median_entire_price,ia_us_median_price_per_bedroom,ia_us_median_price_per_person,ia_us_median_1br_price,ia_us_mean_bedrooms_entire,ia_us_mean_accommodates_entire,ia_us_price_basis,ia_us_cities,abnb_bedroom_nights_ltm_m,abnb_bedrooms_per_night_ltm,abnb_adr_per_bedroom_night_disclosed,abnb_adr_per_bedroom_proxy,gap_abnb_adr_vs_str_adr_pct,gap_abnb_perbed_vs_str_adr_pct,abnb_adr_yoy_less_cpi_lodging_pp,abnb_adr_yoy_less_str_adr_pp,abnb_adr_exfx_less_str_adr_pp
1Q21,2021Q1,64.4,10300.0,159.82,,,8.612,,2.0,,,,,143.705,88.233,,,,0,-11.71,-12.88,,-46.3,-38.4,-20.0,-6.0,,,,,,,,,,,,,,,,,
2Q21,2021Q2,83.1,13400.0,161.45,,,9.963,,,,,,,157.823,97.225,,,,0,10.62,11.66,,262.6,233.8,458.0,802.0,,,,,,,,,,,,,,,,,
3Q21,2021Q3,79.7,11900.0,149.15,,,18.798,,3.0,,,,,174.313,108.534,,,,0,19.24,21.27,,118.4,98.7,44.0,75.0,,,,,,,,,,,,,,,,,
4Q21,2021Q4,73.4,11300.0,153.61,,,13.558,,-1.0,300.6,46900.0,,,178.409,111.762,,,,0,23.09,26.23,,124.5,104.2,100.0,,,,,,,,,,,,,,,,,,
1Q22,2022Q1,102.1,17200.0,168.07,5.162,58.54,8.773,70.124,-4.0,338.3,53800.0,,,177.34,112.176,,,,0,23.41,27.14,,96.5,80.5,100.0,,,,,,,,,,,,,,,,-18.2,,
2Q22,2022Q2,103.7,17000.0,163.74,1.418,24.789,12.376,57.603,-6.0,358.9,57400.0,,,183.415,115.234,,,,0,16.22,18.52,,70.6,54.3,56.0,,,,,,,,,,,,,,,,-14.8,,
3Q22,2022Q3,99.7,15600.0,156.44,4.888,25.094,18.487,28.923,-7.0,378.9,61100.0,,,179.199,111.844,,,,0,2.8,3.05,,36.3,29.9,31.0,52.0,,,,,,,,,,,,,,,2.1,,
4Q22,2022Q4,88.2,13500.0,152.81,-0.521,20.163,14.089,24.151,-7.0,393.7,63300.0,,,185.391,116.581,,,,0,3.91,4.31,,28.8,24.8,39.0,58.0,,,,,,,,,,,,,,,-4.4,,
1Q23,2023Q1,121.1,20400.0,168.43,0.214,18.609,8.912,20.477,-4.0,412.7,66500.0,,,189.951,121.075,,,,0,7.11,7.93,,34.3,30.0,38.0,52.0,,,,,,,,,,,,,,,-6.9,,
2Q23,2023Q2,115.1,19100.0,166.01,1.386,10.993,13.005,18.061,-1.0,424.1,68600.0,,,190.372,119.838,,,,0,3.79,4.0,,13.5,12.1,9.0,,,,,,,,,,,,,,,,-2.4,,
3Q23,2023Q3,113.2,18300.0,161.38,3.158,13.541,18.563,17.788,4.0,437.6,71300.0,,,189.164,118.501,,,,0,5.56,5.95,,8.8,6.8,15.0,21.0,,,,,,,,,,,,,,,-2.4,,
4Q23,2023Q4,98.8,15500.0,156.73,2.565,12.018,14.31,16.614,3.0,448.2,73300.0,,,186.526,116.827,,,,0,0.61,0.21,,7.2,5.7,9.0,,,,,,,,,,,,,,,,2.0,,
1Q24,2024Q1,132.6,22900.0,172.88,2.642,9.496,9.354,17.822,0.0,459.7,75800.0,,,188.812,119.983,,,,0,-0.6,-0.9,,4.2,2.0,9.0,,,,,,,,,,,,,,,,3.2,,
2Q24,2024Q2,125.1,21200.0,169.53,2.12,8.688,12.962,10.628,0.0,469.7,77900.0,,,188.144,117.788,,,,0,-1.17,-1.71,,4.9,3.5,7.0,6.0,170.0,91.0,33.958,121.0,2.281,6.236,listed_nightly,2.0,,,,74.32,,,3.3,,
