cost_line,fiscal_year,mgmt_implied_trajectory,basis_statement_ids,n_statements,mgmt_silent,confidence,realised_history_that_tests_it
total_margin,FY2026,"adj. EBITDA margin >=35.5%, i.e. >=+40bp y/y vs FY2025 35.1%",S137;S150;S159;S138;S164,5,no,high,"FY guides are floors and every floor since FY2024 has been beaten: FY24 floor 35% -> 35.8% (+80bp); FY25 floor 34.5% -> 35.1% (+60bp); FY26 already raised twice, from 'stable' to >=35% to >=35.5%. A 35.8-36.2% print is the natural read of the pattern."
total_margin,FY2027,"management has given no number; the algorithm implies stable to modestly up, ~35.5-36%",S097;S119;S164;S172,4,no,low,"Management has declined a multi-year margin target at every opportunity since 2Q23 ('I don't have a new long-term target'). The only anchor is the relative-floor language of 2Q26. Treat any FY27 margin above ~36.5% as a house view, not a management view."
total_margin,FY2028,"no management statement exists; silence, not a forecast",S060;S164,2,yes,none,"SILENT. The longest-dated margin statement outstanding is the 2Q26 'relative floor' remark, which has no year attached. Airbnb has not given a multi-year margin number since the 30%+ of Feb 2021."
cost_of_revenue,FY2026,"roughly flat as % of revenue; 'will scale somewhat linearly' with revenue, with 'some efficiencies'",S146;S111;S065;S162;S167,5,no,high,"Realised cost of revenue: 19.29% of revenue FY2021 -> 17.85 FY2022 -> 17.17 FY2023 -> 16.92 FY2024 -> 17.04 FY2025; like-for-like halves 20.16 (1H24) -> 19.56 (1H25) -> 19.31 (1H26). The line stopped compounding two years before management said it would. The offsetting new item is cloud and AI inference: purchase obligations went from $719m to $1,749m and the hosting commitment from $672m through 2027 to $1.7bn through 2031 (07_ops_initiatives.csv OPS-09), while Mertz says AI spend is materially up in FY26 and has never sized it."
cost_of_revenue,FY2027,no guide; the linear-scaling framing implies flat % of revenue absent an AI cost step,S146;S162;S167,3,no,low,"The forward risk is one-sided: management has said there is no capex, but has conceded a material and unquantified opex increase in AI. If inference cost grows faster than bookings, this is the line it lands in."
cost_of_revenue,FY2028,silent,,0,yes,none,SILENT. No statement extends past FY2026.
ops_support,FY2026,customer-support cost per booking down 10-16% y/y and still falling; the line as a whole scales 'somewhat linearly',S146;S151;S152;S160;S141;S145,6,no,high,"The two disclosed unit numbers are 1Q26 -10% y/y and 2Q26 -16% y/y in customer-support cost per booking, with AI resolution share going a third (4Q25) -> over 40% (1Q26) -> nearly 45% (2Q26) in 50+ languages. Realised line: 14.13% of revenue FY2021 -> 12.39 -> 11.96 -> 11.55 -> 10.84 FY2025, and 10.93% in 1H26 against 11.83% in 1H25. Two caveats: the 2Q24 letter says some customer-service investment is booked as contra-revenue, so this line understates support cost; and the third-party support network grew from 11,000 workers to 13,000 in 2025 (07_ops_initiatives.csv OPS-06)."
ops_support,FY2027,"further decline in support cost per booking, driven by AI voice; no percentage given",S160;S142,2,no,medium,"Chesky's forward statement is qualitative ('continue to decline ... as we bring it to voice'). Extrapolating the 10%/16% cadence gives another -10 to -15% per booking, but that is the analyst's arithmetic, not management's."
ops_support,FY2028,silent,,0,yes,none,SILENT.
product_dev,FY2026,headcount growth below FY2025's rate; SBC growth also below FY2025's; AI-aided output per head rising,S144;S163;S143,3,no,medium,"The claim is deceleration, not decline. Realised product development: 23.78% of revenue FY2021 -> 17.88 FY2022 -> 17.36 FY2023 (peak leverage) -> 18.52 FY2024 -> 19.23 FY2025 -> 20.84 in 1H26. Chesky's +30% engineering productivity claim (1Q23, restated 4Q24) has never shown up as leverage on this line; headcount grew about 12% in 2025 and revenue per employee fell for the first time, to $1,493k from $1,521k (07_ops_initiatives.csv OPS-03)."
product_dev,FY2027,no number; 2Q26 language implies headcount growth stays below the historical rate,S163;S113;S114,3,no,low,Two years of the +30% productivity claim have produced no product-dev leverage. Treat any modelled decline in product development % of revenue as unsupported by disclosure.
product_dev,FY2028,silent,,0,yes,none,SILENT.
brand_marketing,FY2026,"up again as a share of revenue: 'some incremental investment ... obviously, in sales and marketing', with efficient marketing named as one of three reinvestment buckets",S147;S153;S125;S108,4,no,high,"1H2026 S&M 25.87% of revenue against 21.14% for FY2025 and 17.78% at the FY2023 trough; +251bp y/y on a like-for-like half. Guide history on this line is the worst in the record: FY2024 guided 'largely the same' (17.78%) and printed 19.35%, a 157bp miss worth ~4% of EBITDA; the 4Q21 promise of post-2023 marketing leverage never arrived. From 2025 the line also carries field operations and supply acquisition (2Q25), so it is no longer a clean advertising ratio - but in 1H26 brand+performance cash marketing itself grew 32% y/y against 17% revenue growth, so the field-ops explanation no longer covers it."
brand_marketing,FY2027,no number; the fixed-per-market model implies core-market leverage funding further expansion-market spend,S108;S109;S120,3,no,low,The fixed-cost-per-market claim is the load-bearing assumption behind any modelled marketing leverage. It has been true of core markets and false of the total: S&M % of revenue has risen for three consecutive years and is 810bp above the FY2023 trough.
brand_marketing,FY2028,silent,,0,yes,none,SILENT.
field_ops,FY2026,the FY25 ~$200m does not roll off - part is 'fixed head count'; go-to-market spend rises further,S127;S147;S125;S135,4,no,medium,"FY2025 came in at ~$200m against a $200-250m guide, and field operations cash grew 43% ($693m -> $993m, ~1.9pts of revenue). Chesky's 2Q24 'most of these new services and offerings are going to not cost very much' was contradicted six months later by that guide. No FY26 dollar figure has been given - the single largest unquantified item in the 2026 P&L alongside AI, and management has refused six times to give the contribution margin of the new businesses (abnb_declined_to_quantify.csv)."
field_ops,FY2027,"'every incremental new business ... more efficient to launch than the prior businesses' - a theory, in Chesky's own word",S135;S127,2,no,low,No per-business launch cost has ever been disclosed. The one testable version - the FY25 $200-250m guide - was met at the low end.
field_ops,FY2028,silent,,0,yes,none,SILENT.
g_and_a,FY2026,"G&A held down ('extremely disciplined'); effective tax rate high teens, from 20% in FY2025",S157;S148;S111;S134,4,no,high,"G&A realised: 11.31% of revenue FY2022, 20.42% FY2023 (inflated ~1,160bp by the Italian withholding and lodging-tax reserves), 10.67% FY2024, 10.96% FY2025, 9.62% in 1H26. Tax guides have been right on level and wrong on timing: the 4Q23 letter promised mid-to-high teens near term and low 20s long term, and the FY2024 15-19% range printed 20.5% before OBBBA reset the long-run guide back to mid-to-high teens. One-off non-income tax items keep appearing: ~$90m in 4Q25, a $213m CAMT allowance in 3Q25, ~$70m of deferred tax in 1Q26. None touch adj. EBITDA."
g_and_a,FY2027,long-term effective tax rate mid-to-high teens under OBBBA,S148;S134,2,no,medium,This is the only FY2027-and-beyond quantified statement management has outstanding on any cost line. It sits below the EBITDA line.
g_and_a,FY2028,"long-term ETR mid-to-high teens (the same statement, undated)",S148,1,no,low,"'Long-term' is not defined. Treat as a level, not a schedule."
sbc,FY2026,y/y growth rate of SBC lower than FY2025's; headcount growth also lower,S144;S163,2,no,medium,"The record depends on which series you use. XBRL (abnb_quarterly_costlines.csv): FY2023 +18.3%, FY2024 +30.8%, FY2025 +9.9%. Shareholder letters (abnb_fcf_bridge.csv): +20.4%, +25.6%, +13.1%. The FY2024 guide moved from +20% (1Q24 letter) to +25% (3Q24 letter) and was missed on either series. FY2025 did roughly converge on headcount (~+12%). The 3Q23-3Q24 letters promised SBC would grow 'largely in-line with headcount growth'; the 4Q25 letter has retreated to merely 'lower than 2025'. Model SBC on its own trend and state which series you use."
sbc,FY2027,silent - the convergence-with-headcount promise has been withdrawn,S063;S106;S144,3,yes,none,SILENT beyond FY2026. The 2023-24 convergence language no longer appears in the letters.
sbc,FY2028,silent,,0,yes,none,SILENT.
take_rate,FY2026,relatively flat vs FY2025; underlying would have been slightly higher but for customer incentives on the new businesses,S165;S166;S154;S156,4,no,high,"Guided up at 1Q26 ('expected to lift our full year take rate') and back to flat at 2Q26 in a single quarter. The precedent is FY2025, when the 4Q24 call promised 'the full benefit of 20 basis points increase' and the year printed 13.41% against 13.57% - -16bp y/y and 36bp below the guide. Realised FY implied take rate: 13.27 (22), 13.53 (23), 13.57 (24), 13.41 (25). Of the 13 quarterly take-rate guides in 02_guidance_ledger.csv the two clean misses (3Q25, 1Q26) run the same way: promised up or flat, delivered down."
take_rate,FY2027,"no number; the stated sources are paid host services, advertising and services attach - all still unshipped",S176;S177;S055;S076;S171,5,no,low,Chesky told Morgan Stanley in Mar 2023 he could 'easily' imagine adding a few percentage points of take rate; three and a half years later the implied take rate has moved within roughly 50bp. Advertising is explicitly deferred behind AI search (3Q25).
take_rate,FY2028,silent,,0,yes,none,SILENT.
fx,FY2026,"~3 percentage points of FX tailwind to revenue in 1H26 after hedges, fading as the year progresses",S122,1,no,medium,"Management hedges revenue, which damps both directions; it said so explicitly in 1Q25 when asked why a weaker dollar was not lifting the margin guide. Because costs are dollar-heavy and revenue is not, FX moves the margin, and Airbnb has never sized that sensitivity. The 4Q25/1Q26/2Q26 letters all quantify the revenue tailwind at ~3pts and say it fades."
fx,FY2027,silent on FX; hedging policy assumed unchanged,S122,1,yes,none,SILENT. No FX assumption has ever been given beyond the current fiscal year.
fx,FY2028,silent,,0,yes,none,SILENT.
