lens,metric,metric_year,exit_basis,net_cash_year,shares_year,value_date,target_date_adopted,interim_cash_flows,in_football_field,price_bear,price_base,price_bull,spot_date,spot,upside_is
"EV / adj. EBITDA, FY27E",Adjusted EBITDA,2027,"16.5x EV/EBITDA (bear 13.5x, bull 18.5x), WS12",2027,2027,2027-12-31,2027-09-30,Partly - only through the FY2027E net-cash balance and the buyback-reduced FY2027E share count. No flow is added or discounted separately.,yes,108.46,180.88,234.16,2026-09-04,181.94,12-month expected price return from the 2026-09-04 spot of $181.94 to the adopted 2027-09-30 target. It is NOT a discount to a present fair value.
"EV / FCF, FY27E",Free cash flow,2027,"14.3x EV/FCF (11.3x / 17.3x), WS12 haircut of the 5 Sep set",2027,2027,2027-12-31,2027-09-30,Partly - same as the EBITDA lens: FY2027E net cash and FY2027E shares only.,yes,83.55,152.5,217.94,2026-09-04,181.94,12-month expected price return from the 2026-09-04 spot of $181.94 to the adopted 2027-09-30 target. It is NOT a discount to a present fair value.
"P / SBC-adjusted FCF, FY27E",FCF less SBC,2027,19.5x price multiple (15x / 24x),n/a,2027,2027-12-31,2027-09-30,No - an equity multiple with no net-cash bridge. Interim cash appears only through the FY2027E share count.,yes,37.23,117.26,197.4,2026-09-04,181.94,12-month expected price return from the 2026-09-04 spot of $181.94 to the adopted 2027-09-30 target. It is NOT a discount to a present fair value.
"P / earnings proxy, FY27E",Modelled EPS (net income / modelled period-end shares),2027,19.5x the earnings proxy (15x / 24x),n/a,2027,2027-12-31,2027-09-30,No - price = multiple x EPS. Interim cash appears only through the share count inside EPS.,yes,45.34,110.58,176.49,2026-09-04,181.94,12-month expected price return from the 2026-09-04 spot of $181.94 to the adopted 2027-09-30 target. It is NOT a discount to a present fair value.
"EV / adj. EBITDA, FY28E",Adjusted EBITDA,2028,same 16.5x applied one year later,2028,2028,2028-12-31,2027-09-30,Partly - through the FY2028E net-cash balance and share count. THIS LENS IS A YEAR LATER THAN THE OTHER FIVE and is not discounted back.,yes,103.59,217.51,289.09,2026-09-04,181.94,12-month expected price return from the 2026-09-04 spot of $181.94 to the adopted 2027-09-30 target. It is NOT a discount to a present fair value.
DCF on FCF,"FY2027E FCF grown at the DCF start growth, fading to 3% over 10 years, then a Gordon terminal",2027,"Cost of equity 10.5%, terminal growth 3.0%",2027,2027,2027-12-31,2027-09-30,"No - the strip's first discounted flow is FY2028E, discounted one period back to end-FY2027. FY2026-27 cash enters only via the FY2027E net-cash balance.",yes,77.54,182.59,281.01,2026-09-04,181.94,12-month expected price return from the 2026-09-04 spot of $181.94 to the adopted 2027-09-30 target. It is NOT a discount to a present fair value.
DCF on SBC-adjusted FCF,FY2027E FCF less SBC on the same strip,2027,"Cost of equity 10.5%, terminal growth 3.0%",2027,2027,2027-12-31,2027-09-30,No - same strip as the DCF on FCF.,no - shown but excluded,40.4,122.77,207.43,2026-09-04,181.94,12-month expected price return from the 2026-09-04 spot of $181.94 to the adopted 2027-09-30 target. It is NOT a discount to a present fair value.
"EV / adj. EBITDA, FY27E (5 Sep multiples 18/22/25.5x)",Adjusted EBITDA,2027,"The superseded 5 Sep multiple set, kept as a documented alternative",2027,2027,2027-12-31,2027-09-30,Partly - as the EBITDA lens.,no - memo only,139.69,235.3,315.25,2026-09-04,181.94,12-month expected price return from the 2026-09-04 spot of $181.94 to the adopted 2027-09-30 target. It is NOT a discount to a present fair value.
"MEMO: football-field mean, Bear",Mean of the six core lenses,2027 (five lenses) and 2028 (one),see the six rows above,mixed,mixed,"mixed: five lenses at 2027-12-31, one at 2028-12-31",2027-09-30,mixed - see the component rows,the mean itself,75.95,,,2026-09-04,181.94,"Mean $75.95. Dropping the FY2028E lens (the only one dated a year later, and the highest of the six) gives $70.42, i.e. the mixed date is worth $5.53 of the mean. Documented, not changed."
"MEMO: football-field mean, Base",Mean of the six core lenses,2027 (five lenses) and 2028 (one),see the six rows above,mixed,mixed,"mixed: five lenses at 2027-12-31, one at 2028-12-31",2027-09-30,mixed - see the component rows,the mean itself,,160.22,,2026-09-04,181.94,"Mean $160.22. Dropping the FY2028E lens (the only one dated a year later, and the highest of the six) gives $148.76, i.e. the mixed date is worth $11.46 of the mean. Documented, not changed."
"MEMO: football-field mean, Bull",Mean of the six core lenses,2027 (five lenses) and 2028 (one),see the six rows above,mixed,mixed,"mixed: five lenses at 2027-12-31, one at 2028-12-31",2027-09-30,mixed - see the component rows,the mean itself,,,232.68,2026-09-04,181.94,"Mean $232.68. Dropping the FY2028E lens (the only one dated a year later, and the highest of the six) gives $221.40, i.e. the mixed date is worth $11.28 of the mean. Documented, not changed."
"MEMO: end-FY2027 arithmetic vs a Sep-2027 target date, base EV/EBITDA lens",16.5x FY2027E adj. EBITDA,2027,16.5x,interpolated 75% of the way from FY2026E to FY2027E,same interpolation,2027-09-30,2027-09-30,as the EBITDA lens,no - memo,,179.44,,2026-09-04,181.94,"The model's own end-FY2027 answer is $180.88. Straight-lining net cash and the share count to 30 Sep 2027 gives $179.44, $1.43 lower (0.8%). The adopted Sep-2027 label is therefore very slightly generous; no number was changed for it."
