quarter,metric,value,unit,source_quote,source_file,source_verified,note
3Q20,adj_ebitda_musd,501.0,USD millions,data/processed/abnb_quarterly_costlines.csv:adjusted_ebitda_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q20,adr_usd,129.92,USD,GBV / nights (derived),derived,True,
3Q20,cost_of_revenue_musd,227.3,USD millions,data/processed/abnb_quarterly_costlines.csv:cost_of_revenue_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q20,diluted_wa_shares_m_xbrl,299.2,millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q20,g_and_a_musd,180.0,USD millions,data/processed/abnb_quarterly_costlines.csv:general_and_administrative_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q20,gbv_busd,8.0293,USD billions,"Gross Booking Value $8,029.3 $11,891.6",letters/3Q21_d245727dex991.htm,True,
3Q20,income_tax_musd,87.7,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q20,net_income_musd,219.3,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q20,nights_m,61.8,millions,Nights and Experiences Booked 61.8 79.7,letters/3Q21_d245727dex991.htm,True,
3Q20,operating_income_musd,418.7,USD millions,data/processed/abnb_quarterly_costlines.csv:operating_income_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q20,ops_support_musd,166.1,USD millions,data/processed/abnb_quarterly_costlines.csv:operations_and_support_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q20,product_dev_musd,213.9,USD millions,data/processed/abnb_quarterly_costlines.csv:product_development_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q20,restructuring_musd,22.7,USD millions,data/processed/abnb_quarterly_costlines.csv:restructuring_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q20,revenue_musd,1342.3,USD millions,"Revenue $ 839,004 $ 1,213,678 $ 1,645,761 $ 1,106,796 $ 841,830 $ 334,774 $ 1,342,331",letters/3Q21_d245727dex991.htm,True,
3Q20,revenue_musd_xbrl,1342.3,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q20,sales_marketing_musd,113.5,USD millions,data/processed/abnb_quarterly_costlines.csv:sales_and_marketing_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,adj_ebitda_musd,-21.0,USD millions,data/processed/abnb_quarterly_costlines.csv:adjusted_ebitda_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,adr_usd,127.55,USD,GBV / nights (derived),derived,True,
4Q20,capex_musd_xbrl,7.5,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,cash_and_equivalents_musd,5480.6,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,cfo_musd_xbrl,-249.4,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,cost_of_revenue_musd,209.7,USD millions,data/processed/abnb_quarterly_costlines.csv:cost_of_revenue_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,diluted_wa_shares_m_xbrl,20.3,millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,funds_held_for_clients_musd,2181.3,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,g_and_a_musd,713.9,USD millions,data/processed/abnb_quarterly_costlines.csv:general_and_administrative_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,gbv_busd,5.9057,USD billions,"Gross Booking Value* $8,538.4 $5,905.7",letters/4Q20_d147144dex991.htm,True,
4Q20,guest_arrivals_cumulative_b,0.8,billions,welcomed over 800 million guest arrivals,letters/4Q20_d147144dex991.htm,True,
4Q20,income_tax_musd,-104.4,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,long_term_debt_musd,1815.6,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,marketing_commentary,we launched our first large-scale marketing campaign in five years,text,we launched our first large-scale marketing campaign in five years,letters/4Q20_d147144dex991.htm,True,
4Q20,net_income_musd,-3888.1,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,nights_m,46.3,millions,Nights and Experiences Booked* 75.8 46.3,letters/4Q20_d147144dex991.htm,True,
4Q20,operating_income_musd,-3100.0,USD millions,data/processed/abnb_quarterly_costlines.csv:operating_income_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,ops_support_musd,329.2,USD millions,data/processed/abnb_quarterly_costlines.csv:operations_and_support_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,product_dev_musd,2062.3,USD millions,data/processed/abnb_quarterly_costlines.csv:product_development_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,restricted_cash_musd,33.8,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,restructuring_musd,14.4,USD millions,data/processed/abnb_quarterly_costlines.csv:restructuring_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,revenue_musd,859.1,USD millions,data/processed/abnb_quarterly_costlines.csv:revenue_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,revenue_musd_xbrl,859.1,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,sales_marketing_musd,629.5,USD millions,data/processed/abnb_quarterly_costlines.csv:sales_and_marketing_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q20,short_term_investments_musd,910.7,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q20,unearned_fees_musd,407.9,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,adj_ebitda_musd,-59.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:adj_ebitda_musd,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,adr_usd,159.82,USD,data/processed/abnb_driver_history_quarterly.csv:adr,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,basic_wa_shares_m,601.0,millions,data/processed/abnb_capital_return_quarterly.csv:basic_wa_shares_m,data/processed/abnb_capital_return_quarterly.csv,True,
1Q21,capex_musd,7.7,USD millions,data/processed/abnb_capital_return_quarterly.csv:capex_musd,data/processed/abnb_capital_return_quarterly.csv,True,
1Q21,capex_musd_xbrl,7.7,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,cash_and_equivalents_musd,4482.6,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,cfo_musd,606.4,USD millions,data/processed/abnb_capital_return_quarterly.csv:cfo_musd,data/processed/abnb_capital_return_quarterly.csv,True,
1Q21,cfo_musd_xbrl,606.4,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,cost_of_revenue_musd,254.5,USD millions,data/processed/abnb_quarterly_costlines.csv:cost_of_revenue_musd,data/processed/abnb_quarterly_costlines.csv,True,
1Q21,cross_border_share_pct,20,pct of gross nights,up from 20% in Q1,letters/4Q21_d251410dex991.htm,True,quoted in 4Q21 letter
1Q21,diluted_wa_shares_m,601.0,millions,data/processed/abnb_driver_history_quarterly.csv:diluted_wa_shares_m,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,diluted_wa_shares_m_xbrl,601.0,millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,fcf_musd,598.7,USD millions,data/processed/abnb_driver_history_quarterly.csv:fcf_musd,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,funds_held_for_clients_musd,4014.9,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,g_and_a_musd,189.8,USD millions,data/processed/abnb_quarterly_costlines.csv:general_and_administrative_musd,data/processed/abnb_quarterly_costlines.csv,True,
1Q21,gbv_busd,10.3,USD billions,data/processed/abnb_driver_history_quarterly.csv:gbv_b,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,income_tax_musd,6.3,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,long_term_debt_musd,1979.4,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,long_term_stays_share_pct,24,pct of gross nights,"In Q1 2021, long-term stays represented 24% of nights booked",letters/1Q21_d476842dex991.htm,True,
1Q21,marketing_commentary,Our strategy is to increase brand marketing and use the strength of our brand to,text,Our strategy is to increase brand marketing and use the strength of our brand to attract more guests via direct or unpai,letters/1Q21_d476842dex991.htm,True,
1Q21,net_income_musd,-1172.2,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,nights_m,64.4,millions,data/processed/abnb_driver_history_quarterly.csv:nights_m,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,operating_income_musd,-446.9,USD millions,data/processed/abnb_quarterly_costlines.csv:operating_income_musd,data/processed/abnb_quarterly_costlines.csv,True,
1Q21,ops_support_musd,185.4,USD millions,data/processed/abnb_quarterly_costlines.csv:operations_and_support_musd,data/processed/abnb_quarterly_costlines.csv,True,
1Q21,product_dev_musd,363.1,USD millions,data/processed/abnb_quarterly_costlines.csv:product_development_musd,data/processed/abnb_quarterly_costlines.csv,True,
1Q21,restricted_cash_musd,19.9,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,restructuring_musd,112.0,USD millions,data/processed/abnb_quarterly_costlines.csv:restructuring_musd,data/processed/abnb_quarterly_costlines.csv,True,
1Q21,revenue_musd,887.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:revenue_musd,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,revenue_musd_xbrl,886.9,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,revenue_yoy_exfx_pct,3.0,pct,"revenue was $887 million, representing a year-over-year increase of 5% (or 3% increase on a constant currency",letters/1Q21_d476842dex991.htm,True,
1Q21,revenue_yoy_reported_pct,5.0,pct,"revenue was $887 million, representing a year-over-year increase of 5% (or 3% increase on a constant currency",letters/1Q21_d476842dex991.htm,True,
1Q21,rsu_tax_withholding_musd,130.4,USD millions,data/processed/abnb_driver_history_quarterly.csv:rsu_tax_withholding_musd,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,sales_marketing_musd,229.1,USD millions,data/processed/abnb_quarterly_costlines.csv:sales_and_marketing_musd,data/processed/abnb_quarterly_costlines.csv,True,
1Q21,sbc_musd,229.5,USD millions,data/processed/abnb_driver_history_quarterly.csv:stock_based_comp_total_musd,data/processed/abnb_driver_history_quarterly.csv,True,
1Q21,short_term_investments_musd,2086.7,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
1Q21,unearned_fees_musd,946.2,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
