"sheet","address","row","col","is_formula","formula","value","is_number","error"
"Inputs","A1","1","1","False","","ABNB driver model - Inputs","False",""
"Inputs","A2","2","1","False","","Overnight run 6-7 Sep 2026 (workstream 13). Yellow cells are inputs; everything downstream is a live formula. The other hard numbers in the file are the History actuals table, the external Street / Card bars (each with its vendor and date) and the Recon sheet's Python-mirror column. Sources name the workstream that supplied the value.","False",""
"Inputs","A4","4","1","False","","SCENARIO SELECTOR  (1 = Bear, 2 = Base, 3 = Bull)","False",""
"Inputs","B4","4","2","False","","2","True",""
"Inputs","G4","4","7","False","","Drives the Active column here and the Active column on Valuation (sections 1-4) and Card_5Nov. All three scenarios are computed in full on Revenue / Costs / Cash, so the Bear / Base / Bull columns never move when this cell changes.","False",""
"Inputs","A6","6","1","False","","A. VALUATION AND CONTROL INPUTS","False",""
"Inputs","A7","7","1","False","","Parameter","False",""
"Inputs","B7","7","2","False","","Unit","False",""
"Inputs","C7","7","3","False","","Bear","False",""
"Inputs","D7","7","4","False","","Base","False",""
"Inputs","E7","7","5","False","","Bull","False",""
"Inputs","F7","7","6","False","","Active","False",""
"Inputs","G7","7","7","False","","Source","False",""
"Inputs","A8","8","1","False","","Share price (4 Sep 2026 close)","False",""
"Inputs","B8","8","2","False","","$","False",""
"Inputs","C8","8","3","False","","181.94","True",""
"Inputs","D8","8","4","False","","181.94","True",""
"Inputs","E8","8","5","False","","181.94","True",""
"Inputs","F8","8","6","True","=CHOOSE(Inputs!$B$4,C8,D8,E8)","181.94","True",""
"Inputs","G8","8","7","False","","Close 4 Sep 2026","False",""
"Inputs","A9","9","1","False","","Net cash ex float, 30 Jun 2026 ($M)","False",""
"Inputs","B9","9","2","False","","$M","False",""
"Inputs","C9","9","3","False","","9593","True",""
"Inputs","D9","9","4","False","","9593","True",""
"Inputs","E9","9","5","False","","9593","True",""
"Inputs","F9","9","6","True","=CHOOSE(Inputs!$B$4,C9,D9,E9)","9593","True",""
"Inputs","G9","9","7","False","","WS12; 2Q26 XBRL. Funds held for clients ($12,224M) excluded","False",""
"Inputs","A10","10","1","False","","Diluted shares, 2Q26 (M)","False",""
"Inputs","B10","10","2","False","","M","False",""
"Inputs","C10","10","3","False","","597","True",""
"Inputs","D10","10","4","False","","597","True",""
"Inputs","E10","10","5","False","","597","True",""
"Inputs","F10","10","6","True","=CHOOSE(Inputs!$B$4,C10,D10,E10)","597","True",""
"Inputs","G10","10","7","False","","2Q26 diluted weighted-average (XBRL)","False",""
"Inputs","A11","11","1","False","","Cost of equity","False",""
"Inputs","C11","11","3","False","","0.115","True",""
"Inputs","D11","11","4","False","","0.105","True",""
