city,region,pair,date_a,date_b,days_apart,ids_a,ids_b,matched,old_retention,old_status,new_status,exclusion_reason,retention_clean,new_status_pit,exclusion_reason_pit,status_changed,scope_vs_peer_a,scope_vs_peer_b,partial_scope_a,partial_scope_b,scope_vs_peer_b_pit,scope_vs_peer_b_pit_long,span_min_vs_max_listings,span_step_warning,matched_reviews_ltm_chg,matched_reviews_ltm_chg_clean,price_comparable,matched_priced_entire,lfl_price_chg_median,price_pair_eligible,lfl_price_chg_median_clean
austin,,2024-06-17 -> 2025-06-13,2024-06-17,2025-06-13,361,15159,15187,11287,0.7446,plotted as market retention,eligible,,0.7446,eligible,,False,0.978,0.9798,False,False,0.9798,0.9798,0.978,False,-0.0216,-0.0216,True,6059,-0.0363,True,-0.0363
austin,,2024-09-13 -> 2025-09-16,2024-09-13,2025-09-16,368,15244,10533,7221,0.4737,plotted as market retention,excluded,partial_scope_b,,excluded,partial_scope_b,True,0.9835,0.6826,False,True,0.6826,0.6795,0.6795,True,0.0094,,True,6053,-0.0476,False,
austin,,2024-12-14 -> 2025-12-22,2024-12-14,2025-12-22,373,15500,11251,7928,0.5115,plotted as market retention,excluded,partial_scope_b,,excluded,partial_scope_b,True,1.0,0.7408,False,True,0.7408,0.7259,0.7259,True,-0.0095,,False,0,,False,
austin,,2024-12-14 -> 2026-01-18,2024-12-14,2026-01-18,400,15500,11374,7812,0.504,plotted as market retention,eligible,,0.504,excluded,partial_scope_b_long_lookback,False,1.0,1.0,False,False,1.0,0.7338,0.7338,True,-0.0145,-0.0145,False,0,,False,
austin,,2025-03-06 -> 2026-02-19,2025-03-06,2026-02-19,350,15431,10422,7550,0.4893,plotted as market retention,eligible,,0.4893,excluded,partial_scope_b_long_lookback,False,0.9955,0.9163,False,False,0.9163,0.6754,0.6724,True,0.0073,0.0073,False,0,,False,
austin,,2025-03-06 -> 2026-03-25,2025-03-06,2026-03-25,384,15431,8170,5714,0.3703,plotted as market retention,excluded,partial_scope_b,,excluded,partial_scope_b,True,0.9955,0.7183,False,True,0.7183,0.5295,0.5271,True,0.0005,,False,0,,False,
austin,,2025-03-06 -> 2026-04-23,2025-03-06,2026-04-23,413,15431,8290,5684,0.3683,plotted as market retention,excluded,partial_scope_b,,excluded,partial_scope_b,True,0.9955,0.7289,False,True,0.7289,0.5459,0.5348,True,-0.013,,False,0,,False,
austin,,2025-06-13 -> 2026-05-25,2025-06-13,2026-05-25,346,15187,8568,6115,0.4026,plotted as market retention,excluded,partial_scope_b,,excluded,partial_scope_b,True,0.9798,0.7533,False,True,0.7533,0.5642,0.5528,True,0.0254,,False,0,,False,
austin,,2025-06-13 -> 2026-06-22,2025-06-13,2026-06-22,374,15187,11295,7995,0.5264,plotted as market retention,eligible,,0.5264,excluded,partial_scope_b_long_lookback,False,0.9798,0.9931,False,False,0.9931,0.7437,0.7287,True,-0.0004,-0.0004,False,0,,False,
austin,,2025-06-13 -> 2026-07-18,2025-06-13,2026-07-18,400,15187,11172,7818,0.5148,plotted as market retention,eligible,,0.5148,excluded,partial_scope_b_long_lookback,False,0.9798,0.9822,False,False,0.9822,0.7356,0.7208,True,-0.0047,-0.0047,False,0,,False,
austin,,2025-09-16 -> 2026-08-25,2025-09-16,2026-08-25,343,10533,11079,7393,0.7019,plotted as market retention,excluded,partial_scope_a,,excluded,partial_scope_a,True,0.6826,0.9809,True,False,0.9809,0.9741,0.6826,True,0.0407,,False,0,,False,
barcelona,EMEA,2025-09-14 -> 2026-06-24,2025-09-14,2026-06-24,283,19410,15293,12279,0.6326,plotted as market retention,eligible,,0.6326,excluded,partial_scope_b_long_lookback,False,1.0,0.8413,False,False,0.8413,0.7879,0.7879,True,0.0999,0.0999,False,0,,False,
barcelona,EMEA,2025-09-14 -> 2026-07-16,2025-09-14,2026-07-16,305,19410,15777,12213,0.6292,plotted as market retention,eligible,,0.6292,eligible,,False,1.0,0.9227,False,False,0.9227,0.8128,0.8128,False,0.1021,0.1021,False,0,,False,
barcelona,EMEA,2025-09-14 -> 2026-08-23,2025-09-14,2026-08-23,343,19410,16227,12169,0.6269,plotted as market retention,eligible,,0.6269,eligible,,False,1.0,1.0,False,False,1.0,0.836,0.836,False,0.1118,0.1118,False,0,,False,
chicago,,2025-03-11 -> 2025-12-25,2025-03-11,2025-12-25,289,8748,8884,6641,0.7591,plotted as market retention,eligible,,0.7591,eligible,,False,1.0,1.0,False,False,1.0,1.0,0.9847,False,0.0615,0.0615,False,0,,False,
chicago,,2025-03-11 -> 2026-01-20,2025-03-11,2026-01-20,315,8748,8817,6548,0.7485,plotted as market retention,eligible,,0.7485,eligible,,False,1.0,0.9925,False,False,0.9925,0.9925,0.9847,False,0.0672,0.0672,False,0,,False,
chicago,,2025-03-11 -> 2026-02-25,2025-03-11,2026-02-25,351,8748,7821,5680,0.6493,plotted as market retention,eligible,,0.6493,eligible,,False,1.0,0.8803,False,False,0.8803,0.8803,0.8803,False,0.0769,0.0769,False,0,,False,
chicago,,2025-03-11 -> 2026-03-27,2025-03-11,2026-03-27,381,8748,5153,3523,0.4027,plotted as market retention,excluded,partial_scope_b,,excluded,partial_scope_b,True,1.0,0.58,False,True,0.58,0.58,0.58,True,0.0823,,False,0,,False,
chicago,,2025-03-11 -> 2026-04-24,2025-03-11,2026-04-24,409,8748,5116,3467,0.3963,plotted as market retention,excluded,partial_scope_b,,excluded,partial_scope_b,True,1.0,0.5759,False,True,0.5759,0.5759,0.5759,True,0.0705,,False,0,,False,
chicago,,2025-06-17 -> 2026-05-26,2025-06-17,2026-05-26,343,8604,8408,6581,0.7649,plotted as market retention,eligible,,0.7649,eligible,,False,0.9685,0.9464,False,False,0.9464,0.9464,0.9464,False,0.1683,0.1683,False,0,,False,
chicago,,2025-06-17 -> 2026-06-24,2025-06-17,2026-06-24,372,8604,8660,6491,0.7544,plotted as market retention,eligible,,0.7544,eligible,,False,0.9685,0.9748,False,False,0.9748,0.9748,0.9685,False,0.1511,0.1511,False,0,,False,
chicago,,2025-06-17 -> 2026-07-20,2025-06-17,2026-07-20,398,8604,8698,6379,0.7414,plotted as market retention,eligible,,0.7414,eligible,,False,0.9685,0.9865,False,False,0.9865,0.9791,0.9685,False,0.1601,0.1601,False,0,,False,
chicago,,2025-09-22 -> 2026-08-27,2025-09-22,2026-08-27,339,8660,8778,6719,0.7759,plotted as market retention,eligible,,0.7759,eligible,,False,0.9748,1.0,False,False,1.0,0.9881,0.9748,False,0.1611,0.1611,False,0,,False,
