profile,scenario,shock,unit,scope,year,margin_pts,adj_ebitda_delta_musd,revenue_delta_musd,baseline_margin_pct,evidence
base,base,+1pt nights growth,%,shock in every year FY26-FY28,FY2026E,0.207,53.7,68.7,35.25,workstream-29 nights path shifted by a point in every quarter and FY28
base,base,+1pt nights growth,%,shock in every year FY26-FY28,FY2027E,0.549,167.0,219.7,35.94,workstream-29 nights path shifted by a point in every quarter and FY28
base,base,+1pt nights growth,%,shock in every year FY26-FY28,FY2028E,0.882,307.7,404.5,36.94,workstream-29 nights path shifted by a point in every quarter and FY28
base,base,+1pt nights growth,%,shock in FY2028 only,FY2028E,0.344,119.4,158.6,36.94,workstream-29 nights path shifted by a point in every quarter and FY28
base,base,+1pt ADR ex-FX,%,shock in every year FY26-FY28,FY2026E,0.247,59.4,68.7,35.25,"ADR ex-FX shifted by a point; flows to GBV and revenue, and to cost of revenue through GBV"
base,base,+1pt ADR ex-FX,%,shock in every year FY26-FY28,FY2027E,0.665,185.5,219.7,35.94,"ADR ex-FX shifted by a point; flows to GBV and revenue, and to cost of revenue through GBV"
base,base,+1pt ADR ex-FX,%,shock in every year FY26-FY28,FY2028E,1.062,339.9,404.5,36.94,"ADR ex-FX shifted by a point; flows to GBV and revenue, and to cost of revenue through GBV"
base,base,+1pt ADR ex-FX,%,shock in FY2028 only,FY2028E,0.417,132.4,158.6,36.94,"ADR ex-FX shifted by a point; flows to GBV and revenue, and to cost of revenue through GBV"
base,base,+1pt FX on revenue,%,shock in every year FY26-FY28,FY2026E,0.247,59.4,68.7,35.25,"FX points on revenue shifted by one; costs are treated as USD except cost of revenue, which follows GBV"
base,base,+1pt FX on revenue,%,shock in every year FY26-FY28,FY2027E,0.665,185.5,219.7,35.94,"FX points on revenue shifted by one; costs are treated as USD except cost of revenue, which follows GBV"
base,base,+1pt FX on revenue,%,shock in every year FY26-FY28,FY2028E,1.062,339.9,404.5,36.94,"FX points on revenue shifted by one; costs are treated as USD except cost of revenue, which follows GBV"
base,base,+1pt FX on revenue,%,shock in FY2028 only,FY2028E,0.417,132.4,158.6,36.94,"FX points on revenue shifted by one; costs are treated as USD except cost of revenue, which follows GBV"
base,base,+10bp take rate,bps,shock in every year FY26-FY28,FY2026E,0.229,50.0,49.6,35.25,10bp added to revenue over GBV; no cost line moves
base,base,+10bp take rate,bps,shock in every year FY26-FY28,FY2027E,0.707,175.4,173.9,35.94,10bp added to revenue over GBV; no cost line moves
base,base,+10bp take rate,bps,shock in every year FY26-FY28,FY2028E,0.693,193.8,192.1,36.94,10bp added to revenue over GBV; no cost line moves
base,base,+10bp take rate,bps,shock in FY2028 only,FY2028E,0.472,131.6,130.4,36.94,10bp added to revenue over GBV; no cost line moves
base,base,-10% support cost per night,%,shock in every year FY26-FY28,FY2026E,0.96,136.0,0.0,35.25,operations and support per-night target cut by 10 points in every year
