statement_id,date,print,speaker,source,structural_role,quote,quote_verified,cost_line,verdict,source_file,locator
S001,2021-02-25,4Q20,Dave Stephenson,call-QA-sa,the original long-term target: 30% or greater,What we would expect to achieve over time is 30% EBITDA margins or greater.,yes,total_margin,kept,data/raw/transcripts/web/4Q20.html,"turn 23 [Dave Stephenson|CFO, Airbnb]"
S004,2021-02-25,4Q20,Dave Stephenson,call-QA-sa,fixed costs do not come back with volume,"We've made substantial reductions in our fixed costs. We will not be having to add back fixed costs to support a business that will, again, approach 2019 levels and beyond.",yes,product_dev,kept,data/raw/transcripts/web/4Q20.html,"turn 23 [Dave Stephenson|CFO, Airbnb]"
S005,2021-02-25,4Q20,Dave Stephenson,call-QA-sa,names the three variable-cost levers used ever since,"It's that discipline of variable expenses, things like cost of payments, community support expenses, infrastructure expenses, all the way down, that we're proud of.",yes,cost_of_revenue,kept,data/raw/transcripts/web/4Q20.html,"turn 23 [Dave Stephenson|CFO, Airbnb]"
S012,2021-02-25,4Q20,Dave Stephenson,call-QA-sa,give value before taking take rate,we could see opportunities for further increases of take rate. We would always want to give more back to the community before we would increase that take rate.,yes,take_rate,kept,data/raw/transcripts/web/4Q20.html,"turn 59 [Dave Stephenson|CFO, Airbnb]"
S025,2022-02-15,4Q21,Dave Stephenson,call-QA,"brand is fixed, performance is variable",we're continuing to focus more of our spend on brand marketing and less on the search engine marketing. And you are right that the brand marketing then should be more fixed. It's more of a fixed investment.,yes,brand_marketing,kept,data/raw/transcripts/ir/4Q21.pdf,turn 27 [qa|mgmt|David E. Stephenson]
S026,2022-02-15,4Q21,Dave Stephenson,call-QA,the promised post-2023 marketing leverage (never delivered),"Once we're penetrated in most of the countries around the world, we can see more leverage because it becomes more of a fixed cost, and as you grow revenue, we can kind of grow revenue out above the marketing.",yes,brand_marketing,missed,data/raw/transcripts/ir/4Q21.pdf,turn 27 [qa|mgmt|David E. Stephenson]
S028,2022-02-15,4Q21,Dave Stephenson,call-QA,ADR as a direct margin driver,"If ADRs remain higher and stronger, that's a tailwind to EBITDA. As the business rebounds more urban, more lower ADR regions and ADRs moderate some, that will be continued headwind for our margins.",yes,total_margin,partly,data/raw/transcripts/ir/4Q21.pdf,turn 11 [qa|mgmt|David E. Stephenson]
S039,2022-11-01,3Q22,Brian Chesky,call-QA-sa,marketing gets more efficient every single year (falsified),"this allows for a very efficient, very dynamic, approach to marketing that should get more efficient every single year",yes,brand_marketing,missed,data/raw/transcripts/web/3Q22.html,"turn 92 [Brian Chesky|Co-Founder and CEO, Airbnb]"
S044,2023-02-14,4Q22,Dave Stephenson,call-QA-sa,efficiencies exactly offset the ADR headwind,"we anticipate our EBITDA margins for the full year to be roughly the same as 2022, in that the headwinds from lower ADR rates will be offset by our efficiencies that we kind of drive internally",yes,total_margin,kept,data/raw/transcripts/web/4Q22.html,"turn 40 [Dave Stephenson|CFO and Head of Employee Experience, Airbnb]"
S045,2023-02-14,4Q22,Dave Stephenson,call-QA-sa,not in profit maximisation mode,"I am not in profit maximization mode. I have a long list of things that we can invest in to drive further profitability, but I know that I can also afford with our headcount growth, profitability improvements that can offset the ADR declines",yes,total_margin,kept,data/raw/transcripts/web/4Q22.html,"turn 80 [Dave Stephenson|CFO and Head of Employee Experience, Airbnb]"
