scenario,lens,price,upside_pct
Bear,"EV / adj. EBITDA, FY27E",110.0867,-39.4928
Bear,"EV / FCF, FY27E",84.8028,-53.3897
Bear,"P / SBC-adjusted FCF, FY27E",37.7869,-79.2311
Bear,"P / earnings proxy, FY27E",46.0132,-74.7097
Bear,"EV / adj. EBITDA, FY28E",105.155,-42.2035
Bear,DCF on FCF,78.6946,-56.747
Bear,DCF on SBC-adjusted FCF,40.9995,-77.4654
Bear,"EV / adj. EBITDA, FY27E (5 Sep multiples 18/22/25.5x)",141.7739,-22.0766
Bear,Football field low,37.7869,-79.2311
Bear,Football field high,110.0867,-39.4928
Bear,Football field mean,77.0899,-57.629
Base,"EV / adj. EBITDA, FY27E",183.609,0.9173
Base,"EV / FCF, FY27E",154.8054,-14.914
Base,"P / SBC-adjusted FCF, FY27E",119.0288,-34.578
Base,"P / earnings proxy, FY27E",112.2504,-38.3036
Base,"EV / adj. EBITDA, FY28E",220.8754,21.4001
Base,DCF on FCF,185.3475,1.8729
Base,DCF on SBC-adjusted FCF,124.628,-31.5005
Base,"EV / adj. EBITDA, FY27E (5 Sep multiples 18/22/25.5x)",238.8549,31.2823
Base,Football field low,112.2504,-38.3036
Base,Football field high,220.8754,21.4001
Base,Football field mean,162.6528,-10.6009
Bull,"EV / adj. EBITDA, FY27E",237.7142,30.6553
Bull,"EV / FCF, FY27E",221.2472,21.6045
Bull,"P / SBC-adjusted FCF, FY27E",200.4031,10.1479
Bull,"P / earnings proxy, FY27E",179.1738,-1.5204
Bull,"EV / adj. EBITDA, FY28E",293.6146,61.3799
Bull,DCF on FCF,285.2811,56.7996
Bull,DCF on SBC-adjusted FCF,210.5793,15.7411
Bull,"EV / adj. EBITDA, FY27E (5 Sep multiples 18/22/25.5x)",320.0439,75.9063
Bull,Football field low,179.1738,-1.5204
Bull,Football field high,293.6146,61.3799
Bull,Football field mean,236.239,29.8445
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 9.0% | g 2.5%,,5.9879
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 9.0% | g 3.0%,,5.3322
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 9.0% | g 4.0%,,3.8243
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 10.0% | g 2.5%,,8.0576
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 10.0% | g 3.0%,,7.4942
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 10.0% | g 4.0%,,6.2227
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 10.5% | g 2.5%,,9.0378
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 10.5% | g 3.0%,,8.5117
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 10.5% | g 4.0%,,7.3333
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 11.0% | g 2.5%,,9.9876
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 11.0% | g 3.0%,,9.4943
Base,Reverse DCF | Reported FCF (LTM $4827M) | CoE 11.0% | g 4.0%,,8.3966
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 9.0% | g 2.5%,,11.7074
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 9.0% | g 3.0%,,10.9879
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 9.0% | g 4.0%,,9.3385
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 10.0% | g 2.5%,,13.9394
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 10.0% | g 3.0%,,13.3191
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 10.0% | g 4.0%,,11.9231
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 10.5% | g 2.5%,,14.9966
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 10.5% | g 3.0%,,14.4164
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 10.5% | g 4.0%,,13.1204
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 11.0% | g 2.5%,,16.0211
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 11.0% | g 3.0%,,15.4763
Base,Reverse DCF | SBC-adjusted FCF (LTM $3131M) | CoE 11.0% | g 4.0%,,14.2669
