row_type,scenario,year,item,unit,value,bear,base,bull,margin_pts,evidence
lever,Bear,FY2026E,nights,y/y growth,0.095,0.095,0.1,0.103,,1H26 actual +9.7% (304.5M vs 277.5M); 2Q26 +10%. Guide implies mid-teens revenue growth on a flat take rate
lever,Bear,FY2026E,adr_exfx,y/y growth,0.03,0.03,0.035,0.04,,"Letters: ADR ex-FX +3% (4Q25), +4% (1Q26), +4% (2Q26). US hotel prices turned positive in 2Q26 (+4.9%), closing the gap"
lever,Bear,FY2026E,fx,y/y effect on revenue,0.018,0.018,0.02,0.023,,"2Q26 letter: about a 3-point FX tailwind to revenue growth after hedging, expected to fade into Q4"
lever,Bear,FY2026E,take_bps,bps change vs 13.41%,-5,-5,0,5,,Management guides the 2026 take rate flat; new-business incentives are the offset to the 15.5% single-fee rollout
lever,Bear,FY2026E,cor_per_gbv,y/y change in cost per $ GBV,0.005,0.005,0.0,-0.005,,"2Q26 10-Q: cost of revenue +16% on GBV +16%; merchant fees +$131M and chargebacks +$25M in 1H26 with 'a slight increase in our chargeback rate', server costs +$15M"
lever,Bear,FY2026E,ops_cpn,y/y change in cash cost per night,-0.04,-0.04,-0.05,-0.06,,"Support cost per booking -10% (1Q26) and -16% (2Q26); third-party service providers -$17M in 2Q26. Offset by payroll +$41M, customer relations +$14M, insurance +$9M in 1H26"
lever,Bear,FY2026E,pd_cash,y/y cash growth,0.115,0.115,0.11,0.105,,"1H26 product development +11%, entirely payroll on higher average headcount (10-Q)"
lever,Bear,FY2026E,bpm_cash,y/y growth,0.28,0.28,0.25,0.23,,"1H26 brand and performance marketing +32% ($1,091M vs $824M). The base case needs H2 at about +17% y/y (H2 2025 was $771M); the 35.5% FY floor is only breached above about +29% H2 growth, so the floor has cushion the base case does not"
lever,Bear,FY2026E,fop_cash,y/y cash growth,0.2,0.2,0.18,0.16,,"Field operations and policy +24% in 1H26, decelerating from +43% in FY2025 as the Services and Experiences launch spend laps"
lever,Bear,FY2026E,ga_cash,y/y cash growth,0.03,0.03,0.02,0.0,,1H26 G&A +1%: payroll +$38M offset by non-income taxes -$38M
lever,Bear,FY2026E,addback_pct,% of revenue,0.9,0.9,0.9,0.9,,D&A plus acquisition-related add-backs; 0.9% of revenue in FY2025
lever,Bear,FY2026E,sbc_growth,y/y growth,0.16,0.16,0.13,0.1,,"1H26 SBC $897M vs $782M, +14.7%. Management guides SBC growth below 2025 (+10%)"
lever,Bear,FY2026E,int_income,$M,620,620,660,700,,"1H26 interest income $338M vs $363M, -7%; $12.1B of cash and short-term investments at 30 Jun 2026 against falling rates"
lever,Bear,FY2026E,int_expense,$M,125,125,120,115,,"$2.5B senior notes issued 16 Mar 2026 at 4.40-5.25%; interest expense $37M in 2Q26, $58M in 1H26"
lever,Bear,FY2026E,cash_tax_pct_rev,% of revenue,0.035,0.035,0.026,0.02,,FY2025 cash taxes $232M (1.9% of revenue) against a $626M provision; 1H26 provision $202M on a 17.1% effective rate. The released deferred tax assets are being consumed
lever,Bear,FY2026E,d_unearned_pct_rev,% of revenue,-0.005,-0.005,0.0,0.005,,"Unearned fees fell y/y in 2Q26 ($2,831M vs $2,857M) as Reserve Now, Pay Later moves collection to check-in"
