source,period,topic,finding,url
"AirDNA U.S. Review, July 2026",2026-07,us_str_market,"US short-term-rental market: ADR $317.55 (+6.9% y/y), RevPAR $217.17 (+7.2%), occupancy 68.4% (+0.3%), demand nights +2.0%, available supply +2.6%",https://www.airdna.co/blog/u.s.-review-july-2026
"AirDNA U.S. Review, June 2026",2026-06,us_str_market,"ADR $310.64 (+4.6%), RevPAR $200.19 (+4.5%), occupancy 64.4% (-0.1%), demand +1.9%, supply +1.7%",https://www.airdna.co/blog/u.s.-review-june-2026
"AirDNA U.S. Review, December 2025",2025-12,us_str_market,"December ADR $248.57 (+3.3%), RevPAR $126.97 (+1.8%), occupancy 51.0%; FY2025 occupancy 56.9% (+0.2pp), ADR +1.8%",https://www.airdna.co/blog/us-review-december-2025
"AirDNA U.S. Review, December 2024",2024-12,us_str_market,"FY2024 demand +6.8%, supply +3.3%, occupancy 56.7% (+0.3pp), RevPAR +3.7%",https://www.airdna.co/blog/us-review-december-2024
"AirDNA European Review, July 2026",2026-07,eu_str_market,"Europe ADR EUR 159.2 (+8.2% y/y), RevPAR EUR 110.1 (+7.7%), occupancy 69.2% (-0.3pp), demand +0.8%, listings +1.9%",https://www.airdna.co/blog/european-review-july-2026
"AirDNA European Review, 2025",2025-12,eu_str_market,"Europe FY2025 ADR EUR 130 (-1.1%), RevPAR EUR 76 (-0.4%), occupancy 58.7-59% (+0.7pp), demand nights 470m (+4.4%), listings +3.5%",https://www.airdna.co/blog/european-review-december-2025
"CoStar / Business Travel News, 26-Aug-2026",2026-07,us_hotel,"US hotels July 2026: ADR $171.74 (+5.7%), RevPAR $119.77 (+8.2%), occupancy 69.7% (+2.3%); sixth consecutive month of gains; 22 of the top 25 markets grew RevPAR",https://www.businesstravelnews.com/Lodging/CoStar-US-Hotels-Grow-Occupancy-Rate-in-July
"CoStar / Business Travel News, 20-Jan-2026",2025-12,us_hotel,"US hotels full-year 2025: occupancy 62.3% (-1.2pp), ADR $160.54 (+0.9%), RevPAR $100.02 (-0.3%); first annual occupancy and RevPAR decline since 2020",https://www.businesstravelnews.com/Lodging/CoStar-25-U.S.-Hotel-Occupancy-RevPAR-Decline
"CoStar / Tourism Economics forecast, 7-Aug-2026",2026-08,us_hotel_forecast,"2026 US hotel forecast raised to RevPAR +4.4%, ADR +3.1%, occupancy 63.1%; 2027 RevPAR +2.1%, ADR +1.6%, occupancy 63.4%",https://www.asianhospitality.com/us-hotel-forecast-2026-costar-tourism-economics/
"Barclays brand RevPAR tracker via Asian Hospitality, 24-Aug-2026",2026-07,us_hotel_segment,"July 2026 RevPAR by brand: Marriott +9.5%, Hilton +7.9%, Hyatt +10.9%, Choice +5.8%, Wyndham +5.2%. By segment: luxury RevPAR +17.7% and ADR +14.5%; economy RevPAR +3.6%; group +14%, transient +11%",https://www.asianhospitality.com/us-hotel-revpar-up-8-2-percent-july-report/
"Hilton Q2 2026 release (SEC), 28-Jul-2026",2026-06,us_hotel,"Hilton US Q2 2026: occupancy 77.3% (+1.6pp), ADR $180.16 (+3.2%), RevPAR $139.28 (+5.4%); FY26 system RevPAR guidance raised to +3.0-3.5%",https://stories.hilton.com/releases/hilton-reports-2026-second-quarter-results
"Marriott Q2 2026 release (SEC), 3-Aug-2026",2026-06,us_hotel,"Marriott Q2 2026: worldwide ADR $228.23 (+3.7%), comparable constant-currency RevPAR +3.4%, US and Canada +5.0%, international -0.5%; FY26 RevPAR guidance raised to +3.0-3.5%",https://www.sec.gov/Archives/edgar/data/1048286/000104828626000033/mar-2026q2xex99earningsrel.htm
"Key Data via Short Term Rentalz, 22-Jan-2026",2026-01,channel_mix,US vacation-rental managers Q4 2025 distribution: Airbnb 54% of reservations and 45% of revenue; direct bookings 21% of reservations. Early 2026 paid-occupancy pacing -6%/-5%/-3% for Jan/Feb/Mar with ADR pacing +2% to +4%; booking windows and length of stay both shortening,https://shorttermrentalz.com/news/key-data-report-us-booking-windows/
"PriceLabs via RentalScaleUp, 19-Dec-2025",2025-12,booking_window,US booking windows shortened from about 19 to 15 days in January and 34 to 29 days in July between 2022 and 2025; bookings made 0-7 days out rose from 21% to 27% of all bookings. Large managers (100+ listings) run lower occupancy but higher ADR and RevPAR,https://www.rentalscaleup.com/short-term-rental-planning-2026/
"Lighthouse via VisitBritain, June 2026",2026-06,party_size,"UK short-term rentals: share of bookings by property guest capacity moved from 1-2 guests 43% and 6+ guests 21% in June 2019 to 1-2 guests 29% and 6+ guests 30% in June 2026; 3-5 guests 35% to 41%. June 2026 ADR GBP 343 (+4%), occupancy 47% (flat), average stay 6.7 nights",https://www.visitbritain.org/media/6087/download?attachment
"AirROI, 2026 study of 28 US markets",2026,fees,"Reports a 55.9% median markup between the advertised nightly rate and the checkout total across 28 US markets, and finds hotels cheaper in 27 of 28 single-room scenarios while Airbnb is competitive for families and groups in 19 of 28. Third-party methodology, not verified against the underlying data",https://www.airroi.com/blog/airbnb-vs-hotel-all-in-pricing-2026
"Airbnb newsroom, 18-May-2021",2021-05,fees,"45% of active listings globally charged no cleaning fee; where charged, the average cleaning fee was under 10% of the total reservation cost",https://news.airbnb.com/fee-transparency-on-airbnb/
"Airbnb newsroom, support for federal price-display legislation (stats through Sep 2024)",2024-09,fees,"More than 300,000 listings lowered or removed cleaning fees since the December 2022 toggle; about 40% of active listings charge no cleaning fee; more than 15 million guests had used the toggle",https://news.airbnb.com/support-for-federal-price-display-legislation/
"Airbnb newsroom, 21-Apr-2025",2025-04,fees,Total price display became the global default. About 17 million guests had used the optional toggle over the prior two years; over 80% of hosts used at least one pricing tool in the past year; 2 million hosts used the similar-listings comparison tool,https://news.airbnb.com/total-price-display-is-now-standard-globally/
"Skift, 29-Aug-2026",2026-08,fees,"AirDNA told Skift that Airbnb's lower-fee 'bring your own cleaner' offer is a pilot, not a full rollout; the standard host fee remains 15.5%",https://skift.com/2026/08/29/
"Skift, 28-Apr-2026 (AirDNA data)",2026-01,demand,"Inbound US short-term-rental demand fell 4.7% y/y in January 2026 against a 3.5% fall in overall inbound visitation, so STRs were hit harder than the wider inbound market",https://skift.com/2026/04/28/us-tourism-slump-short-term-rentals/
"Rabbu analysis of ABNB Q2 2026, 6-Aug-2026",2026-08,mix,"Reads Q2 2026 as volume-led rather than price-led; over 150,000 homes newly listed across World Cup host cities; hotel nights on Airbnb grew roughly three times faster than home nights; Experiences supply +80% y/y",https://rabbu.com/blog/airbnb-q2-2026-earnings-what-str-investors-need-to-know
"Deloitte 2026 Summer Travel Survey ('Flight or Fold'), fielded 2-9 Apr 2026, n=4,003",2026-04,survey,"45% of Americans planning a paid-lodging summer vacation, a six-year low; 81% of those plan at least one hotel stay (80% in 2025) and 29% plan a private-rental stay, up slightly y/y; households on $100k+ are 55% of the travelling public, up from 50% in 2025; cost is the deterrent cited by roughly a third of non-travellers",https://www.deloitte.com/us/en/insights/industry/transportation/2026-summer-travel-trends-survey.html
"Deloitte 2024 Summer Travel Survey, fielded 20-Mar to 2-Apr 2024, n=4,022",2024-04,survey,"48% planning a paid-lodging vacation, down from 50% in 2023; demand described as up for non-hotel lodging including private rentals, with no percentage given; high-income travellers 44% of the travelling public vs 35% in 2023",https://www.deloitte.com/us/en/insights/industry/transportation/2024-summer-leisure-travel-trends.html
"Morning Consult brand tracking via Business Insider, Feb 2023, n=5,000 US adults",2023-02,survey,Airbnb favourability 42% in February 2023 vs 38% in January 2022 and 23% in 2018; booking intent among short-term travellers 51% vs 50% a year earlier. No measurable dent from the autumn-2022 cleaning-fee and chore-list backlash,https://www.businessinsider.com/airbnb-brand-morning-consult-market-research-cleaning-fees-chore-lists-2023-2
"YouGov US Hotel Rankings 2026 (consideration Jul 2025-Jun 2026, n>10,960)",2026-06,survey,"Airbnb and Vrbo are explicitly excluded from YouGov's hotel-brand rankings, which is itself a signal about how the category is framed for consumers. Marriott consideration 45.3%, Hilton 44.9%, Courtyard 37.8%",https://yougov.com/en-us/articles/55288-us-hotel-rankings-report-2026
"Airbnb newsroom archive and IR, searched 6-Sep-2026",2026-09,business_travel,No Airbnb-disclosed business-travel share of nights exists for 2023-2026. The only dated figures found were about 8% of bookings from corporate travel in 2014 and a 2018 note that nearly 60% of Airbnb for Work trips had more than one guest. Treat business mix as unquantified,https://news.airbnb.com/
Searched but not found,n/a,loyalty_gap,No sourced statistic on the share of hotel bookings driven by loyalty points could be located. The nearest quantified anchor is the Third Bridge Booking.com expert: Genius level 2 and 3 members drive high-50s to low-60s percent of Booking's room nights,n/a
"Zervas, Proserpio and Byers (2017), Journal of Marketing Research, DOI 10.1509/jmr.15.0204",2017,academic_substitution,"A 10% rise in Airbnb listings is associated with roughly a 0.5% fall in quarterly Texas hotel revenue, concentrated in lower-priced, non-business-oriented hotels. Difference-in-differences on the staggered market-by-market rollout",https://people.bu.edu/zg/publications/airbnb.pdf
"Farronato and Fradkin (2022), American Economic Review 112(6) 1782-1817",2022,academic_welfare,"Consumer surplus of about $41 per transaction; the welfare gain is concentrated where and when hotels are capacity-constrained, because peer supply expands elastically into demand spikes and moderates hotel price increases",https://www.aeaweb.org/articles?id=10.1257/aer.20180260
