profile,overlay,line,line_label,year,target_pct,historical_trend_pct,overlay_pct,unit,is_judgement,mgmt_confidence,mgmt_silent,mgmt_statement_ids,source
historical,ai_hosting_and_payments,cor,Cost of revenue,FY2026E,-1.3,-1.3,0.0,% y/y change in cash cost per $ of GBV,False,,,,"no overlay: the fitted 1Q23-2Q26 trend in cash cost per $ of GBV, applied unchanged"
historical,ai_hosting_and_payments,cor,Cost of revenue,FY2027E,-1.3,-1.3,0.0,% y/y change in cash cost per $ of GBV,False,,,,"no overlay: the fitted 1Q23-2Q26 trend in cash cost per $ of GBV, applied unchanged"
historical,ai_hosting_and_payments,cor,Cost of revenue,FY2028E,-1.3,-1.3,0.0,% y/y change in cash cost per $ of GBV,False,,,,"no overlay: the fitted 1Q23-2Q26 trend in cash cost per $ of GBV, applied unchanged"
historical,ai_customer_support,ops,Operations and support,FY2026E,-2.47,-2.47,0.0,% y/y change in cash cost per night,False,,,,"no overlay: the fitted 1Q23-2Q26 trend in cash cost per night, applied unchanged"
historical,ai_customer_support,ops,Operations and support,FY2027E,-2.47,-2.47,0.0,% y/y change in cash cost per night,False,,,,"no overlay: the fitted 1Q23-2Q26 trend in cash cost per night, applied unchanged"
historical,ai_customer_support,ops,Operations and support,FY2028E,-2.47,-2.47,0.0,% y/y change in cash cost per night,False,,,,"no overlay: the fitted 1Q23-2Q26 trend in cash cost per night, applied unchanged"
historical,headcount_productivity_product,pd,Product development,FY2026E,11.27,11.27,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,headcount_productivity_product,pd,Product development,FY2027E,11.27,11.27,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,headcount_productivity_product,pd,Product development,FY2028E,11.27,11.27,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,brand_marketing_ramp,brand,Brand and performance marketing,FY2026E,16.53,16.53,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,brand_marketing_ramp,brand,Brand and performance marketing,FY2027E,16.53,16.53,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,brand_marketing_ramp,brand,Brand and performance marketing,FY2028E,16.53,16.53,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,new_business_field_investment,field,Field operations and policy,FY2026E,24.26,24.26,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,new_business_field_investment,field,Field operations and policy,FY2027E,24.26,24.26,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,new_business_field_investment,field,Field operations and policy,FY2028E,24.26,24.26,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,headcount_productivity_ga,ga,General and administrative,FY2026E,9.63,9.63,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,headcount_productivity_ga,ga,General and administrative,FY2027E,9.63,9.63,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
historical,headcount_productivity_ga,ga,General and administrative,FY2028E,9.63,9.63,0.0,% y/y cash growth,False,,,,"no overlay: the fitted 1Q23-2Q26 mean cash growth, applied unchanged"
management,ai_hosting_and_payments,cor,Cost of revenue,FY2026E,0.0,-1.3,1.3,% y/y change in cash cost per $ of GBV,False,high,no,S146;S111;S065;S162;S167,"31a_mgmt_implied_profile.csv (cor, FY2026): roughly flat as % of revenue; 'will scale somewhat linearly' with revenue, with 'some efficiencies'. Confidence high on 5 statement(s) S146;S111;S065;S162;S167. Numeric target is the 07_margin_levers_fy26_fy28.csv base lever, because part A finds no quantified management figure for this line and year."
management,ai_hosting_and_payments,cor,Cost of revenue,FY2027E,0.0,-1.3,1.3,% y/y change in cash cost per $ of GBV,False,low,no,S146;S162;S167,"31a_mgmt_implied_profile.csv (cor, FY2027): no guide; the linear-scaling framing implies flat % of revenue absent an AI cost step. Confidence low on 3 statement(s) S146;S162;S167. Numeric target is the 07_margin_levers_fy26_fy28.csv base lever, because part A finds no quantified management figure for this line and year. MANAGEMENT IS SILENT for this year: this row is the house lever set, not a management view."
management,ai_hosting_and_payments,cor,Cost of revenue,FY2028E,-0.5,-1.3,0.8,% y/y change in cash cost per $ of GBV,False,none,yes,nan,"31a_mgmt_implied_profile.csv (cor, FY2028): silent. Confidence none on 0 statement(s) nan. Numeric target is the 07_margin_levers_fy26_fy28.csv base lever, because part A finds no quantified management figure for this line and year. MANAGEMENT IS SILENT for this year: this row is the house lever set, not a management view."
management,ai_customer_support,ops,Operations and support,FY2026E,-5.0,-2.47,-2.53,% y/y change in cash cost per night,False,high,no,S146;S151;S152;S160;S141;S145,"31a_mgmt_implied_profile.csv (ops, FY2026): customer-support cost per booking down 10-16% y/y and still falling; the line as a whole scales 'somewhat linearly'. Confidence high on 6 statement(s) S146;S151;S152;S160;S141;S145. Numeric target is the 07_margin_levers_fy26_fy28.csv base lever, because part A finds no quantified management figure for this line and year."
management,ai_customer_support,ops,Operations and support,FY2027E,-5.0,-2.47,-2.53,% y/y change in cash cost per night,False,medium,no,S160;S142,"31a_mgmt_implied_profile.csv (ops, FY2027): further decline in support cost per booking, driven by AI voice; no percentage given. Confidence medium on 2 statement(s) S160;S142. Numeric target is the 07_margin_levers_fy26_fy28.csv base lever, because part A finds no quantified management figure for this line and year."
management,ai_customer_support,ops,Operations and support,FY2028E,-5.0,-2.47,-2.53,% y/y change in cash cost per night,False,none,yes,nan,"31a_mgmt_implied_profile.csv (ops, FY2028): silent. Confidence none on 0 statement(s) nan. Numeric target is the 07_margin_levers_fy26_fy28.csv base lever, because part A finds no quantified management figure for this line and year. MANAGEMENT IS SILENT for this year: this row is the house lever set, not a management view."
management,headcount_productivity_product,pd,Product development,FY2026E,11.0,11.27,-0.27,% y/y cash growth,False,medium,no,S144;S163;S143,"31a_mgmt_implied_profile.csv (pd, FY2026): headcount growth below FY2025's rate; SBC growth also below FY2025's; AI-aided output per head rising. Confidence medium on 3 statement(s) S144;S163;S143. Numeric target is the 07_margin_levers_fy26_fy28.csv base lever, because part A finds no quantified management figure for this line and year."
