month,cpi_lodging_index,cpi_lodging_yoy_pct,bea_hotels_price_index,bea_hotels_price_yoy_pct,str_us_hotel_adr_annual_usd,str_us_hotel_revpar_annual_usd,str_us_hotel_occ_annual_pct,str_confidence,str_source,str_us_hotel_adr_usd,str_us_hotel_revpar_usd,str_us_hotel_occ_pct,str_us_hotel_adr_yoy_reported_pct,str_us_hotel_revpar_yoy_reported_pct,airdna_us_str_adr_usd,airdna_us_str_adr_yoy_pct,airdna_us_str_revpar_usd,airdna_us_str_occ_pct,airdna_us_str_demand_yoy_pct,airdna_us_str_supply_yoy_pct,airdna_source,abnb_1br_usd,abnb_1br_yoy_pct,hotel_adr_usd,hotel_adr_yoy_pct,source
2019-01,163.144,2.9,101.954,2.95,,,,,,,,,,,,,,,,,,,,,,
2019-02,166.128,4.59,104.041,4.86,,,,,,,,,,,,,,,,,,,,,,
2019-03,166.013,2.66,103.932,2.68,,,,,,,,,,,,,,,,,,,,,,
2019-04,167.262,3.64,104.791,3.79,,,,,,,,,,,,,,,,,,,,,,
2019-05,168.78,1.1,105.836,0.92,,,,,,,,,,,,,,,,,,,,,,
2019-06,167.434,3.82,104.859,3.98,,,,,,,,,,,,,,,,,,,,,,
2019-07,167.986,4.49,105.237,4.74,,,,,,,,,,,,,,,,,,,,,,
2019-08,164.913,1.85,103.05,1.81,,,,,,,,,,,,,,,,,,,,,,
2019-09,167.824,5.01,105.069,5.38,,,,,,,,,,,,,,,,,,,,,,
2019-10,164.892,2.63,102.978,2.7,,,,,,,,,,,,,,,,,,,,,,
2019-11,163.699,3.37,102.116,3.54,,,,,,,,,,,,,,,,,,,,,,
2019-12,161.083,-0.22,100.21,-0.56,,,,,,,,,,,,,,,,,,,,,,
2020-01,163.816,0.41,102.044,0.09,,,,,,,,,,,,,,,,,,,,,,
2020-02,168.221,1.26,105.12,1.04,,,,,,,,,,,,,,,,,,,,,,
2020-03,156.238,-5.89,96.664,-6.99,,,,,,,,,,,,,,,,,,,,,,
2020-04,143.351,-14.3,87.572,-16.43,,,,,,,,,,,,,,,,,,,,,,
2020-05,141.462,-16.19,86.216,-18.54,,,,,,,,,,,,,,,,,,,,,,
2020-06,143.221,-14.46,87.438,-16.61,,,,,,,,,,,,,,,,,,,,,,
2020-07,145.373,-13.46,88.933,-15.49,,,,,,,,,,,,,,,,,,,,,,
2020-08,146.431,-11.21,89.704,-12.95,,,,,,,,,,,,,,,,,,,,,,
2020-09,146.741,-12.56,89.86,-14.48,,,,,,,,,,,,,,,,,,,,,,
2020-10,142.605,-13.52,86.917,-15.6,,,,,,,,,,,,,,,,,,,,,,
2020-11,146.204,-10.69,89.428,-12.43,,,,,,,,,,,,,,,,,,,,,,
2020-12,146.014,-9.35,89.276,-10.91,,,,,,,,,,,,,,,,,,,,,,
2021-01,143.846,-12.19,88.474,-13.3,,,,,,,,,,,,,,,,,,,,,,
2021-02,142.382,-15.36,87.017,-17.22,,,,,,,,,,,,,,,,,,,,,,
2021-03,144.887,-7.27,89.209,-7.71,,,,,,,,,,,,,,,,,,,,,,
2021-04,153.572,7.13,94.598,8.02,,,,,,,,,,,,,,,,,,,,,,
2021-05,153.956,8.83,94.827,9.99,,,,,,,,,,,,,,,,,,,,,,
2021-06,165.942,15.86,102.249,16.94,,,,,,,,,,,,,,,,,,,,,,
2021-07,177.521,22.11,110.47,24.22,,,,,,,,,,,,,,,,,,,,,,
2021-08,172.597,17.87,107.306,19.62,,,,,,,,,,,,,,,,,,,,,,
2021-09,172.822,17.77,107.827,19.99,,,,,,,,,,,,,,,,,,,,,,
2021-10,175.355,22.97,109.201,25.64,,,,,,,,,,,,,,,,,,,,,,
2021-11,179.13,22.52,112.174,25.43,,,,,,,,,,,,,,,,,,,,,,
2021-12,180.743,23.78,113.91,27.59,,,,,,,,,,,,,,,,,,,,,,
2022-01,173.159,20.38,109.289,23.53,,,,,,,,,,,,,,,,,,,,,,
2022-02,177.692,24.8,112.343,29.1,,,,,,,,,,,,,,,,,,,,,,
2022-03,181.17,25.04,114.896,28.79,,,,,,,,,,,,,,,,,,,,,,
2022-04,183.74,19.64,115.796,22.41,,,,,,,,,,,,,,,,,,,,,,
2022-05,183.701,19.32,115.883,22.2,,,,,,,,,,,,,,,,,,,,,,
2022-06,182.803,10.16,114.024,11.52,,,,,,,,,,,,,,,,,,,,,,
2022-07,179.781,1.27,111.907,1.3,,,,,,,,,,,,,,,,,,,,,,
2022-08,179.845,4.2,112.253,4.61,,,,,,,,,,,,,,,,,,,,,,
2022-09,177.97,2.98,111.372,3.29,,,,,,,,,,,,,,,,,,,,,,
2022-10,185.562,5.82,116.36,6.56,,,,,,,,,,,,,,,,,,,,,,
2022-11,184.657,3.09,115.849,3.28,,,,,,,,,,,,,,,,,,,,,,
2022-12,185.954,2.88,117.533,3.18,148.83,93.27,62.7,medium-high,CoStar 20-Jan-2023 'US hotel ADR and RevPAR reached record highs' (full-year 2022),,,,,,,,,,,,,,,,,
2023-01,186.204,7.53,118.507,8.43,,,,,,,,,,,,,,,,,,,,,,
2023-02,189.436,6.61,120.693,7.43,,,,,,,,,,,,,,,,,,,,,,
2023-03,194.212,7.2,124.025,7.95,,,,,,,,,,,,,,,,,,,,,,
2023-04,189.646,3.21,119.689,3.36,,,,,,,,,,,,,,,,,,,,,,
2023-05,190.233,3.56,120.174,3.7,,,,,,,,,,,,,,,,,,,,,,
2023-06,191.236,4.61,119.652,4.94,,,,,,,,,,,,,,,,,,,,,,
2023-07,190.851,6.16,119.36,6.66,,,,,,,,,,,,,,,,,,,,,,
2023-08,185.434,3.11,115.673,3.05,,,,,,,,,,,,,,,,,,,,,,
2023-09,191.208,7.44,120.47,8.17,,,,,,,,,,,,,,,,,,120.0,1.0,153.0,10.0,"ABNB 3Q23 shareholder letter, footnote 4 (CoStar, Airbnb)"
2023-10,187.943,1.28,117.458,0.94,,,,,,,,,,,,,,,,,,,,,,
