source_id,print_quarter,publisher,url,published,metric,vendor,value,unit,quote
S001,2020Q4,Yahoo Finance,https://finance.yahoo.com/news/airbnb-reports-q-4-2020-first-earnings-results-ipo-190849653.html,2021-02-25,revenue,unattributed 'Wall Street',739.7,musd,Revenue: $859 million vs. $739.7 million expected
S002,2020Q4,Yahoo Finance,https://finance.yahoo.com/news/airbnb-reports-q-4-2020-first-earnings-results-ipo-190849653.html,2021-02-25,adj_ebitda,unattributed 'Wall Street',-132.8,musd,Adjusted EBIDTA loss: $21 million vs. $132.8 expected
S003,2020Q4,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-abnb-to-report-q4-earnings:-whats-in-the-cards-2021-02-23,2021-02-23,revenue,Zacks,735.1,musd,The Zacks Consensus Estimate for revenues currently stands at $735.1 million.
S004,2020Q4,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-abnb-to-report-q4-earnings:-whats-in-the-cards-2021-02-23,2021-02-23,eps,Zacks,-9.18,usd,the consensus mark for loss has improved by a penny to $9.18 per share over the past 30 days (pre-IPO share count; not comparable)
S005,2020Q4,CNBC,https://www.cnbc.com/2021/02/25/airbnb-abnb-earnings-q4-2020.html,2021-02-25,eps,n/a,,usd,"CNBC does not compare reported earnings to Wall Street estimates for a company's first report as a public company, as uncertain share counts can skew expectations."
S006,2020Q4,CNBC,https://www.cnbc.com/2021/02/25/airbnb-abnb-earnings-q4-2020.html,2021-02-25,positioning,,,,"Airbnb's stock bounced around, up as much as 4% and down as much as 1%, in after-hours trading"
S007,2021Q1,CNBC,https://www.cnbc.com/2021/05/13/airbnb-abnb-earnings-q1-2021.html,2021-05-13,revenue,Refinitiv,714.4,musd,"Revenue: $886.9 million, vs. $714.4 million as expected by analysts, according to Refinitiv."
S008,2021Q1,CNBC,https://www.cnbc.com/2021/05/13/airbnb-abnb-earnings-q1-2021.html,2021-05-13,nights,FactSet,62.5,m,Analysts polled by FactSet had expected 62.5 million nights and experiences booked.
S009,2021Q1,CNBC,https://www.cnbc.com/2021/05/13/airbnb-abnb-earnings-q1-2021.html,2021-05-13,gbv,FactSet,7.87,busd,"Gross booking value ... totaled $10.3 billion, up 52% year over year and above the $7.87 billion FactSet consensus."
S010,2021Q1,Benzinga,https://www.benzinga.com/news/earnings/21/05/21109858/disney-alibaba-coinbase-airbnb-earnings-expected-moves-and-more-ways-to-trade,2021-05-13,positioning,Options AI,,,Benzinga/Options AI expected-move preview covering Airbnb's 13-May-2021 print (article gives the method and Disney's ~4% move; ABNB's own implied move is not stated in the retrievable text).
S011,2021Q2,CNBC,https://www.cnbc.com/2021/08/12/airbnb-abnb-earnings-q2-2021.html,2021-08-12,revenue,Refinitiv,1260.0,musd,Revenue: $1.34 billion vs. $1.26 billion forecast by Refinitiv
S012,2021Q2,CNBC,https://www.cnbc.com/2021/08/12/airbnb-abnb-earnings-q2-2021.html,2021-08-12,nights,StreetAccount,79.2,m,Analysts polled by StreetAccount had expected 79.2 million nights and experiences booked.
