quarter,revenue_musd,nights_m,gbv_musd,adr,take_rate_pct,rev_per_night,adj_ebitda_musd,adj_ebitda_margin_pct,operating_income_musd,gaap_op_margin_pct,sbc_total_musd,sbc_pct_rev,da_musd,other_addbacks_musd,interest_income_musd,tax_provision_musd,fcf_musd,fcf_margin_pct,unearned_fees_change_musd,cor_gaap_musd,cor_cash_musd,cor_sbc_musd,cor_gaap_pct_rev,cor_cash_pct_rev,cor_gaap_per_night,cor_cash_per_night,cor_cash_per_100gbv,ops_gaap_musd,ops_cash_musd,ops_sbc_musd,ops_gaap_pct_rev,ops_cash_pct_rev,ops_gaap_per_night,ops_cash_per_night,ops_cash_per_100gbv,pd_gaap_musd,pd_cash_musd,pd_sbc_musd,pd_gaap_pct_rev,pd_cash_pct_rev,pd_gaap_per_night,pd_cash_per_night,pd_cash_per_100gbv,sm_gaap_musd,sm_cash_musd,sm_sbc_musd,sm_gaap_pct_rev,sm_cash_pct_rev,sm_gaap_per_night,sm_cash_per_night,sm_cash_per_100gbv,ga_gaap_musd,ga_cash_musd,ga_sbc_musd,ga_gaap_pct_rev,ga_cash_pct_rev,ga_gaap_per_night,ga_cash_per_night,ga_cash_per_100gbv,sm_brand_perf_musd,sm_field_ops_musd,sm_brand_perf_pct_rev,sm_field_ops_pct_rev,sm_brand_perf_per_night,sm_field_ops_per_night,sm_brand_perf_per_100gbv,total_cash_cost_musd,total_cash_cost_per_night,interest_income_pct_fcf,revenue_musd_yoy_pct,nights_m_yoy_pct,gbv_musd_yoy_pct,rev_per_night_yoy_pct,adj_ebitda_musd_yoy_pct,sbc_total_musd_yoy_pct,interest_income_musd_yoy_pct,total_cash_cost_per_night_yoy_pct,sm_brand_perf_musd_yoy_pct,sm_field_ops_musd_yoy_pct,sm_brand_perf_per_night_yoy_pct,sm_field_ops_per_night_yoy_pct,cor_gaap_musd_yoy_pct,cor_cash_musd_yoy_pct,cor_cash_per_night_yoy_pct,cor_cash_per_100gbv_yoy_pct,ops_gaap_musd_yoy_pct,ops_cash_musd_yoy_pct,ops_cash_per_night_yoy_pct,ops_cash_per_100gbv_yoy_pct,pd_gaap_musd_yoy_pct,pd_cash_musd_yoy_pct,pd_cash_per_night_yoy_pct,pd_cash_per_100gbv_yoy_pct,sm_gaap_musd_yoy_pct,sm_cash_musd_yoy_pct,sm_cash_per_night_yoy_pct,sm_cash_per_100gbv_yoy_pct,ga_gaap_musd_yoy_pct,ga_cash_musd_yoy_pct,ga_cash_per_night_yoy_pct,ga_cash_per_100gbv_yoy_pct,adj_ebitda_margin_yoy_pts
1Q21,886.9,64.4,10300.0,159.82,8.61,13.77,-59.0,-6.7,-446.9,-50.4,229.5,25.9,38.0,121.0,3.1,-6.3,486.7,54.9,538.3,254.5,254.5,0.0,28.7,28.7,3.95,3.95,2.47,185.4,174.0,11.4,20.9,19.6,2.88,2.7,1.69,363.1,219.4,143.7,40.9,24.7,5.64,3.41,2.13,229.1,203.2,25.9,25.8,22.9,3.56,3.16,1.97,189.8,141.3,48.5,21.4,15.9,2.95,2.19,1.37,,,,,,,,992.4,15.41,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Q21,1335.2,83.1,13400.0,161.45,9.96,16.07,217.0,16.3,-51.3,-3.8,232.9,17.4,36.0,0.0,2.9,-11.2,783.6,58.7,537.7,294.4,294.4,0.0,22.0,22.0,3.54,3.54,2.2,208.1,193.9,14.2,15.6,14.5,2.5,2.33,1.45,349.7,205.9,143.8,26.2,15.4,4.21,2.48,1.54,315.3,291.2,24.1,23.6,21.8,3.79,3.5,2.17,218.3,167.6,50.7,16.3,12.6,2.63,2.02,1.25,,,,,,,,1153.0,13.87,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Q21,2237.4,79.7,11900.0,149.15,18.8,28.07,1101.0,49.2,852.0,38.1,210.8,9.4,33.7,4.8,3.0,-16.6,517.7,23.1,-591.5,311.6,311.6,0.0,13.9,13.9,3.91,3.91,2.62,228.3,217.1,11.2,10.2,9.7,2.86,2.72,1.82,344.4,213.1,131.3,15.4,9.5,4.32,2.67,1.79,290.9,267.2,23.7,13.0,11.9,3.65,3.35,2.25,210.7,166.0,44.7,9.4,7.4,2.64,2.08,1.39,,,,,,,,1175.0,14.74,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Q21,1532.4,73.4,11300.0,153.61,13.56,20.88,333.0,21.7,75.2,4.9,225.9,14.7,30.0,1.8,3.8,-17.7,376.4,24.6,11.3,295.5,295.5,0.0,19.3,19.3,4.03,4.03,2.62,225.1,213.4,11.7,14.7,13.9,3.07,2.91,1.89,367.8,241.5,126.3,24.0,15.8,5.01,3.29,2.14,350.7,324.4,26.3,22.9,21.2,4.78,4.42,2.87,217.2,155.8,61.4,14.2,10.2,2.96,2.12,1.38,,,,,,,,1230.6,16.77,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Q22,1509.0,102.1,17200.0,168.07,8.77,14.78,229.0,15.2,-5.0,-0.3,195.0,12.9,29.0,10.0,4.7,-10.7,1196.0,79.3,844.0,363.0,363.0,0.0,24.1,24.1,3.56,3.56,2.11,232.7,221.0,11.7,15.4,14.6,2.28,2.16,1.28,363.0,245.1,117.9,24.1,16.2,3.56,2.4,1.43,345.0,323.8,21.2,22.9,21.5,3.38,3.17,1.88,210.0,165.9,44.1,13.9,11.0,2.06,1.62,0.96,231,114,15.3,7.6,2.26,1.12,1.34,1318.8,12.92,0.4,70.1,58.5,67.0,7.3,-488.1,-15.0,51.6,-16.2,,,,,42.6,42.6,-9.9,-14.6,25.5,27.0,-20.0,-24.3,-0.0,11.7,-29.6,-32.9,50.6,59.4,0.3,-4.6,10.6,17.4,-26.0,-29.9,21.9
2Q22,2104.0,103.7,17000.0,163.74,12.38,20.29,711.0,33.8,369.0,17.5,247.0,11.7,26.0,70.0,20.3,-4.3,794.7,37.8,233.1,390.0,390.0,0.0,18.5,18.5,3.76,3.76,2.29,258.0,241.1,16.9,12.3,11.5,2.49,2.32,1.42,375.0,230.1,144.9,17.8,10.9,3.62,2.22,1.35,379.0,349.9,29.1,18.0,16.6,3.65,3.37,2.06,244.0,187.8,56.2,11.6,8.9,2.35,1.81,1.1,282,97,13.4,4.6,2.72,0.94,1.66,1398.9,13.49,2.6,57.6,24.8,26.9,26.3,227.6,6.1,600.0,-2.7,,,,,32.5,32.5,6.2,4.1,24.0,24.3,-0.4,-2.1,7.2,11.8,-10.5,-12.3,20.2,20.2,-3.7,-5.1,11.8,12.1,-10.4,-12.0,17.5
3Q22,2884.0,99.7,15600.0,156.44,18.49,28.93,1457.0,50.5,1203.0,41.7,234.0,8.1,13.0,5.0,58.4,-55.6,960.0,33.3,-760.6,401.0,401.0,0.0,13.9,13.9,4.02,4.02,2.57,290.0,272.1,17.9,10.1,9.4,2.91,2.73,1.74,366.0,230.1,135.9,12.7,8.0,3.67,2.31,1.48,384.0,356.6,27.4,13.3,12.4,3.85,3.58,2.29,240.0,186.9,53.1,8.3,6.5,2.41,1.87,1.2,259,124,9.0,4.3,2.6,1.24,1.66,1446.7,14.51,6.1,28.9,25.1,31.1,3.1,32.3,11.0,1846.7,-1.6,,,,,28.7,28.7,2.8,-1.9,27.0,25.3,0.4,-4.4,6.3,8.0,-13.5,-17.3,32.0,33.5,6.9,1.8,13.9,12.6,-10.1,-13.7,1.3
4Q22,1902.0,88.2,13500.0,152.81,14.09,21.56,506.0,26.6,235.0,12.4,254.0,13.4,13.0,5.0,103.0,-25.0,455.0,23.9,-38.3,345.0,345.0,0.0,18.1,18.1,3.91,3.91,2.56,260.0,243.0,17.0,13.7,12.8,2.95,2.76,1.8,398.0,249.0,149.0,20.9,13.1,4.51,2.82,1.84,408.0,372.0,36.0,21.5,19.6,4.63,4.22,2.76,256.0,204.0,52.0,13.5,10.7,2.9,2.31,1.51,258,151,13.6,7.9,2.93,1.71,1.91,1413.0,16.02,22.6,24.1,20.2,19.5,3.3,52.0,12.4,2610.5,-4.5,,,,,16.8,16.8,-3.0,-2.3,15.5,13.9,-5.2,-4.8,8.2,3.1,-14.3,-14.0,16.3,14.7,-4.5,-3.8,17.9,30.9,9.0,9.4,4.9
1Q23,1818.0,121.1,20400.0,168.43,8.91,15.01,262.0,14.4,-5.0,-0.3,240.0,13.2,11.0,16.0,146.0,-13.0,1581.0,87.0,990.0,428.0,428.0,0.0,23.5,23.5,3.53,3.53,2.1,282.0,267.0,15.0,15.5,14.7,2.33,2.2,1.31,420.0,271.0,149.0,23.1,14.9,3.47,2.24,1.33,450.0,422.0,28.0,24.8,23.2,3.72,3.48,2.07,243.0,195.0,48.0,13.4,10.7,2.01,1.61,0.96,307,143,16.9,7.9,2.54,1.18,1.5,1583.0,13.07,9.2,20.5,18.6,18.6,1.6,14.4,23.1,3006.4,1.2,32.9,25.4,12.4,5.4,17.9,17.9,-0.8,-0.5,21.2,20.8,1.9,2.3,15.7,10.6,-6.7,-7.0,30.4,30.3,9.8,10.1,15.7,17.5,-0.6,0.0,-0.8
2Q23,2484.0,115.1,19100.0,166.01,13.01,21.58,819.0,33.0,523.0,21.1,304.0,12.2,9.0,-17.0,191.0,-26.0,900.0,36.2,175.0,432.0,432.0,0.0,17.4,17.4,3.75,3.75,2.26,317.0,298.0,19.0,12.8,12.0,2.75,2.59,1.56,451.0,260.0,191.0,18.2,10.5,3.92,2.26,1.36,486.0,450.0,36.0,19.6,18.1,4.22,3.91,2.36,275.0,217.0,58.0,11.1,8.7,2.39,1.89,1.14,361,125,14.5,5.0,3.14,1.09,1.89,1657.0,14.4,21.2,18.1,11.0,12.4,6.4,15.2,23.1,840.9,6.7,28.0,28.9,15.4,16.0,10.8,10.8,-0.3,-1.3,22.9,23.6,11.6,9.9,20.3,13.0,1.8,0.7,28.2,28.6,16.0,14.6,12.7,15.5,4.4,3.6,-0.8
