,value_2026Q3_to_date
bl_unearned_yoy_lag1,-0.91
bl_funds_yoy_lag1,10.455
eu_platform_yoy_lag1,
pr_hotel_revpar_yoy,
mx_usd_yoy,-0.38654575326364515
mx_eurusd_yoy,-1.5565517418785535
mx_air_rpm_yoy_lag1,
mx_claims_yoy,-10.415263748597091
mx_cpi_lodging_yoy,1.1757237176231783
mx_bea_hotels_nominal_yoy,6.138826894035576
mx_bea_hotels_price_yoy,1.1899252796486515
ia_reviews_ltm_matched_yoy,9.00829412987209
ia_listings_yoy,-1.8941429339065001
ia_lfl_price_yoy,
cc_survival_yoy_pts,0.06406690992541542
tr_us_share_yoy_pts,-0.684262826237314
tr_ww_airbnb_yoy,-6.794642857142863
px_fx_contribution_fitted,0.8011485164484586
