quarter,reaction_date,k,cum_excess_pct
2020Q4,2021-02-26,-21,0.0
2020Q4,2021-02-26,-20,-7.488577093664106
2020Q4,2021-02-26,-19,-7.230705496529754
2020Q4,2021-02-26,-18,-11.276400578000766
2020Q4,2021-02-26,-17,-13.554163259076514
2020Q4,2021-02-26,-16,-9.892524971405003
2020Q4,2021-02-26,-15,-6.092255025512272
2020Q4,2021-02-26,-14,-6.686319342615299
2020Q4,2021-02-26,-13,-4.837248251197057
2020Q4,2021-02-26,-12,-5.088584086256831
2020Q4,2021-02-26,-11,1.0027274341184
2020Q4,2021-02-26,-10,3.003744964011701
2020Q4,2021-02-26,-9,0.3512223677102133
2020Q4,2021-02-26,-8,-0.7651404036940201
2020Q4,2021-02-26,-7,-4.186521568653867
2020Q4,2021-02-26,-6,-5.677311747216729
2020Q4,2021-02-26,-5,-3.7177900251339713
2020Q4,2021-02-26,-4,-3.8789793745347523
2020Q4,2021-02-26,-3,-7.429348665214142
2020Q4,2021-02-26,-2,-1.99312054685159
2020Q4,2021-02-26,-1,-7.469235378142358
2020Q4,2021-02-26,0,4.190213352326866
2020Q4,2021-02-26,1,-3.7022968851454063
2020Q4,2021-02-26,2,-5.317297747891858
2020Q4,2021-02-26,3,-7.1451524871255945
2020Q4,2021-02-26,4,-5.645584771392753
2020Q4,2021-02-26,5,-7.28805516377986
2020Q4,2021-02-26,6,-4.055024456641233
2020Q4,2021-02-26,7,-6.615665025694306
2020Q4,2021-02-26,8,-5.999170531003385
2020Q4,2021-02-26,9,-1.2443586157603548
2020Q4,2021-02-26,10,3.970749100936888
2020Q4,2021-02-26,11,4.53066417242769
2020Q4,2021-02-26,12,-0.9761448775876147
2020Q4,2021-02-26,13,-0.7186228313583065
2020Q4,2021-02-26,14,-2.5560917444875315
2020Q4,2021-02-26,15,-1.4395997386582815
2020Q4,2021-02-26,16,-2.9748882691496448
2020Q4,2021-02-26,17,-6.444751794852488
2020Q4,2021-02-26,18,-8.887033250662114
2020Q4,2021-02-26,19,-10.054400666597186
2020Q4,2021-02-26,20,-12.392749638974465
2020Q4,2021-02-26,21,-8.339707995305133
2020Q4,2021-02-26,22,-7.543177797901123
2020Q4,2021-02-26,23,-6.645903509579398
2020Q4,2021-02-26,24,-8.202037648267035
2020Q4,2021-02-26,25,-11.003404865639466
2020Q4,2021-02-26,26,-9.271668432462354
2020Q4,2021-02-26,27,-14.536130432549221
2020Q4,2021-02-26,28,-15.501422566828772
2020Q4,2021-02-26,29,-16.475617020388434
2020Q4,2021-02-26,30,-17.83335649094088
2020Q4,2021-02-26,31,-18.339759901488005
2020Q4,2021-02-26,32,-17.81298480603757
2020Q4,2021-02-26,33,-19.94825403459506
2020Q4,2021-02-26,34,-18.41402540730931
2020Q4,2021-02-26,35,-19.475157250990073
2020Q4,2021-02-26,36,-21.19034695069533
2020Q4,2021-02-26,37,-23.335337219953047
2020Q4,2021-02-26,38,-20.244619305144205
2020Q4,2021-02-26,39,-19.808378617146328
2020Q4,2021-02-26,40,-20.18803524003223
2020Q4,2021-02-26,41,-18.203647221961972
2020Q4,2021-02-26,42,-16.819596225330326
2020Q4,2021-02-26,43,-18.35479585895189
2020Q4,2021-02-26,44,-20.125355470587902
2020Q4,2021-02-26,45,-21.84687260548487
2020Q4,2021-02-26,46,-19.557921258682107
2020Q4,2021-02-26,47,-22.47458302126827
2020Q4,2021-02-26,48,-27.569950986134728
2020Q4,2021-02-26,49,-29.62059588008712
2020Q4,2021-02-26,50,-29.20118412616539
2020Q4,2021-02-26,51,-31.047680142291554
2020Q4,2021-02-26,52,-29.640688065339358
2020Q4,2021-02-26,53,-32.64469103545598
2020Q4,2021-02-26,54,-32.146453347171146
2020Q4,2021-02-26,55,-35.84877904462641
2020Q4,2021-02-26,56,-33.91017819912359
2020Q4,2021-02-26,57,-32.45097953257506
2020Q4,2021-02-26,58,-35.39573460199188
2020Q4,2021-02-26,59,-35.56563695329457
2020Q4,2021-02-26,60,-36.69335329317937
2021Q1,2021-05-14,-21,0.0
2021Q1,2021-05-14,-20,1.7876529792679952
2021Q1,2021-05-14,-19,0.36001529749573047
2021Q1,2021-05-14,-18,-1.7740599701613347
2021Q1,2021-05-14,-17,-4.042855508507692
2021Q1,2021-05-14,-16,-0.7697360423871258
2021Q1,2021-05-14,-15,0.013762467347067098
2021Q1,2021-05-14,-14,-0.2738636256794047
2021Q1,2021-05-14,-13,1.9044421491622665
2021Q1,2021-05-14,-12,3.4158556344314084
2021Q1,2021-05-14,-11,1.7356626389894325
2021Q1,2021-05-14,-10,-0.4458725038022249
2021Q1,2021-05-14,-9,-2.542297712929698
2021Q1,2021-05-14,-8,-0.3207317350999994
2021Q1,2021-05-14,-7,-3.7425903843844583
2021Q1,2021-05-14,-6,-9.424359688996276
2021Q1,2021-05-14,-5,-11.597609837966317
2021Q1,2021-05-14,-4,-11.681888267575557
2021Q1,2021-05-14,-3,-13.831285158576001
2021Q1,2021-05-14,-2,-12.780785666854655
2021Q1,2021-05-14,-1,-16.06429076970751
2021Q1,2021-05-14,0,-15.019971573183001
2021Q1,2021-05-14,1,-19.401851368681786
2021Q1,2021-05-14,2,-17.32367655612913
2021Q1,2021-05-14,3,-15.624154638652797
2021Q1,2021-05-14,4,-18.58566124242451
2021Q1,2021-05-14,5,-18.902632319638194
2021Q1,2021-05-14,6,-19.828307963562498
2021Q1,2021-05-14,7,-21.05791504032564
