topic,item,value,unit,source,finding
4Q23 ex-SBC identity gap,Reported identity gap,-36.0,$M,"data/processed/abnb_quarterly_cost_stack_exsbc.csv, column identity_gap",Adj. EBITDA implied by the cash stack ($702M) less the letter's reported Adj. EBITDA ($738M).
4Q23 ex-SBC identity gap,"GAAP cost and expense lines, 4Q23",2714.0,$M,"data/processed/abnb_quarterly_costlines.csv (XBRL, Q4 = FY less 9M)","Revenue $2218M less these lines = GAAP operating income $-496M, which ties to the letter."
4Q23 ex-SBC identity gap,SBC by function subtracted from the cash lines,254.0,$M,"abnb_exsbc_stack.py, letter SBC-by-function footnote parse (column pick)","WRONG COLUMN. $254M is the three months ended 31 Dec 2022 column of the 4Q23 letter's footnote; the 31 Dec 2023 column is $290M (ops 17, product development 179, sales and marketing 33, G&A 61)."
4Q23 ex-SBC identity gap,"SBC in the letter's Adjusted EBITDA reconciliation, 4Q23",290.0,$M,"data/raw/letters/4Q23_d646462dex991.htm, Adjusted EBITDA Reconciliation and SBC footnote",Both the recon line and the footnote total for the quarter are $290M.
4Q23 ex-SBC identity gap,"SBC used as the parser's target (XBRL, FY less 9M)",270.0,$M,"data/processed/abnb_quarterly_costlines.csv, stock_based_comp_total_musd","$270M, itself $20M below the letter's $290M because the Q4 XBRL value is derived as FY less 9M. Because $254M is nearer $270M than $290M is, the nearest-column rule picked the prior-year column."
4Q23 ex-SBC identity gap,Gap fully explained,-36.0,$M,derived,"254 - 290 = -36, exactly the identity gap. Re-running the stack with the 31 Dec 2023 footnote column closes it to zero: revenue 2,218 - (2,714 - 290) + D&A 16 + add-backs 928 = 738 = reported Adj. EBITDA. No economics are involved; it is a column-selection defect."
4Q23 ex-SBC identity gap,Effect on the 4Q23 cash cost lines,,$M,derived,"product development cash overstated by $29M, G&A by $9M, operations and support by $1M; sales and marketing understated by $3M. 4Q23 only. Every other quarter's gap is within +/-$1.7M and 1Q23-2Q26 are exactly zero, so no other quarter is affected."
4Q23 ex-SBC identity gap,Fix owner,,,"analysis/src/abnb_exsbc_stack.py, the nearest-column pick around line 176","NOT FIXED BY WS25 (documentation-only workstream). The pick should prefer the column whose header year matches the quarter, and fall back to nearest only when the header cannot be read."
20-vs-22-quarter history,Quarters in this tree's ex-SBC stack,22,quarters,data/processed/abnb_quarterly_cost_stack_exsbc.csv,"22 quarters, 1Q21-2Q26."
20-vs-22-quarter history,Quarters in the main tree's ex-SBC stack,20,quarters,"C:/Users/krish/citadel-abnb/data/processed/abnb_quarterly_cost_stack_exsbc.csv (read-only check, 7 Sep 2026)","20 quarters, 3Q21-2Q26. It is a pre-merge build that predates the SBC_FALLBACK table in abnb_exsbc_stack.py, which supplies 1Q21 and 2Q21 SBC by function from 10-Q accessions 0001628280-21-010389 and 0001628280-21-016979."
20-vs-22-quarter history,Quarters in the margin and capital-return panels,22,quarters,"abnb_capital_return_quarterly.csv, abnb_quarterly_kpis_from_study.csv, abnb_driver_history_quarterly.csv","All 22, 1Q21-2Q26, and all agree with this tree's ex-SBC stack."
20-vs-22-quarter history,Resolution,,,derived,"There is no live mismatch in this tree. The mismatch the audit saw is between the main tree's stale 20-quarter artifact and the merged 22-quarter history. Consolidate on this tree's file; do not re-derive 1Q21/2Q21 from the letters, which do not carry an SBC-by-function footnote for them."
