month,cdn_residents_returning_from_us,cdn_residents_returning_from_us_air,cdn_residents_returning_from_us_land,cdn_residents_returning_from_other,us_residents_entering_canada,cdn_residents_returning_from_us_yoy_pct,cdn_residents_returning_from_us_air_yoy_pct,cdn_residents_returning_from_us_land_yoy_pct,cdn_residents_returning_from_other_yoy_pct,us_residents_entering_canada_yoy_pct,source
2016-07-01,4193491.0,538517.0,3623153.0,867488.0,3585256.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2016-08-01,4568718.0,633462.0,3901299.0,1080332.0,3112184.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2016-09-01,3523793.0,558566.0,2931599.0,875623.0,2343198.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2016-10-01,3418760.0,639823.0,2766331.0,844616.0,1785403.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2016-11-01,3075251.0,662266.0,2412593.0,809040.0,1375198.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2016-12-01,3005257.0,641787.0,2363368.0,951494.0,1592262.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-01-01,3050181.0,783361.0,2266722.0,1360836.0,1164610.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-02-01,2715331.0,740680.0,1974461.0,1163494.0,1170713.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-03-01,3486332.0,934527.0,2551574.0,1414398.0,1344621.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-04-01,3610389.0,846231.0,2755395.0,1195748.0,1613774.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-05-01,3368380.0,668912.0,2672385.0,951933.0,2023086.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-06-01,3260986.0,607941.0,2636767.0,796986.0,2912046.0,,,,,,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-07-01,4250935.0,643064.0,3580887.0,875761.0,3558512.0,1.37,19.41,-1.17,0.95,-0.75,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-08-01,4720186.0,701956.0,3987240.0,1082928.0,3249568.0,3.32,10.81,2.2,0.24,4.41,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-09-01,3699710.0,648057.0,3018741.0,879533.0,2396044.0,4.99,16.02,2.97,0.45,2.26,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-10-01,3576607.0,737245.0,2826438.0,801129.0,1825062.0,4.62,15.23,2.17,-5.15,2.22,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-11-01,3342409.0,791885.0,2550252.0,804064.0,1422079.0,8.69,19.57,5.71,-0.62,3.41,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2017-12-01,3313254.0,746789.0,2566431.0,910002.0,1614905.0,10.25,16.36,8.59,-4.36,1.42,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-01-01,3206391.0,872392.0,2333912.0,1272965.0,1146690.0,5.12,11.37,2.96,-6.46,-1.54,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-02-01,2984793.0,852060.0,2132580.0,1108663.0,1186593.0,9.92,15.04,8.01,-4.71,1.36,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-03-01,4066474.0,1039645.0,3026524.0,1387678.0,1495019.0,16.64,11.25,18.61,-1.89,11.19,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-04-01,3893105.0,956969.0,2929605.0,1189782.0,1437650.0,7.83,13.09,6.32,-0.5,-10.91,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-05-01,3929861.0,774033.0,3127170.0,921126.0,2015515.0,16.67,15.72,17.02,-3.24,-0.37,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
