scheme,dropped,n,mean_pct,t_stat,p_value
full,-,23,-3.7499714889297477,-2.1642491319297728,0.04157025530733641
leave-one-year-out,2021,19,-3.342895534319263,-1.7381246716558396,0.0992658189548584
leave-one-year-out,2022,19,-3.0248436867916326,-1.666772810777388,0.11286476145464054
leave-one-year-out,2023,19,-3.369317544535653,-1.7935360279280868,0.08970551386546842
leave-one-year-out,2024,19,-4.746495179013975,-2.5018219595615463,0.022223686281189044
leave-one-year-out,2025,19,-3.5460197991506495,-1.7837157175598803,0.09133893100364132
leave-one-year-out,2026,20,-4.434242904725435,-2.335619053828386,0.030626824304220743
leave-one-print-out,drop_min,22,-3.1666536933674037,-1.8545823490566307,0.07775259234794216
leave-one-print-out,drop_max,22,-4.468765622032037,-2.7084590542155738,0.013160601309065382
leave-one-print-out,drop_both_tails,21,-3.8918990806382605,-2.4005596502614117,0.026217965612698728
