scope,metric,guide_type,n,hit_or_met,beat,miss,mean_distance_from_mid,median_distance_from_mid,mean_pct_distance
metric_x_type,adj_ebitda_margin_pct,ceiling,1,0,0,1,1.5,1.5,
metric_x_type,adj_ebitda_margin_pct,directional,1,1,0,0,11.9,11.9,
metric_x_type,adj_ebitda_margin_pct,floor,7,7,0,0,1.51,1.4,
metric_x_type,adj_ebitda_margin_pct,point,2,1,1,0,0.5,0.5,1.41
metric_x_type,adj_ebitda_margin_yoy_pts,ceiling,10,9,0,1,-1.37,-1.45,
metric_x_type,adj_ebitda_margin_yoy_pts,directional,1,1,0,0,12.2,12.2,
metric_x_type,adj_ebitda_margin_yoy_pts,floor,8,8,0,0,5.33,6.05,
metric_x_type,adj_ebitda_margin_yoy_pts,point,5,0,5,0,2.86,2.27,51.47
metric_x_type,adj_ebitda_usd_m,directional,1,1,0,0,229.0,229.0,
metric_x_type,adj_ebitda_usd_m,floor,1,1,0,0,51.0,51.0,
metric_x_type,adr_usd_seq,directional,1,1,0,0,4.46,4.46,
metric_x_type,adr_yoy_pct,ceiling,1,1,0,0,-0.89,-0.89,
metric_x_type,adr_yoy_pct,directional,5,3,0,2,-0.33,0.21,
metric_x_type,adr_yoy_pct,floor,8,8,0,0,3.05,3.1,
metric_x_type,adr_yoy_pct,point,3,0,3,0,1.83,1.42,29.0
metric_x_type,fcf_margin_minus_ebitda_margin_pts,floor,2,2,0,0,1.99,1.99,
metric_x_type,gbv_usd_b,directional,4,4,0,0,3.25,4.55,
metric_x_type,gbv_yoy_pct,bucket,3,0,3,0,5.28,4.91,45.09
metric_x_type,gbv_yoy_pct,directional,1,1,0,0,4.19,4.19,
metric_x_type,nights_m,directional,4,3,0,0,4.33,-2.6,
metric_x_type,nights_yoy_pct,bucket,2,0,2,0,2.99,2.99,55.39
metric_x_type,nights_yoy_pct,directional,14,13,0,1,-0.24,-0.47,
metric_x_type,revenue_usd_m,directional,2,2,0,0,411.5,411.5,
metric_x_type,revenue_usd_m,range,19,4,15,0,57.21,62.0,2.54
metric_x_type,revenue_yoy_exfx_pct,directional,1,1,0,0,-2.0,-2.0,
metric_x_type,revenue_yoy_exfx_pct,range,3,1,2,0,2.83,3.5,12.1
metric_x_type,revenue_yoy_pct,directional,3,2,0,1,10.7,10.7,
metric_x_type,revenue_yoy_pct,range,16,6,10,0,2.66,2.75,21.88
metric_x_type,sbc_yoy_pct,point,3,0,1,2,4.97,5.82,22.92
metric_x_type,sm_growth_minus_rev_growth_pts,floor,2,2,0,0,12.8,12.8,
metric_x_type,sm_pct_rev_yoy_bps,point,5,0,4,1,-115.31,-174.66,-16.66
metric_x_type,take_rate_pct_seq,directional,5,5,0,0,-0.4,-4.4,
metric_x_type,take_rate_yoy_pts,ceiling,1,1,0,0,-0.22,-0.22,
metric_x_type,take_rate_yoy_pts,floor,8,7,0,1,0.2,0.15,
metric_x_type,take_rate_yoy_pts,point,3,2,0,1,-0.34,-0.47,
metric_x_type,tax_rate_pct,ceiling,1,1,0,0,-0.05,-0.05,
metric_x_type,tax_rate_pct,point,1,0,0,1,0.5,0.5,2.51
metric_x_type,tax_rate_pct,range,1,0,1,0,3.5,3.5,20.6
type,ALL,bucket,5,0,5,0,4.36,4.82,49.21
type,ALL,ceiling,14,12,0,2,-0.95,-0.84,
type,ALL,directional,43,38,0,4,28.09,0.86,
type,ALL,floor,36,35,0,1,4.44,1.99,
type,ALL,point,22,3,14,5,-24.61,0.84,12.12
type,ALL,range,39,11,28,0,29.27,5.0,11.67
year,ALL,2020,1,1,0,0,27.0,27.0,
year,ALL,2021,21,16,5,0,52.42,5.39,13.4
year,ALL,2022,31,18,9,3,1.91,3.0,10.88
year,ALL,2023,32,20,11,1,3.16,2.27,10.53
year,ALL,2024,36,25,7,4,5.75,1.0,13.46
year,ALL,2025,31,16,12,3,11.71,1.39,24.22
year,ALL,2026,7,3,3,1,6.38,1.3,19.16
revenue_range_by_year,revenue_usd_m,2021,2,0,2,0,80.5,80.5,5.6
revenue_range_by_year,revenue_usd_m,2022,4,2,2,0,43.25,43.5,2.07
revenue_range_by_year,revenue_usd_m,2023,4,1,3,0,72.75,76.0,3.14
revenue_range_by_year,revenue_usd_m,2024,4,0,4,0,39.25,35.0,1.48
revenue_range_by_year,revenue_usd_m,2025,4,1,3,0,66.75,72.0,2.32
revenue_range_by_year,revenue_usd_m,2026,1,0,1,0,38.0,38.0,1.06
