city,dump_date,price_basis,listings_priced,median_price,median_price_entire,median_price_per_bedroom_entire,median_price_per_person_entire,median_price_1br_entire,median_accommodates_entire,mean_accommodates_entire,mean_bedrooms_entire,share_entire,share_bedrooms_ge4_entire,share_accommodates_ge6,share_superhost,share_instant_book,median_min_nights,mean_est_nights_booked_l365d
austin,2024-06-17,listed_nightly,10930,145.0,158.0,89.0,36.667,109.0,5.0,5.691,2.261,0.856,0.172,0.392,0.518,0.358,2.0,
austin,2024-09-13,listed_nightly,10965,144.0,153.0,85.0,35.0,108.0,5.0,5.712,2.258,0.861,0.173,0.396,0.501,0.382,2.0,
austin,2024-12-14,listed_nightly,11152,133.0,145.5,79.667,33.0,100.0,5.0,5.739,2.271,0.854,0.174,0.396,0.488,0.386,2.0,
austin,2025-03-06,listed_nightly,10813,188.0,204.0,110.0,44.333,142.0,5.0,5.757,2.279,0.854,0.175,0.402,0.489,0.403,2.0,83.708
austin,2025-06-13,listed_nightly,10458,137.0,149.0,82.0,33.75,101.0,5.0,5.752,2.274,0.863,0.176,0.398,0.494,0.399,2.0,84.75
austin,2025-09-16,listed_nightly,10266,135.0,144.0,79.333,32.5,100.0,5.0,5.757,2.258,0.874,0.173,0.402,0.497,0.409,2.0,83.602
austin,2026-03-25,quote_per_night,7809,265.0,275.37,145.5,56.0,183.16,6.0,6.237,2.401,0.875,0.212,0.453,0.552,0.0,1.0,82.746
austin,2026-04-23,quote_per_night,7974,252.9,263.0,142.75,54.25,182.0,5.0,6.197,2.374,0.881,0.21,0.442,0.565,0.0,1.0,83.056
austin,2026-05-25,quote_per_night,8225,247.35,259.5,136.5,52.686,171.5,5.0,6.224,2.446,0.86,0.212,0.436,0.554,0.0,1.0,81.287
austin,2026-06-22,quote_per_night,10111,217.0,232.0,123.75,49.333,160.0,5.0,5.93,2.386,0.833,0.193,0.397,0.52,0.0,2.0,80.172
austin,2026-07-18,quote_per_night,9920,219.7,235.0,126.0,49.667,164.0,5.0,5.902,2.372,0.836,0.19,0.397,0.515,0.0,2.0,80.718
austin,2026-08-25,quote_per_night,9756,227.95,246.55,128.5,51.2,167.9,5.0,5.901,2.369,0.839,0.19,0.398,0.517,0.0,2.0,81.165
barcelona,2025-09-14,listed_nightly,15002,130.0,168.0,84.9,41.0,124.0,4.0,4.382,2.124,0.69,0.09,0.174,0.238,0.44,3.0,95.217
barcelona,2026-03-21,quote_per_night,12474,176.92,211.25,104.665,50.52,148.5,4.0,4.446,2.193,0.764,0.099,0.196,0.284,0.0,2.0,96.381
barcelona,2026-04-20,quote_per_night,6959,276.8,293.0,142.65,68.832,238.835,4.0,4.928,2.374,0.862,0.129,0.281,0.337,0.0,1.0,122.724
