metric,min,max,count,stopped_before_2Q26
active_listings_ex_china_yoy_pct,4Q22,4Q22,1,True
active_listings_m,4Q21,4Q25,10,True
active_listings_yoy_ex_removals_pct,1Q24,1Q24,1,True
active_listings_yoy_pct,3Q22,1Q24,7,True
adj_ebitda_musd,3Q20,2Q26,24,False
adr_usd,3Q20,2Q26,24,False
adr_yoy_apac_pct,1Q25,2Q26,6,False
adr_yoy_emea_exfx_pct,3Q23,4Q23,2,True
adr_yoy_emea_pct,2Q23,2Q26,11,False
adr_yoy_exfx_pct,2Q22,2Q26,17,False
adr_yoy_latam_pct,1Q25,2Q26,6,False
adr_yoy_na_pct,2Q23,2Q26,13,False
app_nights_yoy_pct,1Q24,2Q26,10,False
app_share_of_nights_pct,3Q22,2Q26,16,False
basic_wa_shares_m,1Q21,2Q26,22,False
bedroom_nights_yoy_pct,2Q26,2Q26,1,False
buyback_authorization_announced_busd,2Q22,2Q25,4,True
buybacks_musd,4Q21,2Q26,19,False
capex_musd,1Q21,2Q26,22,False
capex_musd_xbrl,4Q20,1Q23,6,True
cash_and_equivalents_musd,4Q20,2Q26,23,False
cash_investments_restricted_letter_busd,4Q25,4Q25,1,True
cfo_musd,1Q21,2Q26,22,False
cfo_musd_xbrl,4Q20,1Q26,12,True
cost_of_revenue_musd,3Q20,2Q26,24,False
cross_border_nights_yoy_pct,3Q22,1Q24,7,True
cross_border_share_pct,1Q21,1Q24,13,True
cross_currency_share_of_gbv_pct,1Q25,1Q25,1,True
diluted_wa_shares_m,1Q21,2Q26,22,False
diluted_wa_shares_m_xbrl,3Q20,2Q26,24,False
experiences_supply_yoy_pct,2Q26,2Q26,1,False
fcf_musd,1Q21,2Q26,22,False
first_time_bookers_yoy_pct,4Q25,2Q26,3,False
fully_diluted_shares_letter_m,4Q21,3Q23,8,True
funds_held_for_clients_musd,4Q20,2Q26,23,False
funds_held_letter_busd,4Q25,4Q25,1,True
g_and_a_musd,3Q20,2Q26,24,False
gbv_busd,3Q20,2Q26,24,False
gbv_yoy_exfx_pct,2Q21,2Q26,20,False
gbv_yoy_reported_pct,2Q21,2Q26,20,False
guest_arrivals_cumulative_b,4Q20,1Q26,7,True
guest_arrivals_in_quarter_m,3Q22,3Q22,1,True
income_tax_musd,3Q20,2Q26,24,False
long_term_debt_musd,4Q20,2Q26,23,False
long_term_stays_share_pct,1Q21,1Q24,12,True
na_share_of_nights_pct,1Q25,1Q25,1,True
net_income_musd,3Q20,2Q26,24,False
nights_ex_china_yoy_pct,4Q22,4Q22,1,True
nights_m,3Q20,2Q26,24,False
nights_yoy_apac_pct,3Q22,2Q26,16,False
nights_yoy_emea_pct,3Q22,2Q26,9,False
nights_yoy_ex_na_pct,1Q25,1Q25,1,True
nights_yoy_latam_pct,3Q22,2Q26,14,False
nights_yoy_na_pct,3Q22,2Q26,8,False
non_urban_nights_yoy_pct,1Q24,1Q24,1,True
operating_income_musd,3Q20,2Q26,24,False
ops_support_musd,3Q20,2Q26,24,False
product_dev_musd,3Q20,2Q26,24,False
removed_listings_cum_k,3Q24,3Q25,3,True
restricted_cash_musd,4Q20,2Q26,23,False
restructuring_musd,3Q20,4Q23,13,True
revenue_musd,3Q20,2Q26,24,False
revenue_musd_xbrl,3Q20,2Q26,24,False
revenue_yoy_exfx_pct,1Q21,2Q26,21,False
revenue_yoy_reported_pct,1Q21,2Q26,22,False
rsu_tax_withholding_musd,1Q21,2Q26,22,False
sales_marketing_musd,3Q20,2Q26,24,False
sbc_musd,1Q21,2Q26,22,False
short_term_investments_musd,4Q20,2Q26,23,False
single_fee_pct,4Q25,4Q25,1,True
travel_insurance_revenue_yoy_pct,4Q25,1Q26,2,True
unearned_fees_musd,4Q20,2Q26,23,False
urban_nights_yoy_pct,1Q22,4Q23,7,True
urban_share_pct,1Q21,4Q23,12,True
