id,parameter,ws_a,value_a,ws_b,value_b,recommended,reason
CONF-01,"FY27 revenue growth, base case",05,+10.3% (probability-weighted 30/50/20),10,+12.4%,12.3-12.4% as the base; carry 10.3% as the macro-adverse case,"WS10 is a bottom-up regional build that reconciles to reported nights within 1.1pp and brackets the top-down (bear 4.9 / bull 16.9). WS12's valuation grid already runs on 12.27%, and the Street is +11.4% (15.73-15.76 on 14.10-14.16). WS05's 10.3% is driven by its FX schedule, which WS10 also carries, so it is the same case with a lower nights assumption rather than an independent estimate. WS07's $15.8bn (+11.3%) sits between. Pick 12.3%; do not average four numbers."
CONF-02,"FY27 Adjusted EBITDA margin, base",05,36.4-36.5%,07,36.6%,36.6% (WS07),"WS05's own method text says 'FY27 margin = model base 36.5' - it imports the anchor from the pre-existing margin-drivers note and applies sensitivities. WS07 rebuilt it lever by lever off the cost-per-night panel. The gap is immaterial, but WS05 is not independent corroboration of WS07 and must not be cited as such."
CONF-03,"FY26 revenue, base",07,$14.2bn,10,"$14,234m","$14.2bn, labelled as an above-Street stance","Street is $14.10bn (Zacks, 8 estimates) / $14.16bn (S&P Global). The two internal builds agree to 0.2% but sit 0.5-1.0% above consensus. That is a deliberate view and should be presented as one, not hidden."
CONF-04,3Q26 revenue expectation,02,"$4,815m (+17.6%), guide-cushion method",10,"$4,775m (+16.6%), bottom-up regional","$4,775-4,815m; put a $4.78-4.82bn range on the 5 Nov card, not a point","Four methods span $4.59-4.83bn: WS08's raw backlog nowcast ~$4,590m (~$4,720m with the RNPL add-back), WS10 bottom-up $4,775m, WS02 cushion $4,815m, WS04 post-2022 median beat $4,832m. All except the raw nowcast sit above the $4,770m guide top and the $4,740m Street. The cushion method has the better track record (19/19) but the cushion is shrinking; the bottom-up is the one that can be defended line by line."
CONF-05,FX contribution to 3Q26 reported ADR,08,"+0.80pp, offered as the single number for a slide",05,"roughly flat, range -1.3 to +0.8pp","Show -1.3 to +0.8pp, centred near zero","Both come from the same file. The USD-broad fit (r -0.96, n17) gives +0.80; the EUR/USD fit (r +0.99, n17) gives -1.27 for the same quarter, and the EUR fit has the higher in-sample r - so +0.80 is the weaker specification. WS10's revenue-weighted spot basket (+0.32%) sits mid-range. A 2.1pp spread cannot be presented as a point estimate."
CONF-06,"FX-to-ADR slope, broad USD",01,"-0.59pp per pt (n 14, post-2022)",05,"-0.715pp per pt (n 17, ex-2021)",-0.715 (n 17),Both are real rows in 05_fx_fits.csv; the difference is the estimation window. WS05 and WS08 both use the n=17 fit and it has the higher r (-0.964 vs -0.951). Use one slope everywhere - a 21% difference is material at the ADR line.
CONF-07,Does anything in the alt-data layer beat AR(1)?,01,"Zero of 233 point-in-time cells beat AR(1); funds-held is 1.85x AR(1), i.e. coincident not predictive",08,Funds-held lag-1 -> next-quarter revenue at 0.59x AR(1) is 'the one genuinely new survivor',"Neither as written: 52 of 598 rows beat AR(1), and the funds-held result flips from 1.85x to 0.59x on a window change","The run's most consequential disagreement, and both numbers sit in 08_backlog_tests.csv. On the 2022Q1 window (14 walk-forward quarters) the pair is 1.85x AR(1) with 57% sign accuracy; on the 2023Q1 window (10 quarters) it is 0.59x with 80%. WS08 reports only the favourable window and calls it 'a genuine expanding-window walk-forward'. WS01's counts are separately wrong because it finished at 01:56 and read a partial version of WS08's 02:16 output. Correct statement: suggestive on the post-2022 window, fails on the longer one, not a validated forecaster."
CONF-08,Cost of equity and beta,09,"10.5-11.5%, beta 1.2-1.3 (SPY 2y 1.22, FF 1.32)",12,"10.3%, beta 1.161 (single yfinance figure)","10.5% central, 10.0-11.5% sensitivity band","WS09 estimated beta three ways on daily data with stated windows; WS12 took one vendor number. WACC = CoE either way (net cash). At a $190 base-case value the CoE choice moves the fade DCF by roughly +/-$8-12 a share, so it is not cosmetic."
CONF-09,"Mean sell-side price target, 4 Sep 2026",09,$179.88 across 32 targets,12,$179.55 across 31 targets,"$178.96 across 46 (stockanalysis.com, 3 Sep 2026)",Both internal numbers come from the same yfinance/Benzinga feed with slightly different staleness filters. Both notes already cite the 46-analyst figure as a cross-check; it has the broadest coverage. All three support the same point - spot is above the mean target.
CONF-10,FY26 take rate,06,"13.2-13.3%, described as 'flat vs 2025'",07,flat at 13.41% (0 bps change vs FY25),Flat at ~13.4%,"FY25 take rate is 13.41% (12,241/91,300). WS06's 13.2-13.3% is a 10-20bp decline described as flat. The 2Q26 letter guides the implied take rate 'relatively in-line year-over-year'. A 20bp error on FY27 GBV is roughly $240m of revenue."
CONF-11,Single-fee migration coverage at 2Q26,06,~half of active listings,11,"~50% of listings at Q2'26, cited to the Q2'26 call","Neither: 'over a quarter' at 1Q26 (disclosed), remainder in migration at 2Q26, complete by year-end",The ~50% figure appears in neither the 2Q26 letter nor the 2Q26 call transcript. Both notes state it as sourced. Replace with the disclosed language in both places.
CONF-12,Attribution of the +3pts of Q1'26 nights growth,11,Reserve Now Pay Later alone; subtract 3pts from the FY27 nights path,06,RNPL + cancellation redesign + single-fee migration together,WS06 (three features together),"Verbatim 1Q26 call: 'we estimate these three features delivered approximately 3 points of nights booked growth and approximately 4 points of GBV growth in Q1'. WS11 uses the misattribution to justify a 3pt FY27 nights haircut and to defend a +6% bear case, so the error propagates into the model."
