year,case,ai_referred_share_of_gbv,referral_fee_pct_of_gbv,revenue_musd,cost_musd,cost_pct_revenue,cost_pct_adj_ebitda,note
2026,low,0.005,0.03,13955.0,16.0,0.11,0.31,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2026,low,0.005,0.05,13955.0,26.0,0.19,0.52,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2026,low,0.005,0.08,13955.0,42.0,0.3,0.84,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2026,mid,0.01,0.03,13955.0,31.0,0.23,0.63,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2026,mid,0.01,0.05,13955.0,52.0,0.38,1.04,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2026,mid,0.01,0.08,13955.0,84.0,0.6,1.67,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2026,high,0.02,0.03,13955.0,63.0,0.45,1.25,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2026,high,0.02,0.05,13955.0,105.0,0.75,2.09,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2026,high,0.02,0.08,13955.0,168.0,1.2,3.34,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2027,low,0.01,0.03,15490.0,35.0,0.23,0.63,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
