ticker,group,price,market_cap_musd,shares_m,net_cash_musd,total_debt_musd,ev_musd,ltm_revenue_musd,ltm_op_income_musd,ltm_da_musd,ltm_sbc_musd,ltm_adj_ebitda_musd,ltm_gaap_ebitda_musd,ltm_fcf_musd,ltm_sbc_adj_fcf_musd,ltm_net_income_musd,ltm_buybacks_musd,ntm_revenue_musd,ntm_revenue_growth_pct,ntm_eps,ntm_source,adj_ebitda_margin_pct,gaap_ebitda_margin_pct,fcf_margin_pct,sbc_pct_rev,fcf_conversion_pct,net_cash_pct_mcap,buyback_yield_pct,fcf_yield_pct,ev_ltm_revenue_x,ev_ltm_adj_ebitda_x,ev_ltm_gaap_ebitda_x,ev_ltm_fcf_x,ev_ltm_sbc_adj_fcf_x,ev_ntm_revenue_x,ev_ntm_adj_ebitda_x,ev_ntm_gaap_ebitda_x,ev_ntm_fcf_x,ev_ntm_sbc_adj_fcf_x,pe_ntm_x,pe_ltm_x,rule_of_40,rule_of_40_sbc_adj,ltm_last_q_end,sources
ABNB,ABNB,181.940,108618.180,598.786,9569.000,2496.000,99049.180,13159.000,2738.000,69.875,1696.000,4617.000,2921.000,4827.000,3131.000,2691.000,4111.000,15226.667,15.713,5.963,"stockanalysis.com consensus 3 Sep 2026: FY26 $14.16B, FY27 $15.76B, 46 analysts",35.086,22.198,36.682,12.889,104.548,8.810,3.774,4.444,7.527,21.453,33.909,20.520,31.635,6.505,18.540,29.305,17.733,27.339,30.513,40.484,52.395,39.507,2026-06-30,revenue=xbrl:RevenueFromContractWithCustomerExcludingAssessedTax; op_income=xbrl:OperatingIncomeLoss; sbc=xbrl:AllocatedShareBasedCompensationExpense; net_income=xbrl:NetIncomeLoss; cash=xbrl:CashAndCashEquivalentsAtCarryingValue; sti=xbrl:ShortTermInvestments; cfo=yfinance:Operating Cash Flow; buybacks=yfinance:Repurchase Of Capital Stock; da=yfinance-FY-scaled:Depreciation And Amortization x1.07; capex=yfinance-FY-scaled:Capital Expenditure x1.07
BKNG,OTA,193.290,145234.330,751.380,-3710.000,20924.000,148944.330,28241.000,9284.000,571.000,598.000,10453.000,9855.000,9539.000,8941.000,7209.000,10530.000,31330.798,10.941,11.895,"yfinance consensus FY0 29,258 / FY1 32,022, w0=0.25",37.014,34.896,33.777,2.117,91.256,-2.554,7.250,6.568,5.274,14.249,15.114,15.614,16.659,4.754,12.844,13.623,14.074,15.016,16.250,20.146,44.718,42.600,2026-06-30,revenue=xbrl:Revenues; op_income=xbrl:OperatingIncomeLoss; da=xbrl:DepreciationAndAmortization; sbc=xbrl:AllocatedShareBasedCompensationExpense; cash=xbrl:CashAndCashEquivalentsAtCarryingValue; cfo=yfinance:Operating Cash Flow; capex=yfinance:Capital Expenditure; buybacks=yfinance:Repurchase Of Capital Stock; net_income=yfinance:Net Income; sti=yfinance:Other Short Term Investments
EXPE,OTA,298.040,35771.380,120.022,1437.000,5690.000,34334.380,15700.000,2507.000,901.000,412.000,3820.000,3408.000,4459.000,4047.000,2036.000,1916.000,17062.983,8.681,23.526,"yfinance consensus FY0 16,201 / FY1 17,350, w0=0.25",24.331,21.707,28.401,2.624,116.728,4.017,5.356,12.465,2.187,8.988,10.075,7.700,8.484,2.012,8.270,9.270,7.085,7.806,12.669,17.569,37.083,34.458,2026-06-30,revenue=xbrl:RevenueFromContractWithCustomerExcludingAssessedTax; op_income=xbrl:OperatingIncomeLoss; da=xbrl:DepreciationDepletionAndAmortization; sbc=xbrl:ShareBasedCompensation; net_income=xbrl:NetIncomeLoss; cash=xbrl:CashAndCashEquivalentsAtCarryingValue; sti=xbrl:ShortTermInvestments; cfo=yfinance:Operating Cash Flow; capex=yfinance:Capital Expenditure; buybacks=yfinance:Repurchase Of Capital Stock
TRIP,OTA,9.330,1085.068,116.299,-50.700,893.900,1135.768,1788.300,48.600,91.100,89.500,229.200,139.700,132.800,43.300,5.000,473.791,1631.326,-8.778,1.019,"yfinance consensus FY0 1,583 / FY1 1,647, w0=0.25",12.817,7.812,7.426,5.005,57.941,-4.673,43.665,12.239,0.635,4.955,8.130,8.552,26.230,0.696,5.432,8.912,9.375,28.754,9.159,217.014,-1.352,-6.357,2026-06-30,revenue=xbrl:RevenueFromContractWithCustomerExcludingAssessedTax; op_income=xbrl:OperatingIncomeLoss; da=xbrl:DepreciationAndAmortization; sbc=xbrl:AllocatedShareBasedCompensationExpense; net_income=xbrl:NetIncomeLoss; cash=xbrl:CashAndCashEquivalentsAtCarryingValue; sti=xbrl:MarketableSecuritiesCurrent; cfo=yfinance:Operating Cash Flow; capex=yfinance:Capital Expenditure; buybacks=yfinance-FY-scaled:Repurchase Of Capital Stock x0.95
TCOM,OTA,41.030,25836.804,629.705,7397.777,4674.703,18439.028,9654.139,2607.141,169.387,351.150,3127.677,2776.528,2101.019,1749.870,5150.297,680.024,10905.047,12.957,4.074,"yfinance consensus FY0 10,044 / FY1 11,192, w0=0.25",32.397,28.760,21.763,3.637,67.175,28.633,2.632,8.132,1.910,5.895,6.641,8.776,10.537,1.691,5.219,5.879,7.770,9.329,10.070,5.017,34.720,31.083,,"revenue=yfinance:Total Revenue; op_income=yfinance:Operating Income; cash=yfinance:Cash And Cash Equivalents; sti=yfinance:Other Short Term Investments; da=yfinance-FY-scaled:Depreciation And Amortization x1.04; sbc=yfinance-FY-scaled:Stock Based Compensation x1.04; cfo=yfinance-FY-scaled:Operating Cash Flow x1.04; capex=yfinance-FY-scaled:Capital Expenditure x1.04; buybacks=yfinance-FY-scaled:Repurchase Of Capital Stock x1.04; net_income=yfinance-FY-scaled:Net Income x1.04; fx=CNY statements, estimates and totalDebt x 0.1490 USD/CNY (yfinance, 4-6 Sep 2026)"
MMYT,OTA,55.620,5231.543,94.059,-659.942,1436.125,5891.485,1060.724,159.168,27.204,23.344,209.716,186.372,152.644,129.300,34.230,3180.722,1309.626,23.465,2.244,"yfinance consensus FY0 1,205 / FY1 1,414, w0=0.50",19.771,17.570,14.391,2.201,72.786,-12.615,60.799,2.918,5.554,28.093,31.611,38.596,45.564,4.499,22.753,25.603,31.261,36.905,24.781,152.835,37.856,35.655,,revenue=yfinance:Total Revenue; op_income=yfinance:Operating Income; da=yfinance:Reconciled Depreciation; cfo=yfinance:Operating Cash Flow; net_income=yfinance:Net Income; cash=yfinance:Cash And Cash Equivalents; sti=yfinance:Other Short Term Investments; sbc=yfinance-FY-scaled:Stock Based Compensation x1.02; capex=yfinance-FY-scaled:Capital Expenditure x1.02; buybacks=yfinance-FY-scaled:Repurchase Of Capital Stock x1.02
UBER,Marketplace,75.760,154744.357,2042.560,-9340.000,14731.000,164084.357,55227.000,6700.000,745.000,1945.000,9390.000,7445.000,10116.000,8171.000,9579.000,6904.000,64615.889,17.001,4.300,"yfinance consensus FY0 57,957 / FY1 66,836, w0=0.25",17.003,13.481,18.317,3.522,107.732,-6.036,4.462,6.537,2.971,17.474,22.040,16.220,20.081,2.539,14.935,18.837,13.863,17.163,17.620,16.155,35.318,31.796,2026-06-30,revenue=xbrl:Revenues; op_income=xbrl:OperatingIncomeLoss; da=xbrl:DepreciationDepletionAndAmortization; sbc=xbrl:AllocatedShareBasedCompensationExpense; net_income=xbrl:NetIncomeLoss; cash=xbrl:CashAndCashEquivalentsAtCarryingValue; sti=xbrl:MarketableSecuritiesCurrent; cfo=yfinance:Operating Cash Flow; capex=yfinance:Capital Expenditure; buybacks=yfinance:Repurchase Of Capital Stock
DASH,Marketplace,211.730,91742.175,433.298,2042.000,3305.000,89700.175,15891.000,712.000,1000.000,1114.000,2826.000,1712.000,2139.000,1025.000,841.000,1049.000,20568.697,29.436,4.002,"yfinance consensus FY0 17,823 / FY1 21,484, w0=0.25",17.784,10.773,13.460,7.010,75.690,2.226,1.143,2.332,5.645,31.741,52.395,41.936,87.512,4.361,24.523,40.479,32.399,67.610,52.901,109.087,42.897,35.886,2026-06-30,revenue=xbrl:RevenueFromContractWithCustomerExcludingAssessedTax; op_income=xbrl:OperatingIncomeLoss; da=xbrl:DepreciationDepletionAndAmortization; sbc=xbrl:AllocatedShareBasedCompensationExpense; net_income=xbrl:NetIncomeLoss; cash=xbrl:CashAndCashEquivalentsAtCarryingValue; sti=xbrl:AvailableForSaleSecuritiesDebtSecuritiesCurrent; cfo=yfinance:Operating Cash Flow; capex=yfinance:Capital Expenditure; buybacks=yfinance:Repurchase Of Capital Stock
META,Mega-cap internet,616.770,1571225.469,2547.506,-22057.997,112317.997,1593283.466,228247.000,86927.000,21560.000,23880.000,132367.000,108487.000,40976.000,17096.000,68098.000,3327.000,292633.676,28.209,33.303,"yfinance consensus FY0 254,193 / FY1 305,447, w0=0.25",57.993,47.531,17.952,10.462,30.956,-1.404,0.212,2.608,6.981,12.037,14.686,38.883,93.196,5.445,9.388,11.455,30.328,72.691,18.520,23.073,46.162,35.699,2026-06-30,revenue=xbrl:RevenueFromContractWithCustomerExcludingAssessedTax; op_income=xbrl:OperatingIncomeLoss; da=xbrl:Depreciation; sbc=xbrl:AllocatedShareBasedCompensationExpense; net_income=xbrl:NetIncomeLoss; cash=xbrl:CashAndCashEquivalentsAtCarryingValue; sti=xbrl:MarketableSecuritiesCurrent; cfo=yfinance:Operating Cash Flow; capex=yfinance:Capital Expenditure; buybacks=yfinance:Repurchase Of Capital Stock
NFLX,Subscription,78.250,325828.280,4163.940,-7526.751,16654.661,333355.031,48370.764,14354.517,372.414,487.327,15214.258,14726.931,11152.005,10664.678,13649.642,9921.435,55559.470,14.862,3.758,"yfinance consensus FY0 51,221 / FY1 57,006, w0=0.25",31.453,30.446,23.055,1.007,73.300,-2.310,3.045,3.423,6.892,21.911,22.636,29.892,31.258,6.000,19.076,19.707,26.024,27.213,20.821,23.871,37.917,36.909,2026-06-30,revenue=xbrl:Revenues; op_income=xbrl:OperatingIncomeLoss; da=xbrl:DepreciationDepletionAndAmortization; sbc=xbrl:ShareBasedCompensation; cfo=xbrl:NetCashProvidedByUsedInOperatingActivities; capex=xbrl:PaymentsToAcquirePropertyPlantAndEquipment; buybacks=xbrl:PaymentsForRepurchaseOfCommonStock; net_income=xbrl:NetIncomeLoss; cash=xbrl:CashAndCashEquivalentsAtCarryingValue; sti=xbrl:ShortTermInvestments
