output,cell_reference,excel_value,python_value,evaluator_value,abs_diff,rel_diff,excel_vs_evaluator_rel,python_value_as_written_to_13_reconciliation_csv,pass
Bear FY2026 revenue ($M),Revenue!$I$36,13933.3489609138,13933.34896091384,13933.34896091384,4.001776687800884e-11,2.872085310593141e-15,2.872085310593141e-15,13933.349,yes
Bear FY2026 nights (M),Revenue!$I$22,579.097380995909,579.0973809959089,579.0973809959089,1.1368683772161603e-13,1.9631730595310559e-16,1.9631730595310559e-16,579.0974,yes
Bear FY2026 GBV ($M),Revenue!$I$28,103758.73644244,103758.73644244028,103758.73644244028,2.764863893389702e-10,2.6647046679519834e-15,2.6647046679519834e-15,103758.7364,yes
Bear FY2026 adj. EBITDA ($M),Costs!$D$21,4812.28672316839,4812.286723168386,4812.286723168386,4.547473508864641e-12,9.449714388320159e-16,9.449714388320159e-16,4812.2867,yes
Bear FY2026 adj. EBITDA margin,Costs!$D$22,0.345379042516478,0.345379042516478,0.345379042516478,0.0,0.0,0.0,0.3454,yes
Bear FY2026 net income ($M),Costs!$D$32,2644.86200019093,2644.8620001909276,2644.8620001909276,2.2737367544323206e-12,8.596806768247954e-16,8.596806768247954e-16,2644.862,yes
Bear FY2026 FCF ($M),Cash!$D$14,4554.88587927904,4554.885879279038,4554.885879279038,1.8189894035458565e-12,3.9934906203045667e-16,3.9934906203045667e-16,4554.8859,yes
Bear FY2026 SBC-adj FCF ($M),Cash!$D$18,2720.92587927904,2720.925879279038,2720.925879279038,2.2737367544323206e-12,8.356481783453761e-16,8.356481783453761e-16,2720.9259,yes
Bear FY2026 diluted shares (M),Cash!$D$23,589.019478949104,589.0194789491042,589.0194789491042,1.1368683772161603e-13,1.9301031932670507e-16,1.9301031932670507e-16,589.0195,yes
Bear FY2026 FCF per share ($),Cash!$D$24,7.73299702652553,7.732997026525528,7.732997026525528,2.6645352591003757e-15,3.445669576699117e-16,3.445669576699117e-16,7.733,yes
Bear FY2026 net cash ($M),Cash!$D$27,8792.99987927904,8792.999879279037,8792.999879279037,1.8189894035458565e-12,2.0686789815980302e-16,2.0686789815980302e-16,8792.9999,yes
Bear FY2027 revenue ($M),Revenue!$J$36,14180.9741306969,14180.974130696897,14180.974130696897,3.637978807091713e-12,2.565394149628091e-16,2.565394149628091e-16,14180.9741,yes
Bear FY2027 nights (M),Revenue!$J$22,611.222842848583,611.2228428485834,611.2228428485834,3.410605131648481e-13,5.579970008570805e-16,5.579970008570805e-16,611.2228,yes
Bear FY2027 GBV ($M),Revenue!$J$28,108038.477409085,108038.47740908456,108038.47740908456,4.3655745685100555e-10,4.040759063995244e-15,4.040759063995244e-15,108038.4774,yes
