scenario,method,exit_ev_fwd_ebitda_x,low_x,high_x,n,detail,assumed_x,vs_assumed_x,used_in_blend
Bear,"Time series: months 2023-26 with NTM growth within band, median",15.921,15.404,16.757,18,"NTM growth 4.3% +/- 8pts, Aug 2024-Jan 2026",18.000,-2.079,True
Bear,"Time series: OLS on NTM growth + margin, 2023-26 monthly",12.661,4.825,20.497,45,"b_growth +0.477 (t 2.3), b_margin +0.392 (t 0.4), R2 0.24, Newey-West 6",18.000,-5.339,True
Base,"Time series: months 2023-26 with NTM growth within band, median",16.782,15.758,20.069,24,"NTM growth 12.3% +/- 4pts, Nov 2023-Jan 2026",22.000,-5.218,True
Base,"Time series: OLS on NTM growth + margin, 2023-26 monthly",17.534,16.051,19.018,45,"b_growth +0.477 (t 2.3), b_margin +0.392 (t 0.4), R2 0.24, Newey-West 6",22.000,-4.466,True
Bull,"Time series: months 2023-26 with NTM growth within band, median",18.279,16.360,21.167,32,"NTM growth 15.3% +/- 4pts, May 2023-Sep 2026",25.500,-7.221,True
Bull,"Time series: OLS on NTM growth + margin, 2023-26 monthly",20.260,11.602,28.917,45,"b_growth +0.477 (t 2.3), b_margin +0.392 (t 0.4), R2 0.24, Newey-West 6",25.500,-5.240,True
Bear,"Cross-section: peers, EV/NTM EBITDA on growth (all peers)",11.381,,,18,log-linear fit R2 0.19; ABNB actual 18.5x vs fitted 14.4x (+29%),18.000,-6.619,True
Base,"Cross-section: peers, EV/NTM EBITDA on growth (all peers)",13.431,,,18,log-linear fit R2 0.19; ABNB actual 18.5x vs fitted 14.4x (+29%),22.000,-8.569,True
Bull,"Cross-section: peers, EV/NTM EBITDA on growth (all peers)",14.291,,,18,log-linear fit R2 0.19; ABNB actual 18.5x vs fitted 14.4x (+29%),25.500,-11.209,True
Bear,"Cross-section: peers, EV/NTM EBITDA on growth (travel + marketplace)",10.671,,,12,log-linear fit R2 0.35; ABNB actual 18.5x vs fitted 15.6x (+19%),18.000,-7.329,True
Base,"Cross-section: peers, EV/NTM EBITDA on growth (travel + marketplace)",13.914,,,12,log-linear fit R2 0.35; ABNB actual 18.5x vs fitted 15.6x (+19%),22.000,-8.086,True
Bull,"Cross-section: peers, EV/NTM EBITDA on growth (travel + marketplace)",15.370,,,12,log-linear fit R2 0.35; ABNB actual 18.5x vs fitted 15.6x (+19%),25.500,-10.130,True
Bear,"Cross-section: peers, EV/NTM EBITDA on growth + margin (all peers)",8.451,,,18,log-linear fit R2 0.45; ABNB actual 18.5x vs fitted 12.0x (+54%),18.000,-9.549,False
Base,"Cross-section: peers, EV/NTM EBITDA on growth + margin (all peers)",10.354,,,18,log-linear fit R2 0.45; ABNB actual 18.5x vs fitted 12.0x (+54%),22.000,-11.646,False
