city,dump_date,quotes,share_with_discount_pct,median_discount_pct_of_subtotal,mean_discount_pct_of_subtotal,discount_drag_on_ppn_pct,share_line_cleaning_fee_pct,share_line_service_fee_pct,share_line_taxes_pct,median_quote_nights,median_quote_lead_days,median_ppn,median_ppn_entire,median_accommodates,median_price_per_person_night,median_price_per_person_night_entire
austin,2026-03-25,7968,9.49,16.26,15.6,2.91,0.0,0.0,0.23,2.0,4.0,265.0,277.0,5.0,57.17,56.47
austin,2026-04-23,8112,10.03,17.12,16.2,2.97,0.0,0.0,0.36,2.0,3.0,253.0,264.25,4.0,55.5,54.36
austin,2026-05-25,8394,9.9,17.11,15.85,3.35,0.0,0.0,0.29,2.0,2.0,247.35,261.33,4.0,53.75,53.02
austin,2026-06-22,10342,20.66,15.93,15.43,28.63,0.0,0.0,0.73,2.0,5.0,217.0,233.38,4.0,49.92,49.5
austin,2026-07-18,10255,19.83,16.24,15.33,29.92,0.0,0.0,8.44,2.0,3.0,219.72,237.0,4.0,50.0,49.76
austin,2026-08-25,10116,33.1,8.93,10.6,26.25,0.0,0.0,8.84,2.0,3.0,228.0,247.95,4.0,52.0,51.44
barcelona,2026-03-21,12734,14.51,15.94,15.52,24.71,0.008,0.0,0.0,3.0,10.0,176.92,213.33,4.0,48.5,51.0
barcelona,2026-04-20,7103,2.83,15.5,15.11,0.74,0.0,0.0,0.0,2.0,7.0,276.8,295.0,4.0,69.0,69.2
barcelona,2026-05-24,12313,12.68,15.47,15.09,18.96,0.0,0.0,0.0,3.0,14.0,210.0,248.21,4.0,56.38,59.26
barcelona,2026-06-24,13380,19.47,15.44,15.0,29.77,0.0,0.0,0.05,3.0,10.0,177.67,221.5,4.0,51.35,53.86
barcelona,2026-07-16,13693,20.98,15.0,15.68,31.58,0.0,0.0,0.09,3.0,10.0,184.0,229.2,4.0,52.78,55.43
barcelona,2026-08-23,13991,27.42,13.51,13.66,33.98,0.0,0.0,0.33,3.0,8.0,179.5,220.94,4.0,50.5,52.75
chicago,2026-04-24,5051,5.25,13.1,13.54,1.44,0.0,0.0,0.32,2.0,2.0,218.25,239.5,4.0,49.83,49.1
chicago,2026-05-26,7351,20.32,13.35,13.94,55.25,0.0,0.0,0.01,2.0,7.0,219.53,248.29,4.0,53.82,54.26
chicago,2026-06-24,7610,23.29,11.66,12.24,56.46,0.0,0.0,0.42,2.0,10.0,223.0,256.97,4.0,56.0,57.06
chicago,2026-07-20,7671,23.15,12.41,12.75,55.85,0.0,0.0,10.08,2.0,14.0,235.5,272.5,4.0,58.12,58.75
chicago,2026-08-27,7815,31.0,9.0,11.38,59.87,0.0,0.0,7.87,2.0,4.0,210.5,241.5,4.0,53.17,52.8
london,2026-03-21,51674,11.44,16.89,15.22,3.59,0.004,0.0,0.0,2.0,3.0,168.0,217.0,3.0,53.94,58.33
london,2026-04-19,52677,11.46,16.99,15.24,3.75,0.002,0.0,0.0,2.0,5.0,172.86,221.4,3.0,54.88,59.33
london,2026-05-24,55439,11.47,17.09,14.92,3.45,0.002,0.0,0.0,2.0,4.0,175.0,229.67,3.0,56.0,61.54
london,2026-06-19,62328,13.61,16.67,14.4,8.47,0.003,0.0,0.05,2.0,9.0,180.0,239.5,3.0,58.5,64.67
london,2026-07-16,62210,13.59,16.77,14.77,8.35,0.002,0.0,0.11,2.0,6.0,174.0,228.94,3.0,56.17,61.62
london,2026-08-18,62375,25.42,11.39,12.92,10.54,0.003,0.0,0.12,2.0,3.0,168.0,218.99,3.0,54.0,58.83
los-angeles,2026-03-16,37183,34.59,13.72,13.57,68.71,0.0,0.0,0.07,5.0,5.0,205.41,256.45,4.0,59.86,62.5
los-angeles,2026-04-14,36467,34.18,13.42,13.3,66.08,0.0,0.0,0.05,5.0,4.0,210.0,258.5,4.0,60.28,62.83
los-angeles,2026-05-23,36274,32.95,14.57,13.94,61.82,0.0,0.0,0.19,4.0,4.0,219.1,272.0,4.0,62.33,65.73
los-angeles,2026-06-15,38210,34.56,14.96,14.98,66.87,0.0,0.0,0.15,5.0,6.0,223.67,282.0,4.0,63.67,67.6
los-angeles,2026-07-12,38195,34.92,14.64,14.39,62.93,0.0,0.0,4.68,5.0,6.0,219.0,275.0,4.0,62.5,66.15
los-angeles,2026-08-10,38081,40.67,10.0,11.25,65.0,0.0,0.0,5.5,6.0,5.0,215.29,269.77,4.0,62.0,65.17
mexico-city,2026-03-30,22402,10.0,17.8,16.76,2.56,0.0,0.0,0.14,1.0,4.0,1564.0,1869.5,3.0,527.81,560.0
mexico-city,2026-04-29,23291,11.15,17.5,17.13,3.04,0.0,0.0,0.22,1.0,3.0,1541.0,1835.01,3.0,520.33,551.67
mexico-city,2026-05-29,27054,11.42,17.97,17.59,3.4,0.0,0.0,0.18,1.0,1.0,1621.0,1997.5,3.0,559.38,589.62
mexico-city,2026-06-15,29645,13.19,17.97,17.65,6.49,0.0,0.0,0.25,1.0,3.0,1756.0,2163.0,3.0,600.54,634.0
mexico-city,2026-07-14,29211,13.53,17.75,17.45,7.25,0.0,0.0,8.49,1.0,1.0,1508.4,1829.0,3.0,525.0,550.67
mexico-city,2026-08-30,28453,28.98,13.16,14.21,12.44,0.0,0.0,13.12,1.0,2.0,1520.18,1850.0,3.0,523.75,551.38
nashville,2026-04-25,5906,6.23,14.65,15.93,2.74,0.0,0.0,0.32,2.0,2.0,300.0,306.67,6.0,46.17,45.62
nashville,2026-05-26,7981,7.15,14.24,14.96,2.44,0.0,0.0,0.19,2.0,2.0,312.05,317.0,6.0,48.05,47.1
nashville,2026-06-26,9522,14.39,13.61,14.69,21.25,0.0,0.0,0.7,2.0,2.0,281.54,290.5,6.0,45.7,44.94
nashville,2026-07-21,9454,14.53,14.04,14.85,23.26,0.0,0.0,10.5,2.0,4.0,278.18,286.0,6.0,45.21,44.31
nashville,2026-08-27,9244,39.58,6.22,8.68,24.88,0.0,0.0,11.35,2.0,2.0,280.0,289.29,6.0,46.0,45.25
new-orleans,2026-03-19,6013,27.52,14.55,14.07,120.76,0.0,0.0,0.28,2.0,4.0,218.5,221.25,4.0,53.0,51.4
new-orleans,2026-04-18,3754,7.35,12.39,13.38,1.88,0.0,0.0,0.24,2.0,2.0,291.08,300.0,4.0,65.75,66.04
new-orleans,2026-05-23,6100,28.7,10.74,13.13,110.22,0.0,0.0,0.3,2.0,1.0,202.5,204.42,4.0,48.28,47.09
new-orleans,2026-06-16,6424,32.39,13.5,14.17,134.49,0.0,0.0,0.14,2.0,1.0,193.0,193.6,4.0,46.5,45.54
new-orleans,2026-07-15,6418,32.67,11.93,12.71,136.2,0.0,0.0,8.68,2.0,1.0,193.0,196.0,4.0,47.18,46.62
new-orleans,2026-08-15,6518,51.29,9.19,10.52,135.09,0.0,0.0,11.26,2.0,1.0,191.58,195.9,4.0,47.05,46.41
new-york-city,2026-03-16,21435,42.89,20.0,18.29,368.54,0.0,0.0,0.1,30.0,3.0,160.28,198.5,2.0,64.87,66.3
new-york-city,2026-04-14,20699,42.29,20.0,18.2,322.37,0.0,0.0,0.02,30.0,5.0,167.25,205.41,2.0,66.56,68.03
new-york-city,2026-05-14,20063,41.46,19.95,18.08,282.23,0.0,0.0,0.48,30.0,15.0,174.08,217.57,2.0,69.76,71.03
new-york-city,2026-06-08,4483,8.36,19.9,17.9,2.59,0.0,0.0,0.31,1.0,5.0,342.4,427.2,2.0,125.57,118.0
